dim,precision,solver_type,api,bc_name,grid_size,iteration,total_execution_ms
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",320,7,     155.190645
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",320,8,     157.583463
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",320,9,     154.595199
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",320,10,     152.321058
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",320,11,     155.877678
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",320,12,     155.869508
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",320,13,     153.289259
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",320,14,     152.356615
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",320,15,     153.436682
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",320,16,     152.870634
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",320,17,     152.945449
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",320,18,     151.745351
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",320,19,     152.583694
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",384,0,     269.752541
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",384,1,     269.768529
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",384,2,     270.794888
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",384,3,     268.305370
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",384,4,     272.357058
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",384,5,     269.796224
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",384,6,     268.378132
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",384,7,     271.001907
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",384,8,     270.143237
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",384,9,     268.657785
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",384,10,     271.287191
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",384,11,     269.835598
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",384,12,     278.876988
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",384,13,     268.258388
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",384,14,     268.741580
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",384,15,     269.222507
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",384,16,     269.055189
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",384,17,     273.829051
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",384,18,     269.795768
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",384,19,     269.609957
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",448,0,     514.121972
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",448,1,     512.316314
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",448,2,     512.374573
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",448,3,     514.486002
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",448,4,     516.959616
