dim,precision,solver_type,api,bc_name,grid_size,iteration,total_execution_ms
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",448,10,     237.367792
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",448,11,     233.884466
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",448,12,     236.053565
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",448,13,     234.046485
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",448,14,     234.383515
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",448,15,     235.302839
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",448,16,     234.527074
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",448,17,     236.977706
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",448,18,     235.283677
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",448,19,     235.295105
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",512,0,     587.855370
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",512,1,     571.525971
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",512,2,     580.760929
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",512,3,     577.169123
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",512,4,     581.140558
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",512,5,     575.882019
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",512,6,     593.839002
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",512,7,     572.658545
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",512,8,     594.701149
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",512,9,     574.155617
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",512,10,     585.240776
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",512,11,     584.641854
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",512,12,     585.667991
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",512,13,     567.918712
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",512,14,     578.268540
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",512,15,     569.797278
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",512,16,     574.918432
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",512,17,     589.908365
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",512,18,     566.552704
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",512,19,     576.003164
