dim,precision,solver_type,api,bc_name,grid_size,iteration,total_execution_ms
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",384,18,     169.057558
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",384,19,     169.861515
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",448,0,     286.351001
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",448,1,     284.260813
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",448,2,     284.291728
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",448,3,     296.247527
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",448,4,     283.560481
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",448,5,     283.949981
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",448,6,     283.872950
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",448,7,     284.250805
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",448,8,     284.508150
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",448,9,     285.370624
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",448,10,     286.927993
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",448,11,     284.956772
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",448,12,     284.317187
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",448,13,     286.386893
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",448,14,     287.998698
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",448,15,     287.326941
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",448,16,     305.180148
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",448,17,     313.116197
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",448,18,     284.476045
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",448,19,     284.918292
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",512,0,     428.685609
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",512,1,     427.576648
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",512,2,     424.052465
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",512,3,     420.066472
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",512,4,     384.113692
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",512,5,     382.225649
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",512,6,     375.528096
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",512,7,     374.061865
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",512,8,     376.479173
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",512,9,     374.759856
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",512,10,     375.808046
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",512,11,     375.706870
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",512,12,     375.320517
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",512,13,     374.067426
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",512,14,     377.695282
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",512,15,     374.033182
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",512,16,     376.719790
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",512,17,     375.530654
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",512,18,     375.692442
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",512,19,     374.179553
