dim,precision,solver_type,api,bc_name,grid_size,iteration,total_execution_ms
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",192,24,      14.927721
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",192,25,      14.707363
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",192,26,      14.265208
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",192,27,      14.996479
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",192,28,      15.393716
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",192,29,      15.033879
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",192,30,      14.687023
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",192,31,      14.089970
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",192,32,      14.941820
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",192,33,      15.116488
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",192,34,      14.892171
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",192,35,      14.530005
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",192,36,      14.816111
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",192,37,      14.978209
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",192,38,      14.904610
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",192,39,      15.015419
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",192,40,      14.837461
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",192,41,      14.739173
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",192,42,      15.376475
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",192,43,      15.065099
