dim,precision,solver_type,api,bc_name,grid_size,iteration,total_execution_ms
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",128,63,       3.036918
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",128,64,       2.935378
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",128,65,       3.065127
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",128,66,       2.904359
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",128,67,       3.133237
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",128,68,       2.868690
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",128,69,       3.144337
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",128,70,       2.910079
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",128,71,       2.940409
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",128,72,       2.870279
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",128,73,       2.777200
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",128,74,       2.972088
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",192,0,       6.292733
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",192,1,       6.144376
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",192,2,       6.253814
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",192,3,       5.949287
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",192,4,       6.074896
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",192,5,       6.118386
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",192,6,       6.146745
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",192,7,       6.129956
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",192,8,       6.164535
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",192,9,       5.850409
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",192,10,       6.303313
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",192,11,       6.223064
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",192,12,       6.048566
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",192,13,       6.133916
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",192,14,       6.068856
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",192,15,       6.114546
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",192,16,       6.007447
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",192,17,       5.921648
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",192,18,       6.151916
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",192,19,       6.039566
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",192,20,       6.239655
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",192,21,       5.783749
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",192,22,       5.991207
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",192,23,       6.027127
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",192,24,       6.133796
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",192,25,       5.757639
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",192,26,       6.107236
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",192,27,       6.052186
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",192,28,       6.088425
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",192,29,       6.084516
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",192,30,       5.925808
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",192,31,       5.981177
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",192,32,       6.111436
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",192,33,       6.273364
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",192,34,       6.101425
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",192,35,       5.822538
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",192,36,       5.937168
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",192,37,       6.020816
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",192,38,       5.817259
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",192,39,       5.960317
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",192,40,       6.061536
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",192,41,       6.107616
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",192,42,       5.886938
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",192,43,       6.079345
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",192,44,       6.164265
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",192,45,       6.010816
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",192,46,       6.045626
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",192,47,       6.199005
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",192,48,       6.065816
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",192,49,       6.087025
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",192,50,       6.077156
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",192,51,       6.020397
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",192,52,       6.159246
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",192,53,       6.148516
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",192,54,       6.143695
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",192,55,       6.066006
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",192,56,       6.170975
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",192,57,       5.830948
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",192,58,       6.148925
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",192,59,       5.943427
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",192,60,       5.827249
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",192,61,       6.036097
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",192,62,       6.006727
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",192,63,       6.060486
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",192,64,       5.889098
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",192,65,       6.093206
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",192,66,       6.090626
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",192,67,       6.134556
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",192,68,       6.085966
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",192,69,       6.424892
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",192,70,       6.070656
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",192,71,       6.076246
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",192,72,       5.842808
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",192,73,       6.198455
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",192,74,       5.991047
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",256,0,      14.942302
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",256,1,      14.917213
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",256,2,      14.912103
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",256,3,      14.587406
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",256,4,      14.706745
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",256,5,      14.464417
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",256,6,      14.659466
