dim,precision,solver_type,api,bc_name,grid_size,iteration,total_execution_ms
3,double,uniform,PoisFFT,"P | P | P | P | D | N",192,2,       6.671199
3,double,uniform,PoisFFT,"P | P | P | P | D | N",192,3,       6.687389
3,double,uniform,PoisFFT,"P | P | P | P | D | N",192,4,       6.456642
3,double,uniform,PoisFFT,"P | P | P | P | D | N",192,5,       6.389903
3,double,uniform,PoisFFT,"P | P | P | P | D | N",192,6,       6.390652
3,double,uniform,PoisFFT,"P | P | P | P | D | N",192,7,       6.487731
3,double,uniform,PoisFFT,"P | P | P | P | D | N",192,8,       6.597190
3,double,uniform,PoisFFT,"P | P | P | P | D | N",192,9,       6.424182
3,double,uniform,PoisFFT,"P | P | P | P | D | N",192,10,       6.475462
3,double,uniform,PoisFFT,"P | P | P | P | D | N",192,11,       6.503351
3,double,uniform,PoisFFT,"P | P | P | P | D | N",192,12,       6.572750
3,double,uniform,PoisFFT,"P | P | P | P | D | N",192,13,       6.460502
3,double,uniform,PoisFFT,"P | P | P | P | D | N",192,14,       6.644749
3,double,uniform,PoisFFT,"P | P | P | P | D | N",192,15,       6.542881
3,double,uniform,PoisFFT,"P | P | P | P | D | N",192,16,       6.433401
3,double,uniform,PoisFFT,"P | P | P | P | D | N",192,17,       6.405853
3,double,uniform,PoisFFT,"P | P | P | P | D | N",192,18,       6.566381
3,double,uniform,PoisFFT,"P | P | P | P | D | N",192,19,       6.448432
3,double,uniform,PoisFFT,"P | P | P | P | D | N",192,20,       6.630770
3,double,uniform,PoisFFT,"P | P | P | P | D | N",192,21,       6.607861
3,double,uniform,PoisFFT,"P | P | P | P | D | N",192,22,       6.406102
3,double,uniform,PoisFFT,"P | P | P | P | D | N",192,23,       6.593710
3,double,uniform,PoisFFT,"P | P | P | P | D | N",192,24,       6.380693
3,double,uniform,PoisFFT,"P | P | P | P | D | N",192,25,       6.508131
3,double,uniform,PoisFFT,"P | P | P | P | D | N",192,26,       6.543941
3,double,uniform,PoisFFT,"P | P | P | P | D | N",192,27,       6.493242
3,double,uniform,PoisFFT,"P | P | P | P | D | N",192,28,       6.642959
3,double,uniform,PoisFFT,"P | P | P | P | D | N",192,29,       6.532981
3,double,uniform,PoisFFT,"P | P | P | P | D | N",192,30,       6.652270
3,double,uniform,PoisFFT,"P | P | P | P | D | N",192,31,       6.413382
3,double,uniform,PoisFFT,"P | P | P | P | D | N",192,32,       6.587040
3,double,uniform,PoisFFT,"P | P | P | P | D | N",192,33,       6.684899
3,double,uniform,PoisFFT,"P | P | P | P | D | N",192,34,       6.717179
3,double,uniform,PoisFFT,"P | P | P | P | D | N",192,35,       6.397113
3,double,uniform,PoisFFT,"P | P | P | P | D | N",192,36,       6.512021
3,double,uniform,PoisFFT,"P | P | P | P | D | N",192,37,       6.314673
3,double,uniform,PoisFFT,"P | P | P | P | D | N",192,38,       6.520811
3,double,uniform,PoisFFT,"P | P | P | P | D | N",192,39,       6.436582
3,double,uniform,PoisFFT,"P | P | P | P | D | N",192,40,       6.431642
3,double,uniform,PoisFFT,"P | P | P | P | D | N",192,41,       6.362642
3,double,uniform,PoisFFT,"P | P | P | P | D | N",192,42,       6.500601
3,double,uniform,PoisFFT,"P | P | P | P | D | N",192,43,       6.654459
3,double,uniform,PoisFFT,"P | P | P | P | D | N",192,44,       6.412842
3,double,uniform,PoisFFT,"P | P | P | P | D | N",192,45,       6.372222
3,double,uniform,PoisFFT,"P | P | P | P | D | N",192,46,       6.400322
3,double,uniform,PoisFFT,"P | P | P | P | D | N",192,47,       6.562221
3,double,uniform,PoisFFT,"P | P | P | P | D | N",192,48,       6.412832
3,double,uniform,PoisFFT,"P | P | P | P | D | N",192,49,       6.595921
3,double,uniform,PoisFFT,"P | P | P | P | D | N",192,50,       6.394323
3,double,uniform,PoisFFT,"P | P | P | P | D | N",192,51,       6.514531
3,double,uniform,PoisFFT,"P | P | P | P | D | N",192,52,       6.438452
3,double,uniform,PoisFFT,"P | P | P | P | D | N",192,53,       6.373143
3,double,uniform,PoisFFT,"P | P | P | P | D | N",192,54,       6.605970
3,double,uniform,PoisFFT,"P | P | P | P | D | N",192,55,       6.519301
3,double,uniform,PoisFFT,"P | P | P | P | D | N",192,56,       6.407212
3,double,uniform,PoisFFT,"P | P | P | P | D | N",192,57,       6.527341
3,double,uniform,PoisFFT,"P | P | P | P | D | N",192,58,       6.399843
3,double,uniform,PoisFFT,"P | P | P | P | D | N",192,59,       6.676850
3,double,uniform,PoisFFT,"P | P | P | P | D | N",192,60,       6.299743
3,double,uniform,PoisFFT,"P | P | P | P | D | N",192,61,       6.604320
3,double,uniform,PoisFFT,"P | P | P | P | D | N",192,62,       6.491671
3,double,uniform,PoisFFT,"P | P | P | P | D | N",192,63,       6.466062
3,double,uniform,PoisFFT,"P | P | P | P | D | N",192,64,       6.559600
3,double,uniform,PoisFFT,"P | P | P | P | D | N",192,65,       6.563590
3,double,uniform,PoisFFT,"P | P | P | P | D | N",192,66,       6.363063
3,double,uniform,PoisFFT,"P | P | P | P | D | N",192,67,       6.693519
3,double,uniform,PoisFFT,"P | P | P | P | D | N",192,68,       6.348183
3,double,uniform,PoisFFT,"P | P | P | P | D | N",192,69,       6.425482
3,double,uniform,PoisFFT,"P | P | P | P | D | N",192,70,       6.599290
3,double,uniform,PoisFFT,"P | P | P | P | D | N",192,71,       6.439022
3,double,uniform,PoisFFT,"P | P | P | P | D | N",192,72,       6.390022
3,double,uniform,PoisFFT,"P | P | P | P | D | N",192,73,       6.375182
3,double,uniform,PoisFFT,"P | P | P | P | D | N",192,74,       6.384282
3,double,uniform,PoisFFT,"P | P | P | P | D | N",256,0,      18.591523
3,double,uniform,PoisFFT,"P | P | P | P | D | N",256,1,      18.123108
3,double,uniform,PoisFFT,"P | P | P | P | D | N",256,2,      17.906621
3,double,uniform,PoisFFT,"P | P | P | P | D | N",256,3,      17.772142
3,double,uniform,PoisFFT,"P | P | P | P | D | N",256,4,      17.739992
3,double,uniform,PoisFFT,"P | P | P | P | D | N",256,5,      17.834181
3,double,uniform,PoisFFT,"P | P | P | P | D | N",256,6,      17.760372
3,double,uniform,PoisFFT,"P | P | P | P | D | N",256,7,      17.749001
3,double,uniform,PoisFFT,"P | P | P | P | D | N",256,8,      17.847640
3,double,uniform,PoisFFT,"P | P | P | P | D | N",256,9,      17.877780
3,double,uniform,PoisFFT,"P | P | P | P | D | N",256,10,      17.841631
3,double,uniform,PoisFFT,"P | P | P | P | D | N",256,11,      18.038178
3,double,uniform,PoisFFT,"P | P | P | P | D | N",256,12,      17.750863
3,double,uniform,PoisFFT,"P | P | P | P | D | N",256,13,      17.793682
3,double,uniform,PoisFFT,"P | P | P | P | D | N",256,14,      17.756132
3,double,uniform,PoisFFT,"P | P | P | P | D | N",256,15,      17.927860
3,double,uniform,PoisFFT,"P | P | P | P | D | N",256,16,      17.796881
3,double,uniform,PoisFFT,"P | P | P | P | D | N",256,17,      17.877271
3,double,uniform,PoisFFT,"P | P | P | P | D | N",256,18,      18.090128
3,double,uniform,PoisFFT,"P | P | P | P | D | N",256,19,      17.878101
3,double,uniform,PoisFFT,"P | P | P | P | D | N",256,20,      17.902600
3,double,uniform,PoisFFT,"P | P | P | P | D | N",256,21,      17.958930
3,double,uniform,PoisFFT,"P | P | P | P | D | N",256,22,      17.900480
3,double,uniform,PoisFFT,"P | P | P | P | D | N",256,23,      17.828611
3,double,uniform,PoisFFT,"P | P | P | P | D | N",256,24,      17.907720
3,double,uniform,PoisFFT,"P | P | P | P | D | N",256,25,      17.809052
3,double,uniform,PoisFFT,"P | P | P | P | D | N",256,26,      17.859761
3,double,uniform,PoisFFT,"P | P | P | P | D | N",256,27,      17.931050
3,double,uniform,PoisFFT,"P | P | P | P | D | N",256,28,      17.852210
3,double,uniform,PoisFFT,"P | P | P | P | D | N",256,29,      17.932270
3,double,uniform,PoisFFT,"P | P | P | P | D | N",256,30,      17.868341
3,double,uniform,PoisFFT,"P | P | P | P | D | N",256,31,      18.130268
3,double,uniform,PoisFFT,"P | P | P | P | D | N",256,32,      17.965149
3,double,uniform,PoisFFT,"P | P | P | P | D | N",256,33,      17.896760
3,double,uniform,PoisFFT,"P | P | P | P | D | N",256,34,      18.003059
3,double,uniform,PoisFFT,"P | P | P | P | D | N",256,35,      17.873701
3,double,uniform,PoisFFT,"P | P | P | P | D | N",256,36,      17.785792
3,double,uniform,PoisFFT,"P | P | P | P | D | N",256,37,      17.816921
