dim,precision,solver_type,api,bc_name,grid_size,iteration,total_execution_ms
1,float,uniform,PoisFFT,"D | N",320,67,       0.002330
1,float,uniform,PoisFFT,"D | N",320,68,       0.002250
1,float,uniform,PoisFFT,"D | N",320,69,       0.002230
1,float,uniform,PoisFFT,"D | N",320,70,       0.002260
1,float,uniform,PoisFFT,"D | N",320,71,       0.002260
1,float,uniform,PoisFFT,"D | N",320,72,       0.002500
1,float,uniform,PoisFFT,"D | N",320,73,       0.002380
1,float,uniform,PoisFFT,"D | N",320,74,       0.002279
1,float,uniform,PoisFFT,"D | N",384,0,       0.005080
1,float,uniform,PoisFFT,"D | N",384,1,       0.002710
1,float,uniform,PoisFFT,"D | N",384,2,       0.002620
1,float,uniform,PoisFFT,"D | N",384,3,       0.002620
1,float,uniform,PoisFFT,"D | N",384,4,       0.002549
1,float,uniform,PoisFFT,"D | N",384,5,       0.002560
1,float,uniform,PoisFFT,"D | N",384,6,       0.002591
1,float,uniform,PoisFFT,"D | N",384,7,       0.002570
1,float,uniform,PoisFFT,"D | N",384,8,       0.002570
1,float,uniform,PoisFFT,"D | N",384,9,       0.002560
1,float,uniform,PoisFFT,"D | N",384,10,       0.002610
1,float,uniform,PoisFFT,"D | N",384,11,       0.002570
1,float,uniform,PoisFFT,"D | N",384,12,       0.002580
1,float,uniform,PoisFFT,"D | N",384,13,       0.002580
1,float,uniform,PoisFFT,"D | N",384,14,       0.002580
1,float,uniform,PoisFFT,"D | N",384,15,       0.002590
1,float,uniform,PoisFFT,"D | N",384,16,       0.002580
1,float,uniform,PoisFFT,"D | N",384,17,       0.002571
1,float,uniform,PoisFFT,"D | N",384,18,       0.002580
1,float,uniform,PoisFFT,"D | N",384,19,       0.002590
1,float,uniform,PoisFFT,"D | N",384,20,       0.002590
1,float,uniform,PoisFFT,"D | N",384,21,       0.002580
1,float,uniform,PoisFFT,"D | N",384,22,       0.002570
1,float,uniform,PoisFFT,"D | N",384,23,       0.002560
1,float,uniform,PoisFFT,"D | N",384,24,       0.002590
1,float,uniform,PoisFFT,"D | N",384,25,       0.002570
1,float,uniform,PoisFFT,"D | N",384,26,       0.002560
1,float,uniform,PoisFFT,"D | N",384,27,       0.002570
1,float,uniform,PoisFFT,"D | N",384,28,       0.002570
1,float,uniform,PoisFFT,"D | N",384,29,       0.002580
1,float,uniform,PoisFFT,"D | N",384,30,       0.002550
1,float,uniform,PoisFFT,"D | N",384,31,       0.002560
1,float,uniform,PoisFFT,"D | N",384,32,       0.002580
1,float,uniform,PoisFFT,"D | N",384,33,       0.002590
1,float,uniform,PoisFFT,"D | N",384,34,       0.002560
1,float,uniform,PoisFFT,"D | N",384,35,       0.004450
1,float,uniform,PoisFFT,"D | N",384,36,       0.003110
1,float,uniform,PoisFFT,"D | N",384,37,       0.002580
1,float,uniform,PoisFFT,"D | N",384,38,       0.002590
1,float,uniform,PoisFFT,"D | N",384,39,       0.002610
1,float,uniform,PoisFFT,"D | N",384,40,       0.002610
1,float,uniform,PoisFFT,"D | N",384,41,       0.002560
1,float,uniform,PoisFFT,"D | N",384,42,       0.002570
1,float,uniform,PoisFFT,"D | N",384,43,       0.002560
1,float,uniform,PoisFFT,"D | N",384,44,       0.002559
1,float,uniform,PoisFFT,"D | N",384,45,       0.002571
1,float,uniform,PoisFFT,"D | N",384,46,       0.002560
1,float,uniform,PoisFFT,"D | N",384,47,       0.002590
1,float,uniform,PoisFFT,"D | N",384,48,       0.002550
1,float,uniform,PoisFFT,"D | N",384,49,       0.002580
1,float,uniform,PoisFFT,"D | N",384,50,       0.002560
