dim,precision,solver_type,api,bc_name,grid_size,iteration,total_execution_ms
1,double,uniform,PoisFFT,"P | P",320,52,       0.001840
1,double,uniform,PoisFFT,"P | P",320,53,       0.001780
1,double,uniform,PoisFFT,"P | P",320,54,       0.001780
1,double,uniform,PoisFFT,"P | P",320,55,       0.001800
1,double,uniform,PoisFFT,"P | P",320,56,       0.001840
1,double,uniform,PoisFFT,"P | P",320,57,       0.001830
1,double,uniform,PoisFFT,"P | P",320,58,       0.001830
1,double,uniform,PoisFFT,"P | P",320,59,       0.001780
1,double,uniform,PoisFFT,"P | P",320,60,       0.001850
1,double,uniform,PoisFFT,"P | P",320,61,       0.001840
1,double,uniform,PoisFFT,"P | P",320,62,       0.001780
1,double,uniform,PoisFFT,"P | P",320,63,       0.001780
1,double,uniform,PoisFFT,"P | P",320,64,       0.001800
1,double,uniform,PoisFFT,"P | P",320,65,       0.001770
1,double,uniform,PoisFFT,"P | P",320,66,       0.001790
1,double,uniform,PoisFFT,"P | P",320,67,       0.001800
1,double,uniform,PoisFFT,"P | P",320,68,       0.001780
1,double,uniform,PoisFFT,"P | P",320,69,       0.001820
1,double,uniform,PoisFFT,"P | P",320,70,       0.001840
1,double,uniform,PoisFFT,"P | P",320,71,       0.001809
1,double,uniform,PoisFFT,"P | P",320,72,       0.001791
1,double,uniform,PoisFFT,"P | P",320,73,       0.001780
1,double,uniform,PoisFFT,"P | P",320,74,       0.001780
1,double,uniform,PoisFFT,"P | P",384,0,       0.004240
1,double,uniform,PoisFFT,"P | P",384,1,       0.002380
1,double,uniform,PoisFFT,"P | P",384,2,       0.002200
1,double,uniform,PoisFFT,"P | P",384,3,       0.002160
1,double,uniform,PoisFFT,"P | P",384,4,       0.002130
1,double,uniform,PoisFFT,"P | P",384,5,       0.002130
1,double,uniform,PoisFFT,"P | P",384,6,       0.002150
1,double,uniform,PoisFFT,"P | P",384,7,       0.002140
1,double,uniform,PoisFFT,"P | P",384,8,       0.002169
1,double,uniform,PoisFFT,"P | P",384,9,       0.002129
1,double,uniform,PoisFFT,"P | P",384,10,       0.002150
1,double,uniform,PoisFFT,"P | P",384,11,       0.002140
1,double,uniform,PoisFFT,"P | P",384,12,       0.002180
1,double,uniform,PoisFFT,"P | P",384,13,       0.002100
1,double,uniform,PoisFFT,"P | P",384,14,       0.002120
1,double,uniform,PoisFFT,"P | P",384,15,       0.002140
1,double,uniform,PoisFFT,"P | P",384,16,       0.002160
1,double,uniform,PoisFFT,"P | P",384,17,       0.002090
1,double,uniform,PoisFFT,"P | P",384,18,       0.002130
1,double,uniform,PoisFFT,"P | P",384,19,       0.002110
1,double,uniform,PoisFFT,"P | P",384,20,       0.002120
1,double,uniform,PoisFFT,"P | P",384,21,       0.002100
1,double,uniform,PoisFFT,"P | P",384,22,       0.002120
1,double,uniform,PoisFFT,"P | P",384,23,       0.002150
1,double,uniform,PoisFFT,"P | P",384,24,       0.002120
1,double,uniform,PoisFFT,"P | P",384,25,       0.002150
1,double,uniform,PoisFFT,"P | P",384,26,       0.002130
1,double,uniform,PoisFFT,"P | P",384,27,       0.002100
1,double,uniform,PoisFFT,"P | P",384,28,       0.002160
1,double,uniform,PoisFFT,"P | P",384,29,       0.002160
1,double,uniform,PoisFFT,"P | P",384,30,       0.002120
1,double,uniform,PoisFFT,"P | P",384,31,       0.002160
1,double,uniform,PoisFFT,"P | P",384,32,       0.002120
1,double,uniform,PoisFFT,"P | P",384,33,       0.002111
1,double,uniform,PoisFFT,"P | P",384,34,       0.002120
1,double,uniform,PoisFFT,"P | P",384,35,       0.002130
1,double,uniform,PoisFFT,"P | P",384,36,       0.002110
1,double,uniform,PoisFFT,"P | P",384,37,       0.002130
1,double,uniform,PoisFFT,"P | P",384,38,       0.002110
1,double,uniform,PoisFFT,"P | P",384,39,       0.002140
1,double,uniform,PoisFFT,"P | P",384,40,       0.002130
1,double,uniform,PoisFFT,"P | P",384,41,       0.002120
1,double,uniform,PoisFFT,"P | P",384,42,       0.002140
1,double,uniform,PoisFFT,"P | P",384,43,       0.002171
1,double,uniform,PoisFFT,"P | P",384,44,       0.002109
1,double,uniform,PoisFFT,"P | P",384,45,       0.002120
1,double,uniform,PoisFFT,"P | P",384,46,       0.002170
1,double,uniform,PoisFFT,"P | P",384,47,       0.002180
1,double,uniform,PoisFFT,"P | P",384,48,       0.002120
1,double,uniform,PoisFFT,"P | P",384,49,       0.002100
1,double,uniform,PoisFFT,"P | P",384,50,       0.002140
1,double,uniform,PoisFFT,"P | P",384,51,       0.002130
1,double,uniform,PoisFFT,"P | P",384,52,       0.002150
1,double,uniform,PoisFFT,"P | P",384,53,       0.002160
1,double,uniform,PoisFFT,"P | P",384,54,       0.002080
1,double,uniform,PoisFFT,"P | P",384,55,       0.002151
1,double,uniform,PoisFFT,"P | P",384,56,       0.002110
1,double,uniform,PoisFFT,"P | P",384,57,       0.002120
1,double,uniform,PoisFFT,"P | P",384,58,       0.002150
1,double,uniform,PoisFFT,"P | P",384,59,       0.002130
1,double,uniform,PoisFFT,"P | P",384,60,       0.002110
1,double,uniform,PoisFFT,"P | P",384,61,       0.002110
1,double,uniform,PoisFFT,"P | P",384,62,       0.002150
1,double,uniform,PoisFFT,"P | P",384,63,       0.002130
1,double,uniform,PoisFFT,"P | P",384,64,       0.002120
1,double,uniform,PoisFFT,"P | P",384,65,       0.002150
1,double,uniform,PoisFFT,"P | P",384,66,       0.002111
1,double,uniform,PoisFFT,"P | P",384,67,       0.002100
1,double,uniform,PoisFFT,"P | P",384,68,       0.002150
1,double,uniform,PoisFFT,"P | P",384,69,       0.002260
1,double,uniform,PoisFFT,"P | P",384,70,       0.002120
1,double,uniform,PoisFFT,"P | P",384,71,       0.002110
1,double,uniform,PoisFFT,"P | P",384,72,       0.002160
1,double,uniform,PoisFFT,"P | P",384,73,       0.002150
1,double,uniform,PoisFFT,"P | P",384,74,       0.002150
1,double,uniform,PoisFFT,"P | P",448,0,       0.004730
