dim,precision,solver_type,api,bc_name,grid_size,iteration,total_execution_ms
3,float,uniform,PoisFFT,"D | D | D | D | D | D",256,14,      67.045866
3,float,uniform,PoisFFT,"D | D | D | D | D | D",256,15,      67.148205
3,float,uniform,PoisFFT,"D | D | D | D | D | D",256,16,      67.322053
3,float,uniform,PoisFFT,"D | D | D | D | D | D",256,17,      67.076136
3,float,uniform,PoisFFT,"D | D | D | D | D | D",256,18,      67.166884
3,float,uniform,PoisFFT,"D | D | D | D | D | D",256,19,      67.152525
3,float,uniform,PoisFFT,"D | D | D | D | D | D",256,20,      67.086635
3,float,uniform,PoisFFT,"D | D | D | D | D | D",256,21,      67.184865
3,float,uniform,PoisFFT,"D | D | D | D | D | D",256,22,      66.935247
3,float,uniform,PoisFFT,"D | D | D | D | D | D",256,23,      67.241274
3,float,uniform,PoisFFT,"D | D | D | D | D | D",256,24,      67.357533
3,float,uniform,PoisFFT,"D | D | D | D | D | D",256,25,      67.131765
3,float,uniform,PoisFFT,"D | D | D | D | D | D",256,26,      67.196065
3,float,uniform,PoisFFT,"D | D | D | D | D | D",256,27,      67.270514
3,float,uniform,PoisFFT,"D | D | D | D | D | D",256,28,      67.219665
3,float,uniform,PoisFFT,"D | D | D | D | D | D",256,29,      67.379863
3,float,uniform,PoisFFT,"D | D | D | D | D | D",256,30,      67.021646
3,float,uniform,PoisFFT,"D | D | D | D | D | D",256,31,      67.342803
3,float,uniform,PoisFFT,"D | D | D | D | D | D",256,32,      67.109235
3,float,uniform,PoisFFT,"D | D | D | D | D | D",256,33,      67.214294
3,float,uniform,PoisFFT,"D | D | D | D | D | D",256,34,      67.346874
3,float,uniform,PoisFFT,"D | D | D | D | D | D",256,35,      67.158375
3,float,uniform,PoisFFT,"D | D | D | D | D | D",256,36,      67.189775
3,float,uniform,PoisFFT,"D | D | D | D | D | D",256,37,      66.997216
3,float,uniform,PoisFFT,"D | D | D | D | D | D",256,38,      67.191955
3,float,uniform,PoisFFT,"D | D | D | D | D | D",256,39,      67.086466
