dim,precision,solver_type,api,bc_name,grid_size,iteration,total_execution_ms
3,double,uniform,PoisFFT,"D | D | D | D | N | D",128,62,       6.596150
3,double,uniform,PoisFFT,"D | D | D | D | N | D",128,63,       6.023746
3,double,uniform,PoisFFT,"D | D | D | D | N | D",128,64,       6.529440
3,double,uniform,PoisFFT,"D | D | D | D | N | D",128,65,       6.158285
3,double,uniform,PoisFFT,"D | D | D | D | N | D",128,66,       6.310763
3,double,uniform,PoisFFT,"D | D | D | D | N | D",128,67,       6.032985
3,double,uniform,PoisFFT,"D | D | D | D | N | D",128,68,       6.514180
3,double,uniform,PoisFFT,"D | D | D | D | N | D",128,69,       6.012296
3,double,uniform,PoisFFT,"D | D | D | D | N | D",128,70,       6.498650
3,double,uniform,PoisFFT,"D | D | D | D | N | D",128,71,       6.008667
3,double,uniform,PoisFFT,"D | D | D | D | N | D",128,72,       6.345752
3,double,uniform,PoisFFT,"D | D | D | D | N | D",128,73,       6.003376
3,double,uniform,PoisFFT,"D | D | D | D | N | D",128,74,       5.966527
3,double,uniform,PoisFFT,"D | D | D | D | N | D",192,0,      21.110654
3,double,uniform,PoisFFT,"D | D | D | D | N | D",192,1,      20.940877
3,double,uniform,PoisFFT,"D | D | D | D | N | D",192,2,      20.758079
3,double,uniform,PoisFFT,"D | D | D | D | N | D",192,3,      20.715718
3,double,uniform,PoisFFT,"D | D | D | D | N | D",192,4,      20.862787
3,double,uniform,PoisFFT,"D | D | D | D | N | D",192,5,      20.887257
3,double,uniform,PoisFFT,"D | D | D | D | N | D",192,6,      20.903306
3,double,uniform,PoisFFT,"D | D | D | D | N | D",192,7,      20.901737
3,double,uniform,PoisFFT,"D | D | D | D | N | D",192,8,      20.979186
3,double,uniform,PoisFFT,"D | D | D | D | N | D",192,9,      20.936806
3,double,uniform,PoisFFT,"D | D | D | D | N | D",192,10,      20.884037
3,double,uniform,PoisFFT,"D | D | D | D | N | D",192,11,      20.765378
3,double,uniform,PoisFFT,"D | D | D | D | N | D",192,12,      20.826077
3,double,uniform,PoisFFT,"D | D | D | D | N | D",192,13,      20.931767
3,double,uniform,PoisFFT,"D | D | D | D | N | D",192,14,      20.980245
3,double,uniform,PoisFFT,"D | D | D | D | N | D",192,15,      20.910736
3,double,uniform,PoisFFT,"D | D | D | D | N | D",192,16,      20.892097
3,double,uniform,PoisFFT,"D | D | D | D | N | D",192,17,      20.922246
3,double,uniform,PoisFFT,"D | D | D | D | N | D",192,18,      20.921847
3,double,uniform,PoisFFT,"D | D | D | D | N | D",192,19,      20.964866
3,double,uniform,PoisFFT,"D | D | D | D | N | D",192,20,      20.897127
3,double,uniform,PoisFFT,"D | D | D | D | N | D",192,21,      20.837657
3,double,uniform,PoisFFT,"D | D | D | D | N | D",192,22,      20.883997
3,double,uniform,PoisFFT,"D | D | D | D | N | D",192,23,      20.968716
3,double,uniform,PoisFFT,"D | D | D | D | N | D",192,24,      20.923266
3,double,uniform,PoisFFT,"D | D | D | D | N | D",192,25,      20.911157
3,double,uniform,PoisFFT,"D | D | D | D | N | D",192,26,      20.930327
3,double,uniform,PoisFFT,"D | D | D | D | N | D",192,27,      20.777448
3,double,uniform,PoisFFT,"D | D | D | D | N | D",192,28,      20.960356
3,double,uniform,PoisFFT,"D | D | D | D | N | D",192,29,      20.737388
3,double,uniform,PoisFFT,"D | D | D | D | N | D",192,30,      20.900627
3,double,uniform,PoisFFT,"D | D | D | D | N | D",192,31,      20.756278
3,double,uniform,PoisFFT,"D | D | D | D | N | D",192,32,      20.789868
3,double,uniform,PoisFFT,"D | D | D | D | N | D",192,33,      20.887567
3,double,uniform,PoisFFT,"D | D | D | D | N | D",192,34,      20.815457
3,double,uniform,PoisFFT,"D | D | D | D | N | D",192,35,      20.800348
3,double,uniform,PoisFFT,"D | D | D | D | N | D",192,36,      20.660889
