dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
2,float,uniform,CPU,"Ns | Ns | Ns | Ns",320,11,0.25968,0,0.037261,0.014336,0.362755,0.311277
2,float,uniform,CPU,"Ns | Ns | Ns | Ns",320,12,0.259456,0,0.037339,0.013312,0.363393,0.310107
2,float,uniform,CPU,"Ns | Ns | Ns | Ns",320,13,0.25088,0,0.037274,0.013312,0.353922,0.301466
2,float,uniform,CPU,"Ns | Ns | Ns | Ns",320,14,0.250496,0,0.037553,0.013312,0.354303,0.301361
2,float,uniform,CPU,"Ns | Ns | Ns | Ns",320,15,0.253024,0,0.037447,0.013312,0.358334,0.303783
2,float,uniform,CPU,"Ns | Ns | Ns | Ns",320,16,0.254624,0,0.037335,0.014336,0.359389,0.306295
2,float,uniform,CPU,"Ns | Ns | Ns | Ns",320,17,0.253536,0,0.037505,0.013312,0.356896,0.304353
2,float,uniform,CPU,"Ns | Ns | Ns | Ns",320,18,0.2536,0,0.037096,0.013312,0.356231,0.304008
2,float,uniform,CPU,"Ns | Ns | Ns | Ns",320,19,0.251616,0,0.037496,0.013312,0.354957,0.302424
2,float,uniform,CPU,"Ns | Ns | Ns | Ns",384,0,0.33952,0,0.063104,0.019456,0.484134,0.42208
2,float,uniform,CPU,"Ns | Ns | Ns | Ns",384,1,0.35424,0,0.046691,0.033792,0.49089,0.434723
2,float,uniform,CPU,"Ns | Ns | Ns | Ns",384,2,0.433504,0,0.04416,0.016384,0.54762,0.494048
2,float,uniform,CPU,"Ns | Ns | Ns | Ns",384,3,0.332288,0,0.0433,0.014336,0.444544,0.389924
2,float,uniform,CPU,"Ns | Ns | Ns | Ns",384,4,0.332064,0,0.043874,0.013312,0.44347,0.38925
2,float,uniform,CPU,"Ns | Ns | Ns | Ns",384,5,0.333792,0,0.042944,0.014336,0.444211,0.391072
2,float,uniform,CPU,"Ns | Ns | Ns | Ns",384,6,0.334336,0,0.043163,0.013312,0.445428,0.390811
2,float,uniform,CPU,"Ns | Ns | Ns | Ns",384,7,0.332096,0,0.043452,0.014336,0.443488,0.389884
2,float,uniform,CPU,"Ns | Ns | Ns | Ns",384,8,0.332384,0,0.043147,0.014336,0.443464,0.389867
2,float,uniform,CPU,"Ns | Ns | Ns | Ns",384,9,0.331488,0,0.043473,0.013312,0.442866,0.388273
2,float,uniform,CPU,"Ns | Ns | Ns | Ns",384,10,0.33376,0,0.043104,0.01536,0.443726,0.392224
2,float,uniform,CPU,"Ns | Ns | Ns | Ns",384,11,0.33376,0,0.043094,0.013312,0.44437,0.390166
2,float,uniform,CPU,"Ns | Ns | Ns | Ns",384,12,0.331552,0,0.04386,0.013312,0.443162,0.388724
2,float,uniform,CPU,"Ns | Ns | Ns | Ns",384,13,0.331968,0,0.043014,0.013312,0.44182,0.388294
2,float,uniform,CPU,"Ns | Ns | Ns | Ns",384,14,0.33792,0,0.043026,0.013312,0.449369,0.394258
2,float,uniform,CPU,"Ns | Ns | Ns | Ns",384,15,0.332448,0,0.043726,0.013312,0.443726,0.389486
2,float,uniform,CPU,"Ns | Ns | Ns | Ns",384,16,0.332672,0,0.042945,0.013312,0.442499,0.388929
2,float,uniform,CPU,"Ns | Ns | Ns | Ns",384,17,0.330784,0,0.043156,0.01536,0.440948,0.3893
2,float,uniform,CPU,"Ns | Ns | Ns | Ns",384,18,0.333248,0,0.043252,0.01536,0.444244,0.39186
2,float,uniform,CPU,"Ns | Ns | Ns | Ns",384,19,0.330528,0,0.043168,0.01536,0.441275,0.389056
2,float,uniform,CPU,"Ns | Ns | Ns | Ns",448,0,0.451648,0,0.057063,0.019456,0.592211,0.528167
2,float,uniform,CPU,"Ns | Ns | Ns | Ns",448,1,0.480128,0,0.046432,0.018432,0.600896,0.544992
2,float,uniform,CPU,"Ns | Ns | Ns | Ns",448,2,0.451072,0,0.044597,0.016384,0.574476,0.512053
2,float,uniform,CPU,"Ns | Ns | Ns | Ns",448,3,0.460032,0,0.044053,0.01536,0.573884,0.519445
2,float,uniform,CPU,"Ns | Ns | Ns | Ns",448,4,0.450688,0,0.04351,0.016384,0.562915,0.510582
2,float,uniform,CPU,"Ns | Ns | Ns | Ns",448,5,0.450112,0,0.045743,0.01536,0.568859,0.511215
2,float,uniform,CPU,"Ns | Ns | Ns | Ns",448,6,0.453088,0,0.044109,0.016384,0.569338,0.513581
2,float,uniform,CPU,"Ns | Ns | Ns | Ns",448,7,0.45712,0,0.043805,0.014336,0.569469,0.515261
2,float,uniform,CPU,"Ns | Ns | Ns | Ns",448,8,0.44768,0,0.043662,0.01536,0.566665,0.506702
2,float,uniform,CPU,"Ns | Ns | Ns | Ns",448,9,0.452704,0,0.043256,0.01536,0.563807,0.51132
2,float,uniform,CPU,"Ns | Ns | Ns | Ns",448,10,0.456736,0,0.043496,0.01536,0.569773,0.515592
2,float,uniform,CPU,"Ns | Ns | Ns | Ns",448,11,0.446656,0,0.043656,0.01536,0.55935,0.505672
2,float,uniform,CPU,"Ns | Ns | Ns | Ns",448,12,0.448288,0,0.043837,0.01536,0.561163,0.507485
2,float,uniform,CPU,"Ns | Ns | Ns | Ns",448,13,0.448224,0,0.043592,0.01536,0.559702,0.507176
2,float,uniform,CPU,"Ns | Ns | Ns | Ns",448,14,0.543424,0,0.043848,0.014336,0.655678,0.601608
2,float,uniform,CPU,"Ns | Ns | Ns | Ns",448,15,0.448736,0,0.043799,0.01536,0.646625,0.507895
2,float,uniform,CPU,"Ns | Ns | Ns | Ns",448,16,0.44816,0,0.043417,0.014336,0.605444,0.505913
2,float,uniform,CPU,"Ns | Ns | Ns | Ns",448,17,0.54992,0,0.043805,0.016384,0.661866,0.610109
2,float,uniform,CPU,"Ns | Ns | Ns | Ns",448,18,0.44848,0,0.043262,0.01536,0.561517,0.507102
2,float,uniform,CPU,"Ns | Ns | Ns | Ns",448,19,0.4528,0,0.0438,0.014336,0.564674,0.510936
2,float,uniform,CPU,"Ns | Ns | Ns | Ns",512,0,0.58656,0,0.062407,0.021504,0.73497,0.670471
2,float,uniform,CPU,"Ns | Ns | Ns | Ns",512,1,0.610816,0,0.051327,0.018432,0.735752,0.680575
2,float,uniform,CPU,"Ns | Ns | Ns | Ns",512,2,0.582848,0,0.048641,0.016384,0.702094,0.647873
2,float,uniform,CPU,"Ns | Ns | Ns | Ns",512,3,0.569888,0,0.048153,0.016384,0.688211,0.634425
2,float,uniform,CPU,"Ns | Ns | Ns | Ns",512,4,0.56864,0,0.047644,0.016384,0.685164,0.632668
2,float,uniform,CPU,"Ns | Ns | Ns | Ns",512,5,0.574272,0,0.048375,0.016384,0.692663,0.639031
2,float,uniform,CPU,"Ns | Ns | Ns | Ns",512,6,0.671808,0,0.048331,0.016384,0.789382,0.736523
2,float,uniform,CPU,"Ns | Ns | Ns | Ns",512,7,0.572,0,0.048067,0.016384,0.749275,0.636451
2,float,uniform,CPU,"Ns | Ns | Ns | Ns",512,8,0.571648,0,0.048041,0.016384,0.689664,0.636073
2,float,uniform,CPU,"Ns | Ns | Ns | Ns",512,9,0.664288,0,0.047898,0.01536,0.782645,0.727546
2,float,uniform,CPU,"Ns | Ns | Ns | Ns",512,10,0.575648,0,0.047675,0.01536,0.691854,0.638683
2,float,uniform,CPU,"Ns | Ns | Ns | Ns",512,11,0.56528,0,0.047581,0.01536,0.682126,0.628221
2,float,uniform,CPU,"Ns | Ns | Ns | Ns",512,12,0.578304,0,0.047463,0.016384,0.695788,0.642151
2,float,uniform,CPU,"Ns | Ns | Ns | Ns",512,13,0.565472,0,0.052468,0.016384,0.68866,0.634324
2,float,uniform,CPU,"Ns | Ns | Ns | Ns",512,14,0.569504,0,0.048484,0.016384,0.693947,0.634372
2,float,uniform,CPU,"Ns | Ns | Ns | Ns",512,15,0.590688,0,0.047699,0.016384,0.708328,0.654771
2,float,uniform,CPU,"Ns | Ns | Ns | Ns",512,16,0.570048,0,0.047625,0.01536,0.688199,0.633033
2,float,uniform,CPU,"Ns | Ns | Ns | Ns",512,17,0.567904,0,0.04724,0.015392,0.684898,0.630536
2,float,uniform,CPU,"Ns | Ns | Ns | Ns",512,18,0.569344,0,0.049541,0.017408,0.69196,0.636293
2,float,uniform,CPU,"Ns | Ns | Ns | Ns",512,19,0.57904,0,0.048698,0.016384,0.698042,0.644122
