dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
1,float,uniform,GPU,"Ds | Ns",384,10,0.018432,0,0.027532,0.012288,0.109415,0.058252
1,float,uniform,GPU,"Ds | Ns",384,11,0.018432,0,0.027652,0.011264,0.105099,0.057348
1,float,uniform,GPU,"Ds | Ns",384,12,0.019456,0,0.028079,0.012288,0.106413,0.059823
1,float,uniform,GPU,"Ds | Ns",384,13,0.019456,0,0.028543,0.011264,0.196306,0.059263
1,float,uniform,GPU,"Ds | Ns",384,14,0.019456,0,0.027707,0.013312,0.105391,0.060475
1,float,uniform,GPU,"Ds | Ns",384,15,0.018432,0,0.028363,0.014336,0.109272,0.061131
1,float,uniform,GPU,"Ds | Ns",384,16,0.018432,0,0.027797,0.011264,0.105087,0.057493
1,float,uniform,GPU,"Ds | Ns",384,17,0.017408,0,0.027332,0.012288,0.104429,0.057028
1,float,uniform,GPU,"Ds | Ns",384,18,0.017408,0,0.027849,0.013312,0.105257,0.058569
1,float,uniform,GPU,"Ds | Ns",384,19,0.018432,0,0.027441,0.011264,0.105673,0.057137
1,float,uniform,GPU,"Ds | Ns",448,0,0.029696,0,0.03757,0.016384,0.138026,0.08365
1,float,uniform,GPU,"Ds | Ns",448,1,0.021504,0,0.025938,0.014336,0.116175,0.061778
1,float,uniform,GPU,"Ds | Ns",448,2,0.019456,0,0.025488,0.012288,0.106083,0.057232
1,float,uniform,GPU,"Ds | Ns",448,3,0.018432,0,0.025109,0.017408,0.109121,0.060949
1,float,uniform,GPU,"Ds | Ns",448,4,0.017408,0,0.025063,0.011264,0.10245,0.053735
1,float,uniform,GPU,"Ds | Ns",448,5,0.019456,0,0.025034,0.012288,0.103942,0.056778
1,float,uniform,GPU,"Ds | Ns",448,6,0.019456,0,0.024978,0.012288,0.103952,0.056722
1,float,uniform,GPU,"Ds | Ns",448,7,0.018432,0,0.02515,0.012288,0.104825,0.05587
1,float,uniform,GPU,"Ds | Ns",448,8,0.019456,0,0.033324,0.013312,0.114088,0.066092
1,float,uniform,GPU,"Ds | Ns",448,9,0.019456,0,0.025152,0.013312,0.103383,0.05792
1,float,uniform,GPU,"Ds | Ns",448,10,0.018432,0,0.025222,0.012288,0.103328,0.055942
1,float,uniform,GPU,"Ds | Ns",448,11,0.019456,0,0.025158,0.011264,0.162746,0.055878
1,float,uniform,GPU,"Ds | Ns",448,12,0.018432,0,0.025009,0.012288,0.102821,0.055729
1,float,uniform,GPU,"Ds | Ns",448,13,0.018432,0,0.025134,0.012288,0.10333,0.055854
1,float,uniform,GPU,"Ds | Ns",448,14,0.018432,0,0.025101,0.011264,0.109358,0.054797
1,float,uniform,GPU,"Ds | Ns",448,15,0.018432,0,0.025695,0.011264,0.103685,0.055391
1,float,uniform,GPU,"Ds | Ns",448,16,0.018432,0,0.025098,0.011264,0.103069,0.054794
1,float,uniform,GPU,"Ds | Ns",448,17,0.018432,0,0.025122,0.012288,0.103912,0.055842
1,float,uniform,GPU,"Ds | Ns",448,18,0.018432,0,0.025761,0.012288,0.105025,0.056481
1,float,uniform,GPU,"Ds | Ns",448,19,0.018432,0,0.024914,0.012288,0.103341,0.055634
1,float,uniform,GPU,"Ds | Ns",512,0,0.029696,0,0.03874,0.017408,0.140776,0.085844
1,float,uniform,GPU,"Ds | Ns",512,1,0.021504,0,0.026762,0.01536,0.112965,0.063626
1,float,uniform,GPU,"Ds | Ns",512,2,0.021504,0,0.025544,0.013312,0.108301,0.06036
1,float,uniform,GPU,"Ds | Ns",512,3,0.019456,0,0.026188,0.012288,0.106089,0.057932
1,float,uniform,GPU,"Ds | Ns",512,4,0.019456,0,0.025833,0.012288,0.107511,0.057577
1,float,uniform,GPU,"Ds | Ns",512,5,0.019456,0,0.025328,0.013312,0.106208,0.058096
1,float,uniform,GPU,"Ds | Ns",512,6,0.019456,0,0.025689,0.011264,0.104876,0.056409
1,float,uniform,GPU,"Ds | Ns",512,7,0.018432,0,0.025975,0.012288,0.104031,0.056695
1,float,uniform,GPU,"Ds | Ns",512,8,0.019456,0,0.025298,0.012288,0.105231,0.057042
1,float,uniform,GPU,"Ds | Ns",512,9,0.023552,0,0.059038,0.016384,0.154915,0.098974
1,float,uniform,GPU,"Ds | Ns",512,10,0.019456,0,0.025718,0.013312,0.104978,0.058486
1,float,uniform,GPU,"Ds | Ns",512,11,0.018432,0,0.024922,0.013312,0.103334,0.056666
1,float,uniform,GPU,"Ds | Ns",512,12,0.019456,0,0.031386,0.012288,0.111761,0.06313
1,float,uniform,GPU,"Ds | Ns",512,13,0.02048,0,0.026134,0.012288,0.111394,0.058902
1,float,uniform,GPU,"Ds | Ns",512,14,0.019456,0,0.024944,0.012288,0.104527,0.056688
1,float,uniform,GPU,"Ds | Ns",512,15,0.018432,0,0.025019,0.012288,0.103504,0.055739
1,float,uniform,GPU,"Ds | Ns",512,16,0.019456,0,0.025577,0.013312,0.104166,0.058345
1,float,uniform,GPU,"Ds | Ns",512,17,0.018432,0,0.02498,0.013312,0.103421,0.056724
1,float,uniform,GPU,"Ds | Ns",512,18,0.02048,0,0.024927,0.012288,0.104442,0.057695
1,float,uniform,GPU,"Ds | Ns",512,19,0.019456,0,0.025064,0.012288,0.105689,0.056808
