dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,float,uniform,GPU,"P | P | Ns | Ns | P | P",384,0,1.18118,0.003514,10.3955,3.28397,15.0037,14.8642
3,float,uniform,GPU,"P | P | Ns | Ns | P | P",384,1,1.17558,0.003081,10.2368,3.28294,14.8341,14.6984
3,float,uniform,GPU,"P | P | Ns | Ns | P | P",384,2,1.17907,0.003124,10.2723,3.27475,14.8678,14.7293
3,float,uniform,GPU,"P | P | Ns | Ns | P | P",384,3,1.18035,0.003091,10.3152,3.27782,14.9154,14.7765
3,float,uniform,GPU,"P | P | Ns | Ns | P | P",384,4,1.17411,0.003056,10.3233,3.27475,14.9128,14.7752
3,float,uniform,GPU,"P | P | Ns | Ns | P | P",384,5,1.17779,0.002984,10.2744,3.27475,14.8702,14.73
3,float,uniform,GPU,"P | P | Ns | Ns | P | P",384,6,1.17459,0.003104,10.2581,3.27578,14.849,14.7116
3,float,uniform,GPU,"P | P | Ns | Ns | P | P",384,7,1.17629,0.003041,10.3468,3.27168,14.9357,14.7978
3,float,uniform,GPU,"P | P | Ns | Ns | P | P",384,8,1.17718,0.003075,10.2367,3.27987,14.8376,14.6969
3,float,uniform,GPU,"P | P | Ns | Ns | P | P",384,9,1.17568,0.003161,10.225,3.27373,14.8177,14.6776
3,float,uniform,GPU,"P | P | Ns | Ns | P | P",384,10,1.17898,0.003098,10.2509,3.27782,14.8492,14.7108
3,float,uniform,GPU,"P | P | Ns | Ns | P | P",384,11,1.17824,0.003108,10.3474,3.27168,14.9399,14.8004
3,float,uniform,GPU,"P | P | Ns | Ns | P | P",384,12,1.17798,0.003084,10.3785,3.28192,14.9823,14.8415
3,float,uniform,GPU,"P | P | Ns | Ns | P | P",384,13,1.1785,0.00308,10.293,3.27066,14.8839,14.7452
3,float,uniform,GPU,"P | P | Ns | Ns | P | P",384,14,1.17696,0.003075,10.3638,3.2768,14.9585,14.8206
3,float,uniform,GPU,"P | P | Ns | Ns | P | P",384,15,1.17786,0.003434,10.4455,3.2727,15.041,14.8995
3,float,uniform,GPU,"P | P | Ns | Ns | P | P",384,16,1.18342,0.004116,10.3119,3.28499,14.928,14.7844
3,float,uniform,GPU,"P | P | Ns | Ns | P | P",384,17,1.1769,0.003045,10.1505,3.26861,14.7376,14.5991
3,float,uniform,GPU,"P | P | Ns | Ns | P | P",384,18,1.17696,0.003118,10.2191,3.2809,14.8175,14.6801
3,float,uniform,GPU,"P | P | Ns | Ns | P | P",384,19,1.17744,0.003065,10.3918,3.28704,14.9987,14.8593
3,float,uniform,GPU,"P | P | Ns | Ns | P | P",448,0,1.87718,0.003091,15.5704,5.37805,22.9701,22.8287
3,float,uniform,GPU,"P | P | Ns | Ns | P | P",448,1,1.87245,0.002994,15.5432,5.38931,22.9523,22.8079
3,float,uniform,GPU,"P | P | Ns | Ns | P | P",448,2,1.87408,0.003036,15.6123,5.37088,23.0015,22.8603
3,float,uniform,GPU,"P | P | Ns | Ns | P | P",448,3,1.8743,0.002875,15.6563,5.38624,23.0623,22.9197
3,float,uniform,GPU,"P | P | Ns | Ns | P | P",448,4,1.87562,0.002897,15.5587,5.39136,22.9682,22.8286
3,float,uniform,GPU,"P | P | Ns | Ns | P | P",448,5,1.87363,0.002841,15.5571,5.37498,22.9514,22.8085
3,float,uniform,GPU,"P | P | Ns | Ns | P | P",448,6,1.87328,0.002854,15.663,5.36678,23.0467,22.9059
3,float,uniform,GPU,"P | P | Ns | Ns | P | P",448,7,1.87242,0.002862,15.7465,5.37702,23.1389,22.9988
3,float,uniform,GPU,"P | P | Ns | Ns | P | P",448,8,1.87414,0.002829,15.5882,5.38112,22.9853,22.8463
3,float,uniform,GPU,"P | P | Ns | Ns | P | P",448,9,1.87242,0.00284,15.6003,5.38726,23.0043,22.8628
3,float,uniform,GPU,"P | P | Ns | Ns | P | P",448,10,1.87181,0.002879,15.5817,5.37498,22.9726,22.8313
3,float,uniform,GPU,"P | P | Ns | Ns | P | P",448,11,1.8729,0.002834,15.5742,5.38522,22.9776,22.8352
3,float,uniform,GPU,"P | P | Ns | Ns | P | P",448,12,1.87603,0.002822,15.6016,5.36166,22.9871,22.8421
3,float,uniform,GPU,"P | P | Ns | Ns | P | P",448,13,1.87299,0.002822,15.5739,5.38317,22.9757,22.8329
3,float,uniform,GPU,"P | P | Ns | Ns | P | P",448,14,1.87344,0.0029,15.5865,5.39955,23.0059,22.8624
3,float,uniform,GPU,"P | P | Ns | Ns | P | P",448,15,1.87392,0.002832,15.5737,5.38522,22.9783,22.8357
3,float,uniform,GPU,"P | P | Ns | Ns | P | P",448,16,1.87421,0.003055,15.5488,5.37088,22.9384,22.797
3,float,uniform,GPU,"P | P | Ns | Ns | P | P",448,17,1.87274,0.003037,15.5808,5.38112,22.9822,22.8377
3,float,uniform,GPU,"P | P | Ns | Ns | P | P",448,18,1.87114,0.002824,15.5793,5.37395,22.9682,22.8272
3,float,uniform,GPU,"P | P | Ns | Ns | P | P",448,19,1.87392,0.002792,15.6141,5.38829,23.0203,22.8791
3,float,uniform,GPU,"P | P | Ns | Ns | P | P",512,0,2.76314,0.002745,37.1918,7.58886,47.6858,47.5466
3,float,uniform,GPU,"P | P | Ns | Ns | P | P",512,1,2.7576,0.002889,37.6482,7.57862,48.1253,47.9874
3,float,uniform,GPU,"P | P | Ns | Ns | P | P",512,2,2.75661,0.002735,37.4837,7.59194,47.9738,47.835
3,float,uniform,GPU,"P | P | Ns | Ns | P | P",512,3,2.75946,0.002754,36.5667,7.55302,47.0206,46.882
3,float,uniform,GPU,"P | P | Ns | Ns | P | P",512,4,2.76032,0.003017,37.4897,7.56941,47.9618,47.8225
3,float,uniform,GPU,"P | P | Ns | Ns | P | P",512,5,2.76077,0.002753,36.8998,7.5776,47.3798,47.241
3,float,uniform,GPU,"P | P | Ns | Ns | P | P",512,6,2.75776,0.002776,36.7171,7.55814,47.1741,47.0358
3,float,uniform,GPU,"P | P | Ns | Ns | P | P",512,7,2.76003,0.002692,37.7595,7.57555,48.2349,48.0978
3,float,uniform,GPU,"P | P | Ns | Ns | P | P",512,8,2.75555,0.002773,37.2254,7.57862,47.7001,47.5624
3,float,uniform,GPU,"P | P | Ns | Ns | P | P",512,9,2.75571,0.003083,36.838,7.5817,47.3131,47.1785
3,float,uniform,GPU,"P | P | Ns | Ns | P | P",512,10,2.75933,0.003118,36.7376,7.55814,47.1967,47.0582
3,float,uniform,GPU,"P | P | Ns | Ns | P | P",512,11,2.75773,0.002787,36.6452,7.57043,47.1135,46.9761
3,float,uniform,GPU,"P | P | Ns | Ns | P | P",512,12,2.75581,0.002863,37.5799,7.57658,48.0522,47.9151
3,float,uniform,GPU,"P | P | Ns | Ns | P | P",512,13,2.7569,0.002764,36.7704,7.5776,47.2456,47.1077
3,float,uniform,GPU,"P | P | Ns | Ns | P | P",512,14,2.75814,0.002816,37.346,7.57043,47.8158,47.6774
3,float,uniform,GPU,"P | P | Ns | Ns | P | P",512,15,2.7609,0.002772,37.628,7.58682,48.1164,47.9785
3,float,uniform,GPU,"P | P | Ns | Ns | P | P",512,16,2.75437,0.002714,37.5113,7.57965,47.984,47.848
3,float,uniform,GPU,"P | P | Ns | Ns | P | P",512,17,2.75763,0.002775,36.7955,7.57453,47.2688,47.1305
3,float,uniform,GPU,"P | P | Ns | Ns | P | P",512,18,2.75456,0.002744,36.2583,7.5561,46.7093,46.5717
3,float,uniform,GPU,"P | P | Ns | Ns | P | P",512,19,2.7567,0.002745,36.8633,7.55405,47.3155,47.1768
