dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,double,uniform,CPU,"P | P | P | P | Ds | Ds",384,4,228.581,0.003134,14.9241,5.98528,249.585,249.494
3,double,uniform,CPU,"P | P | P | P | Ds | Ds",384,5,229.074,0.003125,14.9288,5.95866,250.054,249.964
3,double,uniform,CPU,"P | P | P | P | Ds | Ds",384,6,228.788,0.003155,14.9289,5.97402,249.784,249.694
3,double,uniform,CPU,"P | P | P | P | Ds | Ds",384,7,229.649,0.003149,14.9329,5.95968,250.633,250.544
3,double,uniform,CPU,"P | P | P | P | Ds | Ds",384,8,229.742,0.003128,14.9076,5.9689,250.713,250.622
3,double,uniform,CPU,"P | P | P | P | Ds | Ds",384,9,229.675,0.003169,14.8994,5.97402,250.648,250.552
3,double,uniform,CPU,"P | P | P | P | Ds | Ds",384,10,229.255,0.003177,14.9055,5.95866,250.214,250.123
3,double,uniform,CPU,"P | P | P | P | Ds | Ds",384,11,228.983,0.00312,14.9101,5.97914,249.966,249.876
3,double,uniform,CPU,"P | P | P | P | Ds | Ds",384,12,227.865,0.003412,14.9082,5.98835,248.857,248.765
3,double,uniform,CPU,"P | P | P | P | Ds | Ds",384,13,229.372,0.003137,14.9111,5.97197,250.349,250.258
3,double,uniform,CPU,"P | P | P | P | Ds | Ds",384,14,229.449,0.003586,14.9128,5.96582,250.418,250.331
3,double,uniform,CPU,"P | P | P | P | Ds | Ds",384,15,230.176,0.003184,14.9152,5.97914,251.162,251.073
3,double,uniform,CPU,"P | P | P | P | Ds | Ds",384,16,227.96,0.003151,14.9037,5.96992,248.925,248.837
3,double,uniform,CPU,"P | P | P | P | Ds | Ds",384,17,230.9,0.003119,14.9129,5.96582,251.87,251.782
3,double,uniform,CPU,"P | P | P | P | Ds | Ds",384,18,229.119,0.003168,14.9022,5.9648,250.078,249.989
3,double,uniform,CPU,"P | P | P | P | Ds | Ds",384,19,229.246,0.003161,14.9056,5.95354,250.199,250.109
3,double,uniform,CPU,"P | P | P | P | Ds | Ds",448,0,292.141,0.003153,33.2625,9.51808,335.014,334.925
3,double,uniform,CPU,"P | P | P | P | Ds | Ds",448,1,297.18,0.003508,33.2583,9.52627,340.063,339.969
3,double,uniform,CPU,"P | P | P | P | Ds | Ds",448,2,294.534,0.003477,33.2556,9.50374,337.386,337.297
3,double,uniform,CPU,"P | P | P | P | Ds | Ds",448,3,292.353,0.003196,33.2633,9.51706,335.227,335.137
3,double,uniform,CPU,"P | P | P | P | Ds | Ds",448,4,294.72,0.003148,33.2669,9.53139,337.614,337.522
3,double,uniform,CPU,"P | P | P | P | Ds | Ds",448,5,295.15,0.003185,33.2484,9.51808,338.011,337.92
3,double,uniform,CPU,"P | P | P | P | Ds | Ds",448,6,298.464,0.003901,33.3003,9.53856,341.416,341.307
3,double,uniform,CPU,"P | P | P | P | Ds | Ds",448,7,291.747,0.003462,33.262,9.52422,334.628,334.537
3,double,uniform,CPU,"P | P | P | P | Ds | Ds",448,8,296.979,0.003165,33.2492,9.51194,339.835,339.743
3,double,uniform,CPU,"P | P | P | P | Ds | Ds",448,9,291.632,0.00313,33.2524,9.5191,334.495,334.407
3,double,uniform,CPU,"P | P | P | P | Ds | Ds",448,10,298.286,0.003171,33.2516,9.52013,341.154,341.06
3,double,uniform,CPU,"P | P | P | P | Ds | Ds",448,11,295.945,0.003065,33.2829,9.52218,338.843,338.753
3,double,uniform,CPU,"P | P | P | P | Ds | Ds",448,12,293.258,0.002903,33.2597,9.53242,336.147,336.053
3,double,uniform,CPU,"P | P | P | P | Ds | Ds",448,13,294.419,0.002858,33.2282,9.52525,337.263,337.176
3,double,uniform,CPU,"P | P | P | P | Ds | Ds",448,14,293.279,0.002858,33.2537,9.54061,336.16,336.076
3,double,uniform,CPU,"P | P | P | P | Ds | Ds",448,15,295.989,0.002924,33.2504,9.5273,338.86,338.77
3,double,uniform,CPU,"P | P | P | P | Ds | Ds",448,16,294.762,0.00294,33.2573,9.51194,337.621,337.534
3,double,uniform,CPU,"P | P | P | P | Ds | Ds",448,17,293.251,0.002863,33.2602,9.5232,336.126,336.037
3,double,uniform,CPU,"P | P | P | P | Ds | Ds",448,18,294.583,0.00296,33.2418,9.53754,337.453,337.365
3,double,uniform,CPU,"P | P | P | P | Ds | Ds",448,19,293.667,0.00294,33.2519,9.52115,336.538,336.443
3,double,uniform,CPU,"P | P | P | P | Ds | Ds",512,0,444.327,0.002952,55.3794,14.2828,514.079,513.992
3,double,uniform,CPU,"P | P | P | P | Ds | Ds",512,1,442.218,0.002922,54.7213,14.2428,511.272,511.185
3,double,uniform,CPU,"P | P | P | P | Ds | Ds",512,2,446.561,0.003001,55.5505,14.2551,516.46,516.369
3,double,uniform,CPU,"P | P | P | P | Ds | Ds",512,3,445.973,0.002922,55.5427,14.25,515.861,515.768
3,double,uniform,CPU,"P | P | P | P | Ds | Ds",512,4,443.651,0.003674,55.1847,14.2408,513.178,513.08
3,double,uniform,CPU,"P | P | P | P | Ds | Ds",512,5,438.95,0.00289,55.4166,14.209,508.669,508.579
3,double,uniform,CPU,"P | P | P | P | Ds | Ds",512,6,444.447,0.002957,55.2978,14.2694,514.105,514.017
3,double,uniform,CPU,"P | P | P | P | Ds | Ds",512,7,436.315,0.002951,55.094,14.2387,505.738,505.651
3,double,uniform,CPU,"P | P | P | P | Ds | Ds",512,8,445.421,0.002835,55.3519,14.2807,515.144,515.057
3,double,uniform,CPU,"P | P | P | P | Ds | Ds",512,9,440.447,0.002889,55.3977,14.2879,510.224,510.136
3,double,uniform,CPU,"P | P | P | P | Ds | Ds",512,10,441.521,0.002971,55.1943,14.2848,511.087,511.003
3,double,uniform,CPU,"P | P | P | P | Ds | Ds",512,11,446.452,0.002894,55.1432,14.2551,515.94,515.853
3,double,uniform,CPU,"P | P | P | P | Ds | Ds",512,12,438.55,0.002784,55.3554,14.2479,508.244,508.156
3,double,uniform,CPU,"P | P | P | P | Ds | Ds",512,13,438.172,0.003045,55.6544,14.2449,508.159,508.074
3,double,uniform,CPU,"P | P | P | P | Ds | Ds",512,14,438.873,0.002859,55.3552,14.2561,508.572,508.487
3,double,uniform,CPU,"P | P | P | P | Ds | Ds",512,15,444.533,0.002837,55.0201,14.2612,513.906,513.817
3,double,uniform,CPU,"P | P | P | P | Ds | Ds",512,16,444.729,0.002925,55.4781,14.2592,514.558,514.469
3,double,uniform,CPU,"P | P | P | P | Ds | Ds",512,17,438.088,0.002843,55.2725,14.2336,507.683,507.597
3,double,uniform,CPU,"P | P | P | P | Ds | Ds",512,18,438.4,0.002821,55.2953,14.2305,508.023,507.928
3,double,uniform,CPU,"P | P | P | P | Ds | Ds",512,19,440.81,0.002894,55.4034,14.249,510.552,510.465
