dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,float,uniform,GPU,"P | P | P | P | Ns | Ns",384,17,1.1785,0.003012,9.23144,3.26861,13.8203,13.6816
3,float,uniform,GPU,"P | P | P | P | Ns | Ns",384,18,1.18019,0.003072,9.2154,3.2768,13.8134,13.6755
3,float,uniform,GPU,"P | P | P | P | Ns | Ns",384,19,1.18266,0.003081,9.23759,3.27782,13.8401,13.7012
3,float,uniform,GPU,"P | P | P | P | Ns | Ns",448,0,1.87885,0.002966,15.1923,5.37293,22.5869,22.447
3,float,uniform,GPU,"P | P | P | P | Ns | Ns",448,1,1.87389,0.00291,15.1638,5.38317,22.5604,22.4238
3,float,uniform,GPU,"P | P | P | P | Ns | Ns",448,2,1.87565,0.002951,15.1864,5.39136,22.5954,22.4564
3,float,uniform,GPU,"P | P | P | P | Ns | Ns",448,3,1.88128,0.003679,15.2196,5.38931,22.6297,22.4939
3,float,uniform,GPU,"P | P | P | P | Ns | Ns",448,4,1.87286,0.002992,15.1719,5.37702,22.5652,22.4248
3,float,uniform,GPU,"P | P | P | P | Ns | Ns",448,5,1.87469,0.003,15.1804,5.38522,22.5833,22.4433
3,float,uniform,GPU,"P | P | P | P | Ns | Ns",448,6,1.87712,0.003226,15.1861,5.37498,22.5792,22.4415
3,float,uniform,GPU,"P | P | P | P | Ns | Ns",448,7,1.87722,0.003255,15.1782,5.39136,22.5886,22.45
3,float,uniform,GPU,"P | P | P | P | Ns | Ns",448,8,1.87366,0.003314,15.1737,5.37702,22.5665,22.4277
3,float,uniform,GPU,"P | P | P | P | Ns | Ns",448,9,1.8729,0.002996,15.1755,5.38317,22.5726,22.4345
3,float,uniform,GPU,"P | P | P | P | Ns | Ns",448,10,1.87437,0.003134,15.1772,5.37395,22.5694,22.4287
3,float,uniform,GPU,"P | P | P | P | Ns | Ns",448,11,1.87712,0.002955,15.1477,5.36883,22.5335,22.3966
3,float,uniform,GPU,"P | P | P | P | Ns | Ns",448,12,1.87389,0.002945,15.1685,5.36678,22.5506,22.4121
3,float,uniform,GPU,"P | P | P | P | Ns | Ns",448,13,1.87677,0.002909,15.1966,5.38522,22.6003,22.4615
