dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",448,18,296.683,0.002741,24.6119,4.29978,325.676,325.597
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",448,19,300.287,0.002683,24.6773,4.29568,329.341,329.263
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",512,0,438.14,0.002736,32.2482,5.91667,476.388,476.308
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",512,1,441.087,0.002805,32.9823,5.93203,480.083,480.004
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",512,2,437.054,0.00273,33.1444,5.92589,476.209,476.127
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",512,3,441.829,0.002751,33.1449,5.94125,480.999,480.918
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",512,4,445.392,0.002723,32.4865,5.93101,483.891,483.812
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",512,5,444.594,0.002681,33.826,5.9392,484.443,484.362
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",512,6,440.95,0.002907,32.9309,5.92998,479.898,479.814
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",512,7,444.072,0.002749,33.6478,5.92896,483.732,483.651
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",512,8,440.737,0.002765,33.6616,5.93101,480.412,480.332
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",512,9,440.767,0.002808,34.0287,5.92794,480.805,480.726
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",512,10,442.358,0.003155,33.1245,5.92896,481.497,481.415
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",512,11,438.026,0.002643,32.5606,5.93203,476.602,476.521
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",512,12,444.941,0.003027,32.2332,5.93306,483.194,483.111
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",512,13,440.763,0.00273,33.8406,5.93613,480.63,480.542
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",512,14,440.846,0.002739,33.1657,5.93101,480.025,479.946
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",512,15,443.872,0.002668,33.5766,5.94534,483.477,483.397
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",512,16,445.594,0.00279,33.1811,5.92691,484.787,484.705
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",512,17,441.923,0.002751,32.8144,5.92896,480.752,480.669
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",512,18,441.59,0.002739,33.5815,5.9433,481.203,481.118
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",512,19,448.988,0.002691,33.0286,5.92384,488.026,487.943
