dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
1,float,uniform,GPU,"D | D",512,7,0.018432,0,0.024062,0.013312,0.102313,0.055806
1,float,uniform,GPU,"D | D",512,8,0.019456,0,0.023722,0.011264,0.102793,0.054442
1,float,uniform,GPU,"D | D",512,9,0.02048,0,0.024367,0.012288,0.102689,0.057135
1,float,uniform,GPU,"D | D",512,10,0.019456,0,0.023776,0.013312,0.101863,0.056544
1,float,uniform,GPU,"D | D",512,11,0.018432,0,0.024154,0.012288,0.102273,0.054874
1,float,uniform,GPU,"D | D",512,12,0.019456,0,0.024305,0.012288,0.102179,0.056049
1,float,uniform,GPU,"D | D",512,13,0.02048,0,0.023637,0.013312,0.10266,0.057429
1,float,uniform,GPU,"D | D",512,14,0.021504,0,0.025516,0.01536,0.122094,0.06238
1,float,uniform,GPU,"D | D",512,15,0.02048,0,0.023433,0.011264,0.102326,0.055177
1,float,uniform,GPU,"D | D",512,16,0.019456,0,0.024079,0.011264,0.101317,0.054799
1,float,uniform,GPU,"D | D",512,17,0.019456,0,0.0239,0.012288,0.107608,0.055644
1,float,uniform,GPU,"D | D",512,18,0.017408,0,0.023626,0.013312,0.101298,0.054346
1,float,uniform,GPU,"D | D",512,19,0.018432,0,0.024054,0.011264,0.100425,0.05375
