dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
2,float,uniform,CPU,"P | P | P | P",448,4,0.572608,0,0.038996,0.02768,0.70114,0.639284
2,float,uniform,CPU,"P | P | P | P",448,5,0.462432,0,0.039404,0.027584,0.593008,0.52942
2,float,uniform,CPU,"P | P | P | P",448,6,0.465504,0,0.038688,0.02688,0.594252,0.531072
2,float,uniform,CPU,"P | P | P | P",448,7,0.462912,0,0.039339,0.02688,0.683494,0.529131
2,float,uniform,CPU,"P | P | P | P",448,8,0.467136,0,0.039352,0.027328,0.603082,0.533816
2,float,uniform,CPU,"P | P | P | P",448,9,0.474016,0,0.039154,0.02752,0.603691,0.54069
2,float,uniform,CPU,"P | P | P | P",448,10,0.468192,0,0.039533,0.02768,0.59758,0.535405
2,float,uniform,CPU,"P | P | P | P",448,11,0.461216,0,0.038592,0.026944,0.589382,0.526752
2,float,uniform,CPU,"P | P | P | P",448,12,0.465472,0,0.039124,0.027648,0.59359,0.532244
2,float,uniform,CPU,"P | P | P | P",448,13,0.476096,0,0.038929,0.025696,0.604472,0.540721
2,float,uniform,CPU,"P | P | P | P",448,14,0.467008,0,0.038916,0.02656,0.593897,0.532484
2,float,uniform,CPU,"P | P | P | P",448,15,0.472608,0,0.038482,0.02624,0.599643,0.53733
2,float,uniform,CPU,"P | P | P | P",448,16,0.46304,0,0.038991,0.026432,0.591775,0.528463
2,float,uniform,CPU,"P | P | P | P",448,17,0.461504,0,0.038866,0.030144,0.59247,0.530514
2,float,uniform,CPU,"P | P | P | P",448,18,0.469504,0,0.039407,0.027168,0.597947,0.536079
2,float,uniform,CPU,"P | P | P | P",448,19,0.46912,0,0.039426,0.0264,0.598031,0.534946
2,float,uniform,CPU,"P | P | P | P",512,0,0.610592,0,0.045597,0.040864,0.772464,0.697053
2,float,uniform,CPU,"P | P | P | P",512,1,0.628928,0,0.039685,0.032384,0.764889,0.700997
2,float,uniform,CPU,"P | P | P | P",512,2,0.706048,0,0.039045,0.029472,0.838349,0.774565
2,float,uniform,CPU,"P | P | P | P",512,3,0.649024,0,0.038011,0.028832,0.778432,0.715867
2,float,uniform,CPU,"P | P | P | P",512,4,0.595616,0,0.038795,0.02832,0.726565,0.662731
2,float,uniform,CPU,"P | P | P | P",512,5,0.59696,0,0.038306,0.030176,0.72773,0.665442
2,float,uniform,CPU,"P | P | P | P",512,6,0.605824,0,0.038062,0.029824,0.736118,0.67371
2,float,uniform,CPU,"P | P | P | P",512,7,0.607872,0,0.037867,0.02736,0.734867,0.673099
