dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
2,double,uniform,CPU,"P | P | P | P",512,9,1.02058,0,0.056423,0.032256,1.17588,1.10925
2,double,uniform,CPU,"P | P | P | P",512,10,1.01728,0,0.057043,0.030976,1.17108,1.1053
2,double,uniform,CPU,"P | P | P | P",512,11,1.00237,0,0.056643,0.032672,1.16147,1.09168
2,double,uniform,CPU,"P | P | P | P",512,12,1.00573,0,0.064245,0.031552,1.16822,1.10152
2,double,uniform,CPU,"P | P | P | P",512,13,1.00819,0,0.056593,0.03328,1.16356,1.09807
2,double,uniform,CPU,"P | P | P | P",512,14,1.19766,0,0.056875,0.032608,1.35419,1.28715
2,double,uniform,CPU,"P | P | P | P",512,15,1.0105,0,0.057415,0.03248,1.16529,1.10039
2,double,uniform,CPU,"P | P | P | P",512,16,1.02083,0,0.057048,0.031936,1.17479,1.10982
2,double,uniform,CPU,"P | P | P | P",512,17,1.01459,0,0.05751,0.03136,1.16981,1.10346
2,double,uniform,CPU,"P | P | P | P",512,18,1.00758,0,0.056728,0.031744,1.15952,1.09606
2,double,uniform,CPU,"P | P | P | P",512,19,0.99984,0,0.056785,0.032704,1.15546,1.08933
