dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,float,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",512,2,221.888,0.002853,25.8704,7.59706,255.446,255.359
3,float,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",512,3,219.345,0.00328,25.5793,7.5991,252.615,252.526
3,float,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",512,4,220.661,0.002909,25.7557,7.57248,254.079,253.992
3,float,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",512,5,222.162,0.002878,25.6612,7.57248,255.488,255.399
3,float,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",512,6,220.882,0.002967,25.7059,7.55712,254.234,254.148
3,float,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",512,7,222.146,0.003169,25.6732,7.5776,255.485,255.399
3,float,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",512,8,220.634,0.002965,25.6722,7.59808,253.991,253.907
3,float,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",512,9,222.498,0.00301,25.761,7.58682,255.935,255.849
3,float,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",512,10,218.82,0.002905,25.4836,7.55917,251.953,251.866
3,float,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",512,11,221.231,0.003034,25.764,7.57453,254.658,254.573
3,float,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",512,12,218.82,0.002889,25.6728,7.55917,252.145,252.055
3,float,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",512,13,221.189,0.003242,25.6729,7.57555,254.527,254.44
3,float,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",512,14,218.951,0.003088,25.7102,7.59194,252.341,252.256
3,float,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",512,15,219.218,0.002929,25.8758,7.56736,252.752,252.664
3,float,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",512,16,220.147,0.003251,25.8571,7.57965,253.672,253.587
3,float,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",512,17,221.94,0.002913,25.7206,7.58477,255.337,255.248
3,float,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",512,18,220.528,0.003013,25.6176,7.58067,253.823,253.729
3,float,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",512,19,218.23,0.002971,25.6502,7.56429,251.535,251.447
