dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,float,uniform,GPU,"D | D | D | D | D | D",384,5,1.1752,0,8.81708,1.55238,11.6702,11.5447
3,float,uniform,GPU,"D | D | D | D | D | D",384,6,1.17558,0,8.82434,1.55443,11.68,11.5544
3,float,uniform,GPU,"D | D | D | D | D | D",384,7,1.17667,0,8.82063,1.56365,11.6893,11.561
3,float,uniform,GPU,"D | D | D | D | D | D",384,8,1.1761,0,8.81835,1.56774,11.6866,11.5622
3,float,uniform,GPU,"D | D | D | D | D | D",384,9,1.17686,0,8.82118,1.55546,11.6775,11.5535
3,float,uniform,GPU,"D | D | D | D | D | D",384,10,1.17616,0,8.81782,1.55238,11.6704,11.5464
3,float,uniform,GPU,"D | D | D | D | D | D",384,11,1.17446,0,8.81479,1.55853,11.6708,11.5478
3,float,uniform,GPU,"D | D | D | D | D | D",384,12,1.17587,0,8.81943,1.55546,11.6744,11.5508
3,float,uniform,GPU,"D | D | D | D | D | D",384,13,1.17565,0,8.81473,1.56365,11.6773,11.554
3,float,uniform,GPU,"D | D | D | D | D | D",384,14,1.17741,0,8.80754,1.5575,11.6646,11.5425
3,float,uniform,GPU,"D | D | D | D | D | D",384,15,1.17757,0,8.81929,1.55955,11.6782,11.5564
3,float,uniform,GPU,"D | D | D | D | D | D",384,16,1.17494,0,8.81795,1.55853,11.6758,11.5514
3,float,uniform,GPU,"D | D | D | D | D | D",384,17,1.17859,0,8.82127,1.55955,11.6836,11.5594
3,float,uniform,GPU,"D | D | D | D | D | D",384,18,1.17843,0,8.81555,1.55238,11.668,11.5464
3,float,uniform,GPU,"D | D | D | D | D | D",384,19,1.17584,0,8.81648,1.55955,11.6773,11.5519
3,float,uniform,GPU,"D | D | D | D | D | D",448,0,1.87642,0,24.1673,2.60198,28.7764,28.6457
3,float,uniform,GPU,"D | D | D | D | D | D",448,1,1.87629,0,24.1608,2.59277,28.7545,28.6298
3,float,uniform,GPU,"D | D | D | D | D | D",448,2,1.87405,0,24.1632,2.5897,28.7521,28.627
3,float,uniform,GPU,"D | D | D | D | D | D",448,3,1.87786,0,24.1556,2.59174,28.7499,28.6252
3,float,uniform,GPU,"D | D | D | D | D | D",448,4,1.87699,0,24.1565,2.59482,28.7517,28.6283
3,float,uniform,GPU,"D | D | D | D | D | D",448,5,1.87024,0,24.1628,2.59379,28.7526,28.6269
3,float,uniform,GPU,"D | D | D | D | D | D",448,6,1.87696,0,24.1598,2.58662,28.748,28.6234
3,float,uniform,GPU,"D | D | D | D | D | D",448,7,1.86957,0,24.1595,2.59277,28.7468,28.6218
3,float,uniform,GPU,"D | D | D | D | D | D",448,8,1.87101,0,24.1562,2.59686,28.7501,28.6241
3,float,uniform,GPU,"D | D | D | D | D | D",448,9,1.87488,0,24.1499,2.60096,28.7519,28.6257
3,float,uniform,GPU,"D | D | D | D | D | D",448,10,1.87088,0,24.1428,2.59584,28.7332,28.6096
3,float,uniform,GPU,"D | D | D | D | D | D",448,11,1.87827,0,24.1499,2.5897,28.7408,28.6178
3,float,uniform,GPU,"D | D | D | D | D | D",448,12,1.86998,0,24.1634,2.59174,28.7514,28.6252
3,float,uniform,GPU,"D | D | D | D | D | D",448,13,1.87661,0,24.1595,2.59174,28.7542,28.6279
3,float,uniform,GPU,"D | D | D | D | D | D",448,14,1.87501,0,24.1573,2.59482,28.752,28.6272
3,float,uniform,GPU,"D | D | D | D | D | D",448,15,1.87245,0,24.1598,2.58867,28.7476,28.6209
3,float,uniform,GPU,"D | D | D | D | D | D",448,16,1.87635,0,24.1508,2.5856,28.7367,28.6128
3,float,uniform,GPU,"D | D | D | D | D | D",448,17,1.87366,0,24.1598,2.59789,28.7559,28.6314
3,float,uniform,GPU,"D | D | D | D | D | D",448,18,1.87507,0,24.145,2.58662,28.7307,28.6067
3,float,uniform,GPU,"D | D | D | D | D | D",448,19,1.87475,0,24.1615,2.58048,28.7399,28.6167
3,float,uniform,GPU,"D | D | D | D | D | D",512,0,2.76445,0,31.6257,3.78778,38.3133,38.1779
3,float,uniform,GPU,"D | D | D | D | D | D",512,1,2.75645,0,31.5845,3.77446,38.2447,38.1154
3,float,uniform,GPU,"D | D | D | D | D | D",512,2,2.75645,0,31.569,3.78778,38.2419,38.1132
3,float,uniform,GPU,"D | D | D | D | D | D",512,3,2.75603,0,31.5733,3.78778,38.2481,38.1171
3,float,uniform,GPU,"D | D | D | D | D | D",512,4,2.75686,0,31.5868,3.78778,38.2598,38.1314
3,float,uniform,GPU,"D | D | D | D | D | D",512,5,2.75568,0,31.6019,3.77958,38.2678,38.1372
3,float,uniform,GPU,"D | D | D | D | D | D",512,6,2.75574,0,31.5501,3.78675,38.2204,38.0926
3,float,uniform,GPU,"D | D | D | D | D | D",512,7,2.75533,0,31.6149,3.77856,38.279,38.1488
3,float,uniform,GPU,"D | D | D | D | D | D",512,8,2.75533,0,31.5714,3.77446,38.2286,38.1012
3,float,uniform,GPU,"D | D | D | D | D | D",512,9,2.75587,0,31.5687,3.77754,38.232,38.1021
