dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",384,12,2.41965,0.002803,11.6094,2.64397,16.8079,16.6759
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",384,13,2.4241,0.002789,11.6303,2.63782,16.8248,16.695
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",384,14,2.42438,0.002906,11.6174,2.63373,16.8082,16.6784
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",384,15,2.4208,0.003081,11.6117,2.63987,16.8032,16.6754
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",384,16,2.42125,0.002794,11.624,2.6368,16.8125,16.6848
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",384,17,2.4231,0.002764,11.63,2.6327,16.8176,16.6886
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",384,18,2.42195,0.002763,11.6326,2.6409,16.8264,16.6983
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",384,19,2.4224,0.002816,11.6047,2.63885,16.7969,16.6688
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",448,0,3.76621,0.002782,28.2129,4.29978,36.4115,36.2817
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",448,1,3.75952,0.002786,28.1905,4.29978,36.3797,36.2526
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",448,2,3.7583,0.002757,28.1864,4.29875,36.3748,36.2463
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",448,3,3.75648,0.002794,28.1988,4.29056,36.3795,36.2486
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",448,4,3.7584,0.003016,28.1845,4.29568,36.3692,36.2416
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",448,5,3.7568,0.002727,28.1865,4.30694,36.3802,36.2529
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",448,6,3.75821,0.003008,28.1922,4.28954,36.3717,36.243
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",448,7,3.75574,0.002785,28.194,4.29773,36.3796,36.2502
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",448,8,3.75526,0.003046,28.1813,4.2967,36.3654,36.2363
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",448,9,3.7585,0.002759,28.1917,4.28954,36.3723,36.2425
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",448,10,3.75661,0.002954,28.1908,4.30182,36.3813,36.2522
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",448,11,3.75718,0.002729,28.1906,4.30899,36.3867,36.2595
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",448,12,3.75706,0.002783,28.1938,4.2967,36.3778,36.2504
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",448,13,3.75939,0.002789,28.1939,4.29568,36.3797,36.2518
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",448,14,3.75686,0.002817,28.1927,4.29261,36.373,36.245
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",448,15,3.76013,0.002748,28.2075,4.29568,36.3913,36.266
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",448,16,3.75818,0.004475,28.1862,4.29568,36.3725,36.2446
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",448,17,3.75901,0.002712,28.1909,4.29875,36.3778,36.2514
