dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,double,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",448,6,294.57,0.00328,31.675,9.57235,335.916,335.82
3,double,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",448,7,296.076,0.002924,31.6808,9.54061,337.399,337.3
3,double,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",448,8,297.489,0.004188,31.7105,9.54982,338.86,338.753
3,double,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",448,9,295.442,0.003471,31.664,9.54368,336.751,336.653
3,double,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",448,10,293.23,0.003155,32.365,9.57235,335.276,335.171
3,double,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",448,11,294.703,0.002975,31.6761,9.55085,336.025,335.933
3,double,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",448,12,299.068,0.002933,31.6948,9.55494,340.414,340.32
3,double,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",448,13,294.959,0.003052,31.6861,9.56314,336.306,336.211
3,double,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",448,14,293.65,0.002969,31.6746,9.56314,334.983,334.891
3,double,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",448,15,297.287,0.002946,31.684,9.55494,338.618,338.528
3,double,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",448,16,292.728,0.002952,31.6832,9.57542,334.082,333.99
3,double,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",448,17,297.188,0.002919,31.6748,9.55085,338.511,338.416
3,double,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",448,18,297.024,0.003054,31.6911,9.55494,338.363,338.273
3,double,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",448,19,297.534,0.002983,31.6783,9.55085,338.859,338.766
3,double,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",512,0,436.411,0.002833,53.1866,14.294,503.981,503.895
3,double,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",512,1,442.282,0.002966,53.3938,14.3165,510.092,509.995
3,double,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",512,2,441.727,0.00288,53.3144,14.3227,509.462,509.367
3,double,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",512,3,442.404,0.002822,53.2479,14.3288,510.078,509.984
3,double,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",512,4,440.768,0.002959,53.4605,14.3053,508.627,508.536
3,double,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",512,5,438.065,0.002933,53.2193,14.3063,505.693,505.594
3,double,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",512,6,446.57,0.002793,53.2413,14.3319,514.235,514.146
3,double,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",512,7,441.211,0.002829,53.3068,14.2991,508.909,508.819
3,double,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",512,8,442.597,0.003037,53.3874,14.3575,510.445,510.345
3,double,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",512,9,438.25,0.003194,53.1779,14.3104,505.831,505.742
3,double,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",512,10,437.163,0.002792,53.3552,14.334,504.942,504.855
3,double,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",512,11,446.185,0.002885,53.4597,14.3124,514.053,513.961
3,double,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",512,12,446.159,0.002878,52.8959,14.3319,513.472,513.39
3,double,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",512,13,442.293,0.002831,53.3857,14.2961,510.069,509.978
3,double,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",512,14,439.15,0.002715,53.3719,14.292,506.906,506.817
3,double,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",512,15,444.993,0.002836,53.3425,14.378,512.809,512.717
3,double,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",512,16,443.155,0.002788,53.2877,14.338,510.871,510.783
3,double,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",512,17,444.525,0.002996,53.0798,14.3596,512.06,511.968
3,double,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",512,18,443.453,0.002814,53.1509,14.335,511.031,510.942
3,double,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",512,19,445.076,0.002871,53.2828,14.2858,512.738,512.648
