dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
1,float,uniform,GPU,"P | P",384,10,0.018432,0,0.018977,0.018432,0.111797,0.055841
1,float,uniform,GPU,"P | P",384,11,0.018432,0,0.019232,0.017408,0.111911,0.055072
1,float,uniform,GPU,"P | P",384,12,0.019456,0,0.019203,0.018432,0.112734,0.057091
1,float,uniform,GPU,"P | P",384,13,0.019456,0,0.018848,0.017408,0.110946,0.055712
1,float,uniform,GPU,"P | P",384,14,0.018432,0,0.019848,0.019456,0.113664,0.057736
1,float,uniform,GPU,"P | P",384,15,0.019456,0,0.019634,0.019456,0.11283,0.058546
1,float,uniform,GPU,"P | P",384,16,0.019456,0,0.01924,0.017408,0.112606,0.056104
1,float,uniform,GPU,"P | P",384,17,0.018432,0,0.019988,0.017408,0.11325,0.055828
1,float,uniform,GPU,"P | P",384,18,0.019456,0,0.020144,0.017408,0.113051,0.057008
1,float,uniform,GPU,"P | P",384,19,0.018432,0,0.024868,0.019456,0.118489,0.062756
1,float,uniform,GPU,"P | P",448,0,0.03072,0,0.022581,0.026624,0.143002,0.079925
1,float,uniform,GPU,"P | P",448,1,0.022528,0,0.019577,0.021504,0.120883,0.063609
1,float,uniform,GPU,"P | P",448,2,0.02048,0,0.019363,0.019456,0.11522,0.059299
1,float,uniform,GPU,"P | P",448,3,0.019456,0,0.018571,0.019456,0.114033,0.057483
1,float,uniform,GPU,"P | P",448,4,0.02048,0,0.171347,0.021504,0.269038,0.213331
1,float,uniform,GPU,"P | P",448,5,0.018432,0,0.018568,0.019456,0.111447,0.056456
1,float,uniform,GPU,"P | P",448,6,0.02048,0,0.018726,0.019456,0.112811,0.058662
1,float,uniform,GPU,"P | P",448,7,0.019456,0,0.019064,0.019456,0.112998,0.057976
1,float,uniform,GPU,"P | P",448,8,0.018432,0,0.018952,0.019456,0.112549,0.05684
1,float,uniform,GPU,"P | P",448,9,0.019456,0,0.018609,0.017408,0.112319,0.055473
1,float,uniform,GPU,"P | P",448,10,0.019456,0,0.01853,0.017408,0.111487,0.055394
1,float,uniform,GPU,"P | P",448,11,0.02048,0,0.018661,0.024576,0.118892,0.063717
1,float,uniform,GPU,"P | P",448,12,0.018432,0,0.019177,0.017408,0.111946,0.055017
1,float,uniform,GPU,"P | P",448,13,0.019456,0,0.019581,0.019456,0.112054,0.058493
1,float,uniform,GPU,"P | P",448,14,0.02048,0,0.019399,0.018432,0.113702,0.058311
1,float,uniform,GPU,"P | P",448,15,0.02048,0,0.018797,0.018432,0.111835,0.057709
1,float,uniform,GPU,"P | P",448,16,0.019456,0,0.019164,0.018432,0.111534,0.057052
1,float,uniform,GPU,"P | P",448,17,0.018432,0,0.019117,0.018432,0.1127,0.055981
1,float,uniform,GPU,"P | P",448,18,0.018432,0,0.019133,0.018432,0.111008,0.055997
1,float,uniform,GPU,"P | P",448,19,0.017408,0,0.018949,0.019456,0.111488,0.055813
1,float,uniform,GPU,"P | P",512,0,0.028672,0,0.02329,0.026624,0.142208,0.078586
1,float,uniform,GPU,"P | P",512,1,0.021504,0,0.019331,0.021504,0.121037,0.062339
1,float,uniform,GPU,"P | P",512,2,0.021504,0,0.018968,0.019456,0.116897,0.059928
1,float,uniform,GPU,"P | P",512,3,0.018432,0,0.018601,0.017408,0.112882,0.054441
1,float,uniform,GPU,"P | P",512,4,0.019456,0,0.019156,0.018432,0.113306,0.057044
1,float,uniform,GPU,"P | P",512,5,0.019456,0,0.019057,0.018432,0.111418,0.056945
1,float,uniform,GPU,"P | P",512,6,0.018432,0,0.018817,0.018432,0.110813,0.055681
1,float,uniform,GPU,"P | P",512,7,0.018432,0,0.018384,0.017408,0.110643,0.054224
1,float,uniform,GPU,"P | P",512,8,0.017408,0,0.018552,0.019456,0.111892,0.055416
1,float,uniform,GPU,"P | P",512,9,0.018432,0,0.019285,0.018432,0.111389,0.056149
1,float,uniform,GPU,"P | P",512,10,0.02048,0,0.019024,0.017408,0.112053,0.056912
1,float,uniform,GPU,"P | P",512,11,0.019456,0,0.018609,0.019456,0.111792,0.057521
1,float,uniform,GPU,"P | P",512,12,0.018432,0,0.018312,0.018432,0.111776,0.055176
1,float,uniform,GPU,"P | P",512,13,0.019456,0,0.018372,0.018432,0.196936,0.05626
1,float,uniform,GPU,"P | P",512,14,0.018432,0,0.018473,0.019456,0.112531,0.056361
1,float,uniform,GPU,"P | P",512,15,0.018432,0,0.018787,0.019456,0.111279,0.056675
1,float,uniform,GPU,"P | P",512,16,0.019456,0,0.018821,0.023552,0.116742,0.061829
1,float,uniform,GPU,"P | P",512,17,0.018432,0,0.018704,0.018432,0.112148,0.055568
1,float,uniform,GPU,"P | P",512,18,0.018432,0,0.018613,0.018432,0.111606,0.055477
1,float,uniform,GPU,"P | P",512,19,0.023552,0,0.018645,0.023552,0.1219,0.065749
