dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
2,double,uniform,CPU,"Ns | Ns | Ns | Ns",448,12,0.784736,0,0.061631,0.016384,0.917565,0.862751
2,double,uniform,CPU,"Ns | Ns | Ns | Ns",448,13,0.748608,0,0.060547,0.01536,0.881021,0.824515
2,double,uniform,CPU,"Ns | Ns | Ns | Ns",448,14,0.879744,0,0.061092,0.01536,1.0108,0.956196
2,double,uniform,CPU,"Ns | Ns | Ns | Ns",448,15,0.808288,0,0.061159,0.01536,0.939577,0.884807
2,double,uniform,CPU,"Ns | Ns | Ns | Ns",448,16,0.748512,0,0.061053,0.01536,0.883086,0.824925
2,double,uniform,CPU,"Ns | Ns | Ns | Ns",448,17,0.74736,0,0.061222,0.01536,0.878979,0.823942
2,double,uniform,CPU,"Ns | Ns | Ns | Ns",448,18,0.74384,0,0.061555,0.016384,0.877363,0.821779
2,double,uniform,CPU,"Ns | Ns | Ns | Ns",448,19,0.748896,0,0.061679,0.017408,0.882637,0.827983
2,double,uniform,CPU,"Ns | Ns | Ns | Ns",512,0,1.00653,0,0.083466,0.021504,1.17652,1.1115
2,double,uniform,CPU,"Ns | Ns | Ns | Ns",512,1,1.04368,0,0.073598,0.018432,1.19139,1.13571
2,double,uniform,CPU,"Ns | Ns | Ns | Ns",512,2,1.04934,0,0.069482,0.018432,1.19151,1.13726
2,double,uniform,CPU,"Ns | Ns | Ns | Ns",512,3,0.981632,0,0.068851,0.017408,1.12217,1.06789
2,double,uniform,CPU,"Ns | Ns | Ns | Ns",512,4,0.971712,0,0.070567,0.017408,1.11459,1.05969
2,double,uniform,CPU,"Ns | Ns | Ns | Ns",512,5,0.994336,0,0.067655,0.018432,1.13569,1.08042
2,double,uniform,CPU,"Ns | Ns | Ns | Ns",512,6,0.979104,0,0.068014,0.016384,1.12137,1.0635
2,double,uniform,CPU,"Ns | Ns | Ns | Ns",512,7,0.987968,0,0.071095,0.016384,1.13494,1.07545
2,double,uniform,CPU,"Ns | Ns | Ns | Ns",512,8,0.97984,0,0.068019,0.017408,1.12015,1.06527
2,double,uniform,CPU,"Ns | Ns | Ns | Ns",512,9,0.967232,0,0.068641,0.017408,1.10736,1.05328
2,double,uniform,CPU,"Ns | Ns | Ns | Ns",512,10,1.03021,0,0.066845,0.01536,1.16836,1.11241
2,double,uniform,CPU,"Ns | Ns | Ns | Ns",512,11,1.05562,0,0.067156,0.017408,1.19555,1.14018
2,double,uniform,CPU,"Ns | Ns | Ns | Ns",512,12,0.977792,0,0.066934,0.016384,1.11595,1.06111
2,double,uniform,CPU,"Ns | Ns | Ns | Ns",512,13,1.06864,0,0.067137,0.016384,1.20533,1.15216
2,double,uniform,CPU,"Ns | Ns | Ns | Ns",512,14,0.968992,0,0.068458,0.017408,1.1637,1.05486
2,double,uniform,CPU,"Ns | Ns | Ns | Ns",512,15,0.96912,0,0.066936,0.016384,1.11523,1.05244
2,double,uniform,CPU,"Ns | Ns | Ns | Ns",512,16,0.991264,0,0.068477,0.017408,1.13061,1.07715
2,double,uniform,CPU,"Ns | Ns | Ns | Ns",512,17,1.02902,0,0.066914,0.016384,1.16697,1.11232
2,double,uniform,CPU,"Ns | Ns | Ns | Ns",512,18,0.98352,0,0.067664,0.016384,1.12246,1.06757
2,double,uniform,CPU,"Ns | Ns | Ns | Ns",512,19,1.06778,0,0.067737,0.017408,1.2062,1.15292
