dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | P | P",448,18,3.76195,0.002834,30.2954,9.53139,43.7309,43.5916
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | P | P",448,19,3.75398,0.002842,30.2964,9.53754,43.729,43.5908
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | P | P",512,0,5.54768,0.002758,56.9551,14.3514,76.9963,76.8569
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | P | P",512,1,5.53411,0.002784,56.2696,14.3411,76.2874,76.1476
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | P | P",512,2,5.53712,0.003137,56.8155,14.2971,76.7954,76.6529
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | P | P",512,3,5.53818,0.002781,56.5082,14.3974,76.5903,76.4466
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | P | P",512,4,5.5391,0.002938,57.1798,14.3309,77.195,77.0527
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | P | P",512,5,5.5385,0.003123,57.1851,14.3247,77.1931,77.0515
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | P | P",512,6,5.53763,0.002795,56.8519,14.3309,76.8651,76.7233
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | P | P",512,7,5.53952,0.002802,56.2955,14.3903,76.3713,76.2281
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | P | P",512,8,5.5399,0.003082,56.8165,14.3155,76.8194,76.675
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | P | P",512,9,5.53869,0.002815,56.7161,14.334,76.7327,76.5915
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | P | P",512,10,5.53658,0.00281,56.0481,14.379,76.1103,75.9665
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | P | P",512,11,5.53552,0.002819,56.0851,14.377,76.143,76.0004
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | P | P",512,12,5.53648,0.00447,56.3828,14.3247,76.3919,76.2485
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | P | P",512,13,5.53914,0.002829,56.0602,14.3206,76.0659,75.9228
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | P | P",512,14,5.53277,0.002902,56.2498,14.334,76.264,76.1194
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | P | P",512,15,5.5369,0.003088,56.9403,14.3247,76.9481,76.8051
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | P | P",512,16,5.5407,0.00289,56.6282,14.3462,76.6603,76.5181
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | P | P",512,17,5.53997,0.00275,56.4821,14.3616,76.5274,76.3864
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | P | P",512,18,5.53568,0.003123,57.6894,14.3094,77.6789,77.5376
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | P | P",512,19,5.53914,0.002833,55.4714,14.3247,75.4812,75.3381
