dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,float,uniform,GPU,"P | P | P | P | Ds | Ds",448,9,1.88592,0.003133,16.4924,5.36064,23.8809,23.7421
3,float,uniform,GPU,"P | P | P | P | Ds | Ds",448,10,1.88006,0.00316,16.49,5.36986,23.8866,23.7431
3,float,uniform,GPU,"P | P | P | P | Ds | Ds",448,11,1.8801,0.003097,16.4709,5.35757,23.8513,23.7116
3,float,uniform,GPU,"P | P | P | P | Ds | Ds",448,12,1.88515,0.00316,16.4878,5.36064,23.8757,23.7368
3,float,uniform,GPU,"P | P | P | P | Ds | Ds",448,13,1.87818,0.003144,16.4911,5.35859,23.8682,23.731
3,float,uniform,GPU,"P | P | P | P | Ds | Ds",448,14,1.8793,0.003136,16.4958,5.37395,23.8904,23.7521
3,float,uniform,GPU,"P | P | P | P | Ds | Ds",448,15,1.88557,0.003094,16.4878,5.37395,23.8887,23.7504
3,float,uniform,GPU,"P | P | P | P | Ds | Ds",448,16,1.8848,0.003138,16.488,5.37088,23.8872,23.7468
3,float,uniform,GPU,"P | P | P | P | Ds | Ds",448,17,1.8833,0.003325,16.4857,5.37088,23.8842,23.7432
3,float,uniform,GPU,"P | P | P | P | Ds | Ds",448,18,1.88298,0.003248,16.4783,5.37293,23.8771,23.7375
3,float,uniform,GPU,"P | P | P | P | Ds | Ds",448,19,1.88454,0.003065,16.4937,5.37293,23.8952,23.7543
3,float,uniform,GPU,"P | P | P | P | Ds | Ds",512,0,2.76211,0.003022,27.8479,7.50387,38.2562,38.117
3,float,uniform,GPU,"P | P | P | P | Ds | Ds",512,1,2.75453,0.002983,27.2078,7.4752,37.5848,37.4405
3,float,uniform,GPU,"P | P | P | P | Ds | Ds",512,2,2.75338,0.003103,27.2301,7.47827,37.6071,37.4648
3,float,uniform,GPU,"P | P | P | P | Ds | Ds",512,3,2.76099,0.00315,27.48,7.48544,37.8721,37.7296
3,float,uniform,GPU,"P | P | P | P | Ds | Ds",512,4,2.75626,0.003012,26.9641,7.4793,37.3453,37.2026
3,float,uniform,GPU,"P | P | P | P | Ds | Ds",512,5,2.75514,0.003049,27.0569,7.48134,37.4421,37.2964
3,float,uniform,GPU,"P | P | P | P | Ds | Ds",512,6,2.75427,0.003052,27.2989,7.47827,37.6773,37.5345
