dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
1,double,uniform,GPU,"Ns | Ns",448,4,0.018432,0,0.023405,0.011264,0.100037,0.053101
1,double,uniform,GPU,"Ns | Ns",448,5,0.019456,0,0.023687,0.012288,0.101379,0.055431
1,double,uniform,GPU,"Ns | Ns",448,6,0.018432,0,0.02266,0.012288,0.099495,0.05338
1,double,uniform,GPU,"Ns | Ns",448,7,0.018432,0,0.023605,0.012288,0.099603,0.054325
1,double,uniform,GPU,"Ns | Ns",448,8,0.018432,0,0.023362,0.012288,0.099657,0.054082
1,double,uniform,GPU,"Ns | Ns",448,9,0.018432,0,0.023268,0.009216,0.098903,0.050916
1,double,uniform,GPU,"Ns | Ns",448,10,0.018432,0,0.023364,0.012288,0.100337,0.054084
1,double,uniform,GPU,"Ns | Ns",448,11,0.017408,0,0.023131,0.011264,0.099103,0.051803
1,double,uniform,GPU,"Ns | Ns",448,12,0.017408,0,0.022612,0.012288,0.099165,0.052308
1,double,uniform,GPU,"Ns | Ns",448,13,0.019456,0,0.023115,0.011264,0.100141,0.053835
1,double,uniform,GPU,"Ns | Ns",448,14,0.019456,0,0.02284,0.012288,0.106238,0.054584
1,double,uniform,GPU,"Ns | Ns",448,15,0.019456,0,0.023088,0.012288,0.099087,0.054832
1,double,uniform,GPU,"Ns | Ns",448,16,0.018432,0,0.025079,0.012288,0.105402,0.055799
1,double,uniform,GPU,"Ns | Ns",448,17,0.019456,0,0.023517,0.011264,0.098999,0.054237
1,double,uniform,GPU,"Ns | Ns",448,18,0.019456,0,0.02253,0.011264,0.100788,0.05325
1,double,uniform,GPU,"Ns | Ns",448,19,0.017408,0,0.022796,0.011264,0.09941,0.051468
1,double,uniform,GPU,"Ns | Ns",512,0,0.03072,0,0.031579,0.018432,0.134466,0.080731
1,double,uniform,GPU,"Ns | Ns",512,1,0.021504,0,0.023549,0.013312,0.110254,0.058365
1,double,uniform,GPU,"Ns | Ns",512,2,0.018432,0,0.023081,0.012288,0.10054,0.053801
1,double,uniform,GPU,"Ns | Ns",512,3,0.019456,0,0.023195,0.011264,0.099366,0.053915
1,double,uniform,GPU,"Ns | Ns",512,4,0.019456,0,0.022719,0.012288,0.10042,0.054463
1,double,uniform,GPU,"Ns | Ns",512,5,0.018432,0,0.02661,0.013312,0.105352,0.058354
1,double,uniform,GPU,"Ns | Ns",512,6,0.019456,0,0.02286,0.012288,0.099266,0.054604
1,double,uniform,GPU,"Ns | Ns",512,7,0.019456,0,0.022666,0.012288,0.099665,0.05441
1,double,uniform,GPU,"Ns | Ns",512,8,0.017408,0,0.022376,0.011264,0.097116,0.051048
1,double,uniform,GPU,"Ns | Ns",512,9,0.018432,0,0.023077,0.011264,0.099509,0.052773
1,double,uniform,GPU,"Ns | Ns",512,10,0.0256,0,0.023505,0.012288,0.10532,0.061393
1,double,uniform,GPU,"Ns | Ns",512,11,0.019456,0,0.022332,0.013312,0.098787,0.0551
1,double,uniform,GPU,"Ns | Ns",512,12,0.019456,0,0.022369,0.011264,0.099009,0.053089
1,double,uniform,GPU,"Ns | Ns",512,13,0.019456,0,0.023038,0.011264,0.098719,0.053758
1,double,uniform,GPU,"Ns | Ns",512,14,0.019456,0,0.023233,0.011264,0.098225,0.053953
1,double,uniform,GPU,"Ns | Ns",512,15,0.019456,0,0.022951,0.012288,0.099926,0.054695
1,double,uniform,GPU,"Ns | Ns",512,16,0.018432,0,0.022772,0.013312,0.097929,0.054516
1,double,uniform,GPU,"Ns | Ns",512,17,0.018432,0,0.022987,0.011264,0.098652,0.052683
1,double,uniform,GPU,"Ns | Ns",512,18,0.019456,0,0.02283,0.013312,0.100385,0.055598
1,double,uniform,GPU,"Ns | Ns",512,19,0.018432,0,0.0226,0.012288,0.107586,0.05332
