dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,double,uniform,GPU,"Ns | Ds | Ns | Ns | Ns | Ns",256,18,0.709824,0.003044,2.73846,0.799744,4.3803,4.25107
3,double,uniform,GPU,"Ns | Ds | Ns | Ns | Ns | Ns",256,19,0.7024,0.002932,2.72869,0.796672,4.36787,4.2307
3,double,uniform,GPU,"Ns | Ds | Ns | Ns | Ns | Ns",320,0,1.37434,0.003328,7.11799,1.55546,10.189,10.0511
3,double,uniform,GPU,"Ns | Ds | Ns | Ns | Ns | Ns",320,1,1.37686,0.002953,7.06972,1.54112,10.1259,9.99066
3,double,uniform,GPU,"Ns | Ds | Ns | Ns | Ns | Ns",320,2,1.37421,0.002978,7.08907,1.54624,10.1458,10.0125
3,double,uniform,GPU,"Ns | Ds | Ns | Ns | Ns | Ns",320,3,1.37888,0.002873,7.08884,1.54522,10.1465,10.0158
3,double,uniform,GPU,"Ns | Ds | Ns | Ns | Ns | Ns",320,4,1.37456,0.00305,7.09338,1.54317,10.1439,10.0142
3,double,uniform,GPU,"Ns | Ds | Ns | Ns | Ns | Ns",320,5,1.3687,0.002911,7.08941,1.54317,10.1352,10.0042
3,double,uniform,GPU,"Ns | Ds | Ns | Ns | Ns | Ns",320,6,1.37206,0.002936,7.09438,1.54624,10.1472,10.0156
3,double,uniform,GPU,"Ns | Ds | Ns | Ns | Ns | Ns",320,7,1.37533,0.002917,7.09083,1.54624,10.1453,10.0153
3,double,uniform,GPU,"Ns | Ds | Ns | Ns | Ns | Ns",320,8,1.36781,0.00298,7.09489,1.54317,10.1406,10.0088
3,double,uniform,GPU,"Ns | Ds | Ns | Ns | Ns | Ns",320,9,1.36874,0.003173,7.0915,1.54419,10.1395,10.0076
3,double,uniform,GPU,"Ns | Ds | Ns | Ns | Ns | Ns",320,10,1.36973,0.00292,7.0974,1.55034,10.1497,10.0204
3,double,uniform,GPU,"Ns | Ds | Ns | Ns | Ns | Ns",320,11,1.36752,0.002932,7.08611,1.5616,10.1474,10.0182
3,double,uniform,GPU,"Ns | Ds | Ns | Ns | Ns | Ns",320,12,1.36848,0.003248,7.08975,1.53702,10.1291,9.9985
3,double,uniform,GPU,"Ns | Ds | Ns | Ns | Ns | Ns",320,13,1.3744,0.002927,7.07495,1.54829,10.1318,10.0006
3,double,uniform,GPU,"Ns | Ds | Ns | Ns | Ns | Ns",320,14,1.37315,0.002982,7.10071,1.5401,10.1484,10.0169
3,double,uniform,GPU,"Ns | Ds | Ns | Ns | Ns | Ns",320,15,1.36938,0.002972,7.09581,1.54112,10.1409,10.0093
3,double,uniform,GPU,"Ns | Ds | Ns | Ns | Ns | Ns",320,16,1.37696,0.002903,7.0873,1.54112,10.1377,10.0083
3,double,uniform,GPU,"Ns | Ds | Ns | Ns | Ns | Ns",320,17,1.37213,0.002937,7.08669,1.54522,10.1375,10.007
3,double,uniform,GPU,"Ns | Ds | Ns | Ns | Ns | Ns",320,18,1.36944,0.002961,7.08918,1.54419,10.1362,10.0058
3,double,uniform,GPU,"Ns | Ds | Ns | Ns | Ns | Ns",320,19,1.36771,0.002911,7.09171,1.5401,10.1331,10.0024
3,double,uniform,GPU,"Ns | Ds | Ns | Ns | Ns | Ns",384,0,2.46454,0.00301,12.8175,2.66957,18.0877,17.9546
3,double,uniform,GPU,"Ns | Ds | Ns | Ns | Ns | Ns",384,1,2.45763,0.003067,12.7941,2.68083,18.0657,17.9356
3,double,uniform,GPU,"Ns | Ds | Ns | Ns | Ns | Ns",384,2,2.45795,0.003026,12.799,2.67469,18.0639,17.9347
3,double,uniform,GPU,"Ns | Ds | Ns | Ns | Ns | Ns",384,3,2.45795,0.003176,12.8065,2.67878,18.0768,17.9464
3,double,uniform,GPU,"Ns | Ds | Ns | Ns | Ns | Ns",384,4,2.45699,0.003187,12.8099,2.69107,18.093,17.9611
3,double,uniform,GPU,"Ns | Ds | Ns | Ns | Ns | Ns",384,5,2.46077,0.002977,12.8122,2.67776,18.0837,17.9537
3,double,uniform,GPU,"Ns | Ds | Ns | Ns | Ns | Ns",384,6,2.45651,0.003003,12.8043,2.68083,18.075,17.9446
3,double,uniform,GPU,"Ns | Ds | Ns | Ns | Ns | Ns",384,7,2.46326,0.003138,12.806,2.67776,18.0813,17.9502
3,double,uniform,GPU,"Ns | Ds | Ns | Ns | Ns | Ns",384,8,2.46237,0.00298,12.804,2.68083,18.0811,17.9502
3,double,uniform,GPU,"Ns | Ds | Ns | Ns | Ns | Ns",384,9,2.45661,0.003027,12.7941,2.68698,18.0716,17.9407
