dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
2,float,uniform,GPU,"Ns | Ns | Ns | Ns",320,16,0.023168,0,0.035141,0.02048,0.154843,0.078789
2,float,uniform,GPU,"Ns | Ns | Ns | Ns",320,17,0.02288,0,0.034935,0.013312,0.1471,0.071127
2,float,uniform,GPU,"Ns | Ns | Ns | Ns",320,18,0.022752,0,0.035591,0.01536,0.148016,0.073703
2,float,uniform,GPU,"Ns | Ns | Ns | Ns",320,19,0.023104,0,0.035159,0.013312,0.14746,0.071575
2,float,uniform,GPU,"Ns | Ns | Ns | Ns",384,0,0.017664,0,0.057125,0.019456,0.196407,0.094245
2,float,uniform,GPU,"Ns | Ns | Ns | Ns",384,1,0.021056,0,0.041899,0.01536,0.171045,0.078315
2,float,uniform,GPU,"Ns | Ns | Ns | Ns",384,2,0.016928,0,0.048029,0.014336,0.173733,0.079293
2,float,uniform,GPU,"Ns | Ns | Ns | Ns",384,3,0.016384,0,0.04136,0.014336,0.164273,0.07208
2,float,uniform,GPU,"Ns | Ns | Ns | Ns",384,4,0.018016,0,0.041497,0.013312,0.16455,0.072825
2,float,uniform,GPU,"Ns | Ns | Ns | Ns",384,5,0.017248,0,0.040997,0.014336,0.164832,0.072581
2,float,uniform,GPU,"Ns | Ns | Ns | Ns",384,6,0.016768,0,0.040865,0.014336,0.165043,0.071969
2,float,uniform,GPU,"Ns | Ns | Ns | Ns",384,7,0.021056,0,0.040858,0.014336,0.168142,0.07625
2,float,uniform,GPU,"Ns | Ns | Ns | Ns",384,8,0.018112,0,0.040852,0.01536,0.1656,0.074324
2,float,uniform,GPU,"Ns | Ns | Ns | Ns",384,9,0.017152,0,0.041338,0.014336,0.16514,0.072826
2,float,uniform,GPU,"Ns | Ns | Ns | Ns",384,10,0.01696,0,0.04262,0.014336,0.166638,0.073916
2,float,uniform,GPU,"Ns | Ns | Ns | Ns",384,11,0.017952,0,0.040815,0.014336,0.16471,0.073103
2,float,uniform,GPU,"Ns | Ns | Ns | Ns",384,12,0.017664,0,0.040613,0.013312,0.164349,0.071589
