dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,float,uniform,CPU,"P | P | P | P | D | N",448,0,146.718,0.003304,16.5286,5.37088,168.719,168.621
3,float,uniform,CPU,"P | P | P | P | D | N",448,1,146.116,0.003314,16.5151,5.36269,168.093,167.997
3,float,uniform,CPU,"P | P | P | P | D | N",448,2,146.569,0.003466,16.1441,5.35245,168.168,168.069
3,float,uniform,CPU,"P | P | P | P | D | N",448,3,147.296,0.003469,16.1403,5.35347,168.891,168.794
3,float,uniform,CPU,"P | P | P | P | D | N",448,4,144.954,0.003346,15.2244,5.33197,165.606,165.513
3,float,uniform,CPU,"P | P | P | P | D | N",448,5,145.98,0.003401,15.2111,5.32787,166.616,166.522
3,float,uniform,CPU,"P | P | P | P | D | N",448,6,147.663,0.003594,15.2106,5.34835,168.32,168.225
3,float,uniform,CPU,"P | P | P | P | D | N",448,7,145.124,0.003261,15.2173,5.33402,165.772,165.678
3,float,uniform,CPU,"P | P | P | P | D | N",448,8,146.517,0.003491,15.2015,5.33606,167.152,167.058
3,float,uniform,CPU,"P | P | P | P | D | N",448,9,145.472,0.003299,15.1992,5.33811,166.106,166.012
3,float,uniform,CPU,"P | P | P | P | D | N",448,10,146.495,0.003438,15.21,5.33299,167.134,167.041
3,float,uniform,CPU,"P | P | P | P | D | N",448,11,145.457,0.00325,15.2327,5.33197,166.116,166.025
3,float,uniform,CPU,"P | P | P | P | D | N",448,12,147.237,0.00326,15.2127,5.34426,167.891,167.798
3,float,uniform,CPU,"P | P | P | P | D | N",448,13,146.181,0.003303,15.2045,5.33094,166.817,166.72
3,float,uniform,CPU,"P | P | P | P | D | N",448,14,150.197,0.003468,15.2126,5.35654,170.865,170.77
3,float,uniform,CPU,"P | P | P | P | D | N",448,15,145.244,0.003338,15.2294,5.34221,165.913,165.819
3,float,uniform,CPU,"P | P | P | P | D | N",448,16,146.001,0.003328,15.2043,5.34938,166.652,166.558
3,float,uniform,CPU,"P | P | P | P | D | N",448,17,145.976,0.003266,15.2037,5.33197,166.608,166.515
3,float,uniform,CPU,"P | P | P | P | D | N",448,18,145.667,0.003315,15.1973,5.34118,166.301,166.209
3,float,uniform,CPU,"P | P | P | P | D | N",448,19,146.576,0.003255,15.2142,5.3248,167.213,167.118
3,float,uniform,CPU,"P | P | P | P | D | N",512,0,219.048,0.003188,27.24,7.51821,253.903,253.809
3,float,uniform,CPU,"P | P | P | P | D | N",512,1,219.719,0.003218,27.3917,7.49363,254.7,254.608
3,float,uniform,CPU,"P | P | P | P | D | N",512,2,219.469,0.00326,27.2797,7.48032,254.321,254.232
3,float,uniform,CPU,"P | P | P | P | D | N",512,3,220.302,0.003202,27.337,7.48646,255.225,255.129
3,float,uniform,CPU,"P | P | P | P | D | N",512,4,220.37,0.003234,27.2061,7.51002,255.184,255.09
3,float,uniform,CPU,"P | P | P | P | D | N",512,5,219.254,0.003376,27.2394,7.4967,254.087,253.993
3,float,uniform,CPU,"P | P | P | P | D | N",512,6,220.826,0.00349,27.3117,7.48032,255.717,255.622
3,float,uniform,CPU,"P | P | P | P | D | N",512,7,219.201,0.003361,26.8335,7.48954,253.621,253.527
3,float,uniform,CPU,"P | P | P | P | D | N",512,8,221.885,0.003227,27.0899,7.48749,256.561,256.466
3,float,uniform,CPU,"P | P | P | P | D | N",512,9,221.038,0.003554,27.2642,7.4711,255.873,255.777
3,float,uniform,CPU,"P | P | P | P | D | N",512,10,222.789,0.003203,27.3837,7.49568,257.769,257.671
3,float,uniform,CPU,"P | P | P | P | D | N",512,11,221.215,0.004068,27.3138,7.50387,256.154,256.037
3,float,uniform,CPU,"P | P | P | P | D | N",512,12,222.421,0.003596,27.4735,7.49466,257.488,257.393
3,float,uniform,CPU,"P | P | P | P | D | N",512,13,221.036,0.003205,27.0792,7.51206,255.728,255.631
3,float,uniform,CPU,"P | P | P | P | D | N",512,14,217.903,0.003253,27.4341,7.47622,252.91,252.816
3,float,uniform,CPU,"P | P | P | P | D | N",512,15,223.328,0.003428,27.2496,7.46803,258.141,258.049
3,float,uniform,CPU,"P | P | P | P | D | N",512,16,222.89,0.003778,27.2633,7.48032,257.733,257.638
3,float,uniform,CPU,"P | P | P | P | D | N",512,17,222.312,0.003196,27.4054,7.48954,257.305,257.21
3,float,uniform,CPU,"P | P | P | P | D | N",512,18,219.073,0.003171,27.3168,7.48032,253.966,253.873
3,float,uniform,CPU,"P | P | P | P | D | N",512,19,223.15,0.003206,27.2754,7.49466,258.017,257.923
