dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,double,uniform,CPU,"P | P | Ns | Ns | P | P",128,27,1.50381,0.001571,0.581914,0.09664,2.2364,2.18393
3,double,uniform,CPU,"P | P | Ns | Ns | P | P",128,28,1.56931,0.001659,0.523115,0.098368,2.24824,2.19245
3,double,uniform,CPU,"P | P | Ns | Ns | P | P",128,29,1.5071,0.00153,0.523012,0.095808,2.18635,2.12745
3,double,uniform,CPU,"P | P | Ns | Ns | P | P",128,30,1.5095,0.001769,0.521644,0.097696,2.18621,2.13061
3,double,uniform,CPU,"P | P | Ns | Ns | P | P",128,31,1.51235,0.0016,0.523624,0.096448,2.18847,2.13402
3,double,uniform,CPU,"P | P | Ns | Ns | P | P",128,32,1.51443,0.00155,0.524455,0.097952,2.19199,2.13839
3,double,uniform,CPU,"P | P | Ns | Ns | P | P",128,33,1.54362,0.00188,0.523265,0.097728,2.21925,2.16649
3,double,uniform,CPU,"P | P | Ns | Ns | P | P",128,34,1.50979,0.00153,0.524474,0.097696,2.18873,2.13349
3,double,uniform,CPU,"P | P | Ns | Ns | P | P",128,35,1.50531,0.001751,0.516084,0.09616,2.16817,2.11931
3,double,uniform,CPU,"P | P | Ns | Ns | P | P",128,36,1.54685,0.0016,0.523693,0.097728,2.22214,2.16987
3,double,uniform,CPU,"P | P | Ns | Ns | P | P",128,37,1.50595,0.00151,0.515783,0.099168,2.17081,2.12241
3,double,uniform,CPU,"P | P | Ns | Ns | P | P",128,38,1.53843,0.00181,0.523075,0.098624,2.21868,2.16194
3,double,uniform,CPU,"P | P | Ns | Ns | P | P",128,39,1.49949,0.0015,0.523534,0.097152,2.17943,2.12167
3,double,uniform,CPU,"P | P | Ns | Ns | P | P",128,40,1.51651,0.00172,0.523325,0.098144,2.1936,2.1397
3,double,uniform,CPU,"P | P | Ns | Ns | P | P",128,41,1.57507,0.00207,0.540275,0.103392,2.30035,2.22081
3,double,uniform,CPU,"P | P | Ns | Ns | P | P",128,42,1.53773,0.001671,0.527654,0.09984,2.22621,2.16689
3,double,uniform,CPU,"P | P | Ns | Ns | P | P",128,43,1.49485,0.00196,0.523675,0.097408,2.17386,2.11789
3,double,uniform,CPU,"P | P | Ns | Ns | P | P",128,44,1.51674,0.002069,0.538184,0.10352,2.24511,2.16051
3,double,uniform,CPU,"P | P | Ns | Ns | P | P",128,45,1.53674,0.001771,0.521985,0.097056,2.21064,2.15755
3,double,uniform,CPU,"P | P | Ns | Ns | P | P",128,46,1.57392,0.00167,0.523884,0.09744,2.25083,2.19691
3,double,uniform,CPU,"P | P | Ns | Ns | P | P",128,47,1.49939,0.001551,0.522174,0.095648,2.17158,2.11877
3,double,uniform,CPU,"P | P | Ns | Ns | P | P",128,48,1.58928,0.001699,0.521944,0.097472,2.2662,2.21039
3,double,uniform,CPU,"P | P | Ns | Ns | P | P",128,49,1.50458,0.001591,0.523265,0.099776,2.18778,2.12921
3,double,uniform,CPU,"P | P | Ns | Ns | P | P",128,50,1.50106,0.001881,0.522594,0.095488,2.18014,2.12102
3,double,uniform,CPU,"P | P | Ns | Ns | P | P",128,51,1.5192,0.00178,0.523094,0.097312,2.19613,2.14139
3,double,uniform,CPU,"P | P | Ns | Ns | P | P",128,52,1.50154,0.00157,0.523654,0.09856,2.18,2.12532
3,double,uniform,CPU,"P | P | Ns | Ns | P | P",128,53,1.50778,0.00182,0.522963,0.09824,2.18652,2.1308
3,double,uniform,CPU,"P | P | Ns | Ns | P | P",128,54,1.50986,0.00161,0.523265,0.09568,2.18688,2.13041
