dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
1,float,uniform,CPU,"D | N",256,4,0.032448,0,0.01973,0.008448,0.099699,0.060626
1,float,uniform,CPU,"D | N",256,5,0.033184,0,0.017989,0.005376,0.095139,0.056549
1,float,uniform,CPU,"D | N",256,6,0.028512,0,0.020539,0.00576,0.093719,0.054811
1,float,uniform,CPU,"D | N",256,7,0.02912,0,0.01794,0.005408,0.090648,0.052468
1,float,uniform,CPU,"D | N",256,8,0.029152,0,0.01814,0.005408,0.092028,0.0527
1,float,uniform,CPU,"D | N",256,9,0.0304,0,0.01812,0.007488,0.093479,0.056008
1,float,uniform,CPU,"D | N",256,10,0.02864,0,0.019099,0.007648,0.095709,0.055387
1,float,uniform,CPU,"D | N",256,11,0.030976,0,0.01843,0.007072,0.096499,0.056478
1,float,uniform,CPU,"D | N",256,12,0.030208,0,0.018149,0.006592,0.095199,0.054949
1,float,uniform,CPU,"D | N",256,13,0.027232,0,0.01799,0.007488,0.092179,0.05271
1,float,uniform,CPU,"D | N",256,14,0.032192,0,0.01812,0.007008,0.096779,0.05732
1,float,uniform,CPU,"D | N",256,15,0.029568,0,0.017949,0.005664,0.091089,0.053181
1,float,uniform,CPU,"D | N",256,16,0.028704,0,0.01787,0.00656,0.097789,0.053134
1,float,uniform,CPU,"D | N",256,17,0.026944,0,0.01477,0.00672,0.081679,0.048434
1,float,uniform,CPU,"D | N",256,18,0.034464,0,0.0178,0.00592,0.096739,0.058184
1,float,uniform,CPU,"D | N",256,19,0.029824,0,0.01828,0.005184,0.089749,0.053288
1,float,uniform,CPU,"D | N",256,20,0.029056,0,0.01798,0.006816,0.090909,0.053852
1,float,uniform,CPU,"D | N",256,21,0.029184,0,0.01809,0.005152,0.090888,0.052426
1,float,uniform,CPU,"D | N",256,22,0.02944,0,0.01814,0.00528,0.106879,0.05286
1,float,uniform,CPU,"D | N",256,23,0.02928,0,0.0181,0.005472,0.091799,0.052852
1,float,uniform,CPU,"D | N",256,24,0.02896,0,0.01805,0.005504,0.090719,0.052514
1,float,uniform,CPU,"D | N",256,25,0.029312,0,0.017961,0.00784,0.092519,0.055113
