dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,float,uniform,CPU,"P | P | P | P | Ds | Ns",128,66,0.79152,0.00177,0.077188,0.028928,0.95073,0.899406
3,float,uniform,CPU,"P | P | P | P | Ds | Ns",128,67,0.783712,0.001571,0.075918,0.029632,0.94282,0.890833
3,float,uniform,CPU,"P | P | P | P | Ds | Ns",128,68,0.789152,0.00178,0.07867,0.030272,0.960819,0.899874
3,float,uniform,CPU,"P | P | P | P | Ds | Ns",128,69,0.800256,0.00157,0.076809,0.028864,0.957289,0.907499
3,float,uniform,CPU,"P | P | P | P | Ds | Ns",128,70,0.792608,0.001579,0.077909,0.031712,0.956089,0.903808
3,float,uniform,CPU,"P | P | P | P | Ds | Ns",128,71,0.801664,0.001659,0.078039,0.029696,0.963378,0.911058
3,float,uniform,CPU,"P | P | P | P | Ds | Ns",128,72,0.796544,0.001711,0.077049,0.03248,0.959019,0.907784
3,float,uniform,CPU,"P | P | P | P | Ds | Ns",128,73,0.794048,0.00172,0.07708,0.029376,0.953589,0.902224
3,float,uniform,CPU,"P | P | P | P | Ds | Ns",128,74,0.79152,0.001641,0.077619,0.031104,0.956509,0.901884
3,float,uniform,CPU,"P | P | P | P | Ds | Ns",192,0,2.5729,0.00209,0.172149,0.084,2.91076,2.83114
3,float,uniform,CPU,"P | P | P | P | Ds | Ns",192,1,2.624,0.002,0.16776,0.082816,2.94596,2.87658
3,float,uniform,CPU,"P | P | P | P | Ds | Ns",192,2,2.5745,0.00167,0.160777,0.07872,2.87352,2.81566
3,float,uniform,CPU,"P | P | P | P | Ds | Ns",192,3,2.53581,0.001601,0.159126,0.076256,2.83093,2.77279
3,float,uniform,CPU,"P | P | P | P | Ds | Ns",192,4,2.63027,0.00182,0.157168,0.075456,2.92131,2.86472
3,float,uniform,CPU,"P | P | P | P | Ds | Ns",192,5,2.6281,0.00221,0.167027,0.08432,2.95575,2.88165
3,float,uniform,CPU,"P | P | P | P | Ds | Ns",192,6,2.8431,0.002,0.164977,0.079808,3.14971,3.08989
3,float,uniform,CPU,"P | P | P | P | Ds | Ns",192,7,2.58083,0.001712,0.161577,0.076288,2.87933,2.82041
3,float,uniform,CPU,"P | P | P | P | Ds | Ns",192,8,2.62598,0.00173,0.158228,0.076352,2.91862,2.86229
3,float,uniform,CPU,"P | P | P | P | Ds | Ns",192,9,2.6056,0.00167,0.159098,0.076608,2.89988,2.84298
3,float,uniform,CPU,"P | P | P | P | Ds | Ns",192,10,2.58618,0.00179,0.156557,0.076672,2.87569,2.8212
3,float,uniform,CPU,"P | P | P | P | Ds | Ns",192,11,2.64214,0.00175,0.159597,0.076704,2.94177,2.8802
3,float,uniform,CPU,"P | P | P | P | Ds | Ns",192,12,2.57418,0.00172,0.15907,0.07584,2.86929,2.81081
3,float,uniform,CPU,"P | P | P | P | Ds | Ns",192,13,2.56259,0.00162,0.159988,0.075616,2.8578,2.79982
3,float,uniform,CPU,"P | P | P | P | Ds | Ns",192,14,2.68346,0.00203,0.173128,0.083776,3.02343,2.94239
3,float,uniform,CPU,"P | P | P | P | Ds | Ns",192,15,2.58058,0.00199,0.172318,0.083712,2.91866,2.8386
3,float,uniform,CPU,"P | P | P | P | Ds | Ns",192,16,2.60634,0.00205,0.162598,0.078112,2.91196,2.8491
3,float,uniform,CPU,"P | P | P | P | Ds | Ns",192,17,2.59408,0.00167,0.160379,0.076416,2.89112,2.83254
3,float,uniform,CPU,"P | P | P | P | Ds | Ns",192,18,2.61504,0.00173,0.151168,0.079296,2.8944,2.84723
3,float,uniform,CPU,"P | P | P | P | Ds | Ns",192,19,2.63485,0.0016,0.158087,0.07504,2.92641,2.86958
3,float,uniform,CPU,"P | P | P | P | Ds | Ns",192,20,2.6216,0.00159,0.158189,0.076704,2.91434,2.85808
3,float,uniform,CPU,"P | P | P | P | Ds | Ns",192,21,2.62256,0.00193,0.157519,0.078208,2.91434,2.86022
3,float,uniform,CPU,"P | P | P | P | Ds | Ns",192,22,2.58957,0.00178,0.157947,0.076096,2.88357,2.82539
3,float,uniform,CPU,"P | P | P | P | Ds | Ns",192,23,2.60829,0.00168,0.159468,0.075872,2.90483,2.84531
3,float,uniform,CPU,"P | P | P | P | Ds | Ns",192,24,2.60298,0.00199,0.169788,0.083808,2.93305,2.85856
3,float,uniform,CPU,"P | P | P | P | Ds | Ns",192,25,2.54534,0.001891,0.160196,0.079648,2.84216,2.78708
3,float,uniform,CPU,"P | P | P | P | Ds | Ns",192,26,2.56906,0.001671,0.158498,0.07584,2.86536,2.80507
3,float,uniform,CPU,"P | P | P | P | Ds | Ns",192,27,2.57402,0.0018,0.15678,0.076128,2.86439,2.80872
3,float,uniform,CPU,"P | P | P | P | Ds | Ns",192,28,2.57661,0.00192,0.15996,0.079424,2.87878,2.81791
3,float,uniform,CPU,"P | P | P | P | Ds | Ns",192,29,2.57978,0.00166,0.15856,0.075744,2.87234,2.81574
3,float,uniform,CPU,"P | P | P | P | Ds | Ns",192,30,2.63437,0.00182,0.160199,0.077728,2.93254,2.87411
3,float,uniform,CPU,"P | P | P | P | Ds | Ns",192,31,2.56384,0.00169,0.158477,0.075936,2.85597,2.79994
3,float,uniform,CPU,"P | P | P | P | Ds | Ns",192,32,2.71318,0.001921,0.15739,0.075904,3.00239,2.9484
3,float,uniform,CPU,"P | P | P | P | Ds | Ns",192,33,2.58566,0.001769,0.156607,0.075552,2.8743,2.81959
3,float,uniform,CPU,"P | P | P | P | Ds | Ns",192,34,2.59626,0.001901,0.159728,0.07584,2.89546,2.83372
3,float,uniform,CPU,"P | P | P | P | Ds | Ns",192,35,2.6575,0.0017,0.159238,0.075808,2.95183,2.89425
3,float,uniform,CPU,"P | P | P | P | Ds | Ns",192,36,2.56461,0.00154,0.15849,0.075168,2.85677,2.79981
3,float,uniform,CPU,"P | P | P | P | Ds | Ns",192,37,2.54528,0.00162,0.15778,0.076736,2.8404,2.78142
3,float,uniform,CPU,"P | P | P | P | Ds | Ns",192,38,2.55552,0.001779,0.156717,0.076,2.84408,2.79002
3,float,uniform,CPU,"P | P | P | P | Ds | Ns",192,39,2.6056,0.001629,0.158578,0.075968,2.9021,2.84177
3,float,uniform,CPU,"P | P | P | P | Ds | Ns",192,40,2.56947,0.00171,0.159286,0.077344,2.88011,2.80781
3,float,uniform,CPU,"P | P | P | P | Ds | Ns",192,41,2.6167,0.00181,0.159376,0.074752,2.90732,2.85264
3,float,uniform,CPU,"P | P | P | P | Ds | Ns",192,42,2.56963,0.001711,0.157119,0.076256,2.86203,2.80472
3,float,uniform,CPU,"P | P | P | P | Ds | Ns",192,43,2.57802,0.001659,0.158249,0.07424,2.87226,2.81216
3,float,uniform,CPU,"P | P | P | P | Ds | Ns",192,44,2.57626,0.002409,0.155478,0.077792,2.86913,2.81193
