dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,float,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",128,51,0.026848,0.001549,0.07728,0.027424,0.194498,0.133101
3,float,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",128,52,0.028032,0.00162,0.07069,0.030784,0.183888,0.131126
3,float,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",128,53,0.026464,0.00157,0.119909,0.031392,0.240318,0.179335
3,float,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",128,54,0.027072,0.00175,0.076929,0.028736,0.194987,0.134487
3,float,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",128,55,0.02608,0.00159,0.07793,0.032576,0.198168,0.138176
3,float,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",128,56,0.026592,0.00164,0.078809,0.031392,0.200148,0.138433
3,float,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",128,57,0.026688,0.0015,0.077369,0.029568,0.194808,0.135125
3,float,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",128,58,0.027552,0.00151,0.077399,0.030528,0.345356,0.136989
3,float,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",128,59,0.02688,0.00167,0.078489,0.030912,0.207348,0.137951
3,float,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",128,60,0.028096,0.001701,0.077218,0.030144,0.197558,0.137159
3,float,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",128,61,0.025984,0.0017,0.079098,0.03184,0.199627,0.138622
3,float,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",128,62,0.026944,0.00159,0.077049,0.030208,0.196798,0.135791
3,float,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",128,63,0.033504,0.00163,0.077319,0.030016,0.203848,0.142469
3,float,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",128,64,0.028,0.001531,0.078239,0.032928,0.200688,0.140698
3,float,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",128,65,0.027456,0.00152,0.070269,0.032992,0.186128,0.132237
