dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",128,2,0.02096,0.00168,0.485734,0.057856,0.622484,0.56623
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",128,3,0.021248,0.00168,0.486194,0.059136,0.623434,0.568258
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",128,4,0.020512,0.00161,0.487245,0.060192,0.625574,0.569559
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",128,5,0.028544,0.001571,0.486987,0.05872,0.630944,0.575822
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",128,6,0.0296,0.00141,0.485744,0.058176,0.629884,0.57493
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",128,7,0.02048,0.0017,0.482334,0.062848,0.619904,0.567362
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",128,8,0.022656,0.001611,0.485667,0.059648,0.624873,0.569582
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",128,9,0.021632,0.00149,0.486376,0.058624,0.624294,0.568122
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",128,10,0.022112,0.00144,0.485285,0.057792,0.622184,0.566629
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",128,11,0.021536,0.001501,0.485775,0.057824,0.622313,0.566636
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",128,12,0.0224,0.001469,0.485827,0.0592,0.624083,0.568896
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",128,13,0.023072,0.00167,0.486915,0.060032,0.626884,0.571689
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",128,14,0.022176,0.001602,0.486026,0.059744,0.624563,0.569548
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",128,15,0.037952,0.00201,0.494574,0.06352,0.654733,0.598056
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",128,16,0.036832,0.00219,0.493375,0.063456,0.651893,0.595853
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",128,17,0.019968,0.00173,0.486214,0.058784,0.620904,0.566696
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",128,18,0.022112,0.00179,0.486526,0.05888,0.624554,0.569308
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",128,19,0.020352,0.00153,0.486054,0.05872,0.623244,0.566656
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",128,20,0.02192,0.001509,0.486317,0.060448,0.624953,0.570194
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",128,21,0.02144,0.001439,0.486206,0.058304,0.623544,0.567389
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",128,22,0.038176,0.00198,0.493215,0.061728,0.651373,0.595099
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",128,23,0.023488,0.00151,0.480364,0.060384,0.615104,0.565746
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",128,24,0.022976,0.001619,0.485048,0.057952,0.622143,0.567595
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",128,25,0.022048,0.00173,0.486904,0.059136,0.625064,0.569818
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",128,26,0.02096,0.00148,0.486374,0.057888,0.621924,0.566702
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",128,27,0.022016,0.00165,0.490144,0.056864,0.626354,0.570674
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",128,28,0.021056,0.0017,0.481295,0.061504,0.615663,0.565555
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",128,29,0.023456,0.00172,0.486404,0.058976,0.625364,0.570556
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",128,30,0.020512,0.00168,0.486075,0.06032,0.625123,0.568587
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",128,31,0.022336,0.00152,0.485524,0.0576,0.623274,0.56698
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",128,32,0.022016,0.00917,0.486524,0.058752,0.632244,0.576462
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",128,33,0.020736,0.001462,0.485326,0.06,0.623163,0.567524
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",128,34,0.022304,0.001481,0.486016,0.058656,0.623233,0.568457
