dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
1,double,uniform,CPU,"N | D",192,1,0.033216,0,0.04223,0.007328,0.123888,0.082774
1,double,uniform,CPU,"N | D",192,2,0.029184,0,0.04554,0.006208,0.121759,0.080932
1,double,uniform,CPU,"N | D",192,3,0.031648,0,0.137339,0.00928,0.216928,0.178267
1,double,uniform,CPU,"N | D",192,4,0.0296,0,0.04193,0.008672,0.119719,0.080202
1,double,uniform,CPU,"N | D",192,5,0.029856,0,0.04233,0.007936,0.118579,0.080122
1,double,uniform,CPU,"N | D",192,6,0.02928,0,0.04208,0.006144,0.116268,0.077504
1,double,uniform,CPU,"N | D",192,7,0.029952,0,0.042369,0.007712,0.119859,0.080033
1,double,uniform,CPU,"N | D",192,8,0.027136,0,0.042049,0.006496,0.115469,0.075681
1,double,uniform,CPU,"N | D",192,9,0.03552,0,0.04197,0.007104,0.124879,0.084594
1,double,uniform,CPU,"N | D",192,10,0.02944,0,0.042349,0.00784,0.118499,0.079629
1,double,uniform,CPU,"N | D",192,11,0.030912,0,0.04212,0.007744,0.121599,0.080776
1,double,uniform,CPU,"N | D",192,12,0.029248,0,0.04209,0.00688,0.119208,0.078218
1,double,uniform,CPU,"N | D",192,13,0.028544,0,0.042309,0.008,0.118639,0.078853
1,double,uniform,CPU,"N | D",192,14,0.029824,0,0.042289,0.007584,0.121109,0.079697
1,double,uniform,CPU,"N | D",192,15,0.032928,0,0.038259,0.01008,0.114059,0.081267
1,double,uniform,CPU,"N | D",192,16,0.027328,0,0.0421,0.007904,0.116349,0.077332
1,double,uniform,CPU,"N | D",192,17,0.028928,0,0.04249,0.009056,0.119449,0.080474
1,double,uniform,CPU,"N | D",192,18,0.029728,0,0.04205,0.00784,0.120078,0.079618
1,double,uniform,CPU,"N | D",192,19,0.030624,0,0.041799,0.006048,0.119239,0.078471
1,double,uniform,CPU,"N | D",192,20,0.03168,0,0.042459,0.006624,0.123789,0.080763
1,double,uniform,CPU,"N | D",192,21,0.028096,0,0.038309,0.010272,0.109319,0.076677
1,double,uniform,CPU,"N | D",192,22,0.029632,0,0.042429,0.008736,0.118679,0.080797
1,double,uniform,CPU,"N | D",192,23,0.031392,0,0.04647,0.006752,0.125919,0.084614
1,double,uniform,CPU,"N | D",192,24,0.028544,0,0.04259,0.008256,0.119919,0.07939
1,double,uniform,CPU,"N | D",192,25,0.029472,0,0.04232,0.008576,0.119849,0.080368
1,double,uniform,CPU,"N | D",192,26,0.034432,0,0.04211,0.008608,0.128498,0.08515
1,double,uniform,CPU,"N | D",192,27,0.027936,0,0.042039,0.00848,0.116859,0.078455
1,double,uniform,CPU,"N | D",192,28,0.030368,0,0.03907,0.009088,0.111599,0.078526
1,double,uniform,CPU,"N | D",192,29,0.029632,0,0.042359,0.008288,0.120439,0.080279
1,double,uniform,CPU,"N | D",192,30,0.123808,0,0.04194,0.006368,0.210918,0.172116
1,double,uniform,CPU,"N | D",192,31,0.028704,0,0.0419,0.00704,0.118488,0.077644
1,double,uniform,CPU,"N | D",192,32,0.028512,0,0.042519,0.007776,0.119039,0.078807
1,double,uniform,CPU,"N | D",192,33,0.028352,0,0.042019,0.006656,0.117139,0.077027
1,double,uniform,CPU,"N | D",192,34,0.030272,0,0.04229,0.00672,0.119089,0.079282
1,double,uniform,CPU,"N | D",192,35,0.029184,0,0.0417,0.006112,0.115749,0.076996
1,double,uniform,CPU,"N | D",192,36,0.030976,0,0.04226,0.006368,0.121779,0.079604
1,double,uniform,CPU,"N | D",192,37,0.027808,0,0.042319,0.007744,0.117739,0.077871
1,double,uniform,CPU,"N | D",192,38,0.039168,0,0.042529,0.008288,0.131069,0.089985
1,double,uniform,CPU,"N | D",192,39,0.030752,0,0.04203,0.00784,0.202508,0.080622
1,double,uniform,CPU,"N | D",192,40,0.027936,0,0.04234,0.008736,0.120219,0.079012
1,double,uniform,CPU,"N | D",192,41,0.031584,0,0.04216,0.008832,0.120469,0.082576
1,double,uniform,CPU,"N | D",192,42,0.033632,0,0.04239,0.006016,0.122129,0.082038
1,double,uniform,CPU,"N | D",192,43,0.029696,0,0.04223,0.007392,0.119709,0.079318
1,double,uniform,CPU,"N | D",192,44,0.033376,0,0.04223,0.0072,0.123909,0.082806
1,double,uniform,CPU,"N | D",192,45,0.029312,0,0.04206,0.006656,0.117149,0.078028
1,double,uniform,CPU,"N | D",192,46,0.029152,0,0.04188,0.00688,0.124439,0.077912
1,double,uniform,CPU,"N | D",192,47,0.13456,0,0.042459,0.007264,0.225218,0.184283
1,double,uniform,CPU,"N | D",192,48,0.029376,0,0.04211,0.007072,0.11749,0.078558
1,double,uniform,CPU,"N | D",192,49,0.028032,0,0.04257,0.008672,0.119239,0.079274
1,double,uniform,CPU,"N | D",192,50,0.030528,0,0.04251,0.006656,0.119769,0.079694
1,double,uniform,CPU,"N | D",192,51,0.030848,0,0.04217,0.006592,0.122139,0.07961
1,double,uniform,CPU,"N | D",192,52,0.028672,0,0.04237,0.007872,0.118609,0.078914
1,double,uniform,CPU,"N | D",192,53,0.03184,0,0.039229,0.007904,0.114689,0.078973
1,double,uniform,CPU,"N | D",192,54,0.031168,0,0.041949,0.00912,0.119779,0.082237
1,double,uniform,CPU,"N | D",192,55,0.039968,0,0.04191,0.007072,0.130199,0.08895
