dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,float,uniform,GPU,"P | P | P | P | D | N",128,70,0.019328,0.001541,0.082149,0.028032,0.193928,0.13105
3,float,uniform,GPU,"P | P | P | P | D | N",128,71,0.024064,0.001551,0.078238,0.027616,0.192158,0.131469
3,float,uniform,GPU,"P | P | P | P | D | N",128,72,0.017792,0.00157,0.077979,0.028352,0.186737,0.125693
3,float,uniform,GPU,"P | P | P | P | D | N",128,73,0.021856,0.00159,0.077369,0.029984,0.197847,0.130799
3,float,uniform,GPU,"P | P | P | P | D | N",128,74,0.036576,0.00202,0.087,0.035168,0.222798,0.160764
3,float,uniform,GPU,"P | P | P | P | D | N",192,0,0.062816,0.002019,0.167827,0.07744,0.374595,0.310102
3,float,uniform,GPU,"P | P | P | P | D | N",192,1,0.054496,0.001679,0.164817,0.085088,0.367706,0.30608
3,float,uniform,GPU,"P | P | P | P | D | N",192,2,0.05424,0.001661,0.16483,0.08224,0.368795,0.302971
3,float,uniform,GPU,"P | P | P | P | D | N",192,3,0.051904,0.00177,0.193137,0.081376,0.393006,0.328187
3,float,uniform,GPU,"P | P | P | P | D | N",192,4,0.050976,0.00159,0.164808,0.081376,0.362166,0.29875
3,float,uniform,GPU,"P | P | P | P | D | N",192,5,0.051392,0.00175,0.165377,0.081568,0.364156,0.300087
3,float,uniform,GPU,"P | P | P | P | D | N",192,6,0.052224,0.001679,0.165226,0.08144,0.364876,0.300569
3,float,uniform,GPU,"P | P | P | P | D | N",192,7,0.052448,0.00176,0.16417,0.082528,0.363866,0.300906
3,float,uniform,GPU,"P | P | P | P | D | N",192,8,0.053728,0.001551,0.164567,0.081728,0.363786,0.301574
3,float,uniform,GPU,"P | P | P | P | D | N",192,9,0.067168,0.00185,0.170037,0.085152,0.387635,0.324207
3,float,uniform,GPU,"P | P | P | P | D | N",192,10,0.052064,0.0018,0.166578,0.08336,0.368027,0.303802
3,float,uniform,GPU,"P | P | P | P | D | N",192,11,0.052032,0.001761,0.164888,0.080992,0.363696,0.299673
3,float,uniform,GPU,"P | P | P | P | D | N",192,12,0.05344,0.001609,0.163719,0.08192,0.365006,0.300688
3,float,uniform,GPU,"P | P | P | P | D | N",192,13,0.070432,0.00194,0.170027,0.084896,0.391306,0.327295
3,float,uniform,GPU,"P | P | P | P | D | N",192,14,0.05776,0.00171,0.167399,0.083712,0.374696,0.310581
3,float,uniform,GPU,"P | P | P | P | D | N",192,15,0.053472,0.001849,0.164917,0.08336,0.367366,0.303598
3,float,uniform,GPU,"P | P | P | P | D | N",192,16,0.051296,0.001549,0.165069,0.080288,0.361747,0.298202
3,float,uniform,GPU,"P | P | P | P | D | N",192,17,0.053088,0.001861,0.157367,0.085536,0.352856,0.297852
3,float,uniform,GPU,"P | P | P | P | D | N",192,18,0.053152,0.001699,0.164647,0.078976,0.364006,0.298474
3,float,uniform,GPU,"P | P | P | P | D | N",192,19,0.060192,0.00163,0.165207,0.082272,0.372206,0.309301
3,float,uniform,GPU,"P | P | P | P | D | N",192,20,0.07168,0.001831,0.169778,0.086336,0.392005,0.329625
3,float,uniform,GPU,"P | P | P | P | D | N",192,21,0.053792,0.00179,0.16666,0.084128,0.369796,0.30637
3,float,uniform,GPU,"P | P | P | P | D | N",192,22,0.053824,0.00155,0.16572,0.082432,0.366796,0.303526
3,float,uniform,GPU,"P | P | P | P | D | N",192,23,0.052896,0.00214,0.16579,0.081312,0.366116,0.302138
3,float,uniform,GPU,"P | P | P | P | D | N",192,24,0.054176,0.001659,0.159439,0.083232,0.354167,0.298506
3,float,uniform,GPU,"P | P | P | P | D | N",192,25,0.052864,0.00173,0.164707,0.080736,0.364136,0.300037
3,float,uniform,GPU,"P | P | P | P | D | N",192,26,0.069984,0.00205,0.17114,0.085952,0.393076,0.329126
3,float,uniform,GPU,"P | P | P | P | D | N",192,27,0.072384,0.001981,0.170106,0.085184,0.394776,0.329655
3,float,uniform,GPU,"P | P | P | P | D | N",192,28,0.057696,0.001991,0.168598,0.08576,0.378936,0.314045
