dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
2,float,uniform,CPU,"Ds | Ds | Ds | Ds",128,57,0.039456,0,0.024269,0.006304,0.111279,0.070029
2,float,uniform,CPU,"Ds | Ds | Ds | Ds",128,58,0.040448,0,0.024269,0.006016,0.111269,0.070733
2,float,uniform,CPU,"Ds | Ds | Ds | Ds",128,59,0.035712,0,0.02633,0.009472,0.104399,0.071514
2,float,uniform,CPU,"Ds | Ds | Ds | Ds",128,60,0.035392,0,0.02097,0.006944,0.096569,0.063306
2,float,uniform,CPU,"Ds | Ds | Ds | Ds",128,61,0.03856,0,0.02365,0.006976,0.107459,0.069186
2,float,uniform,CPU,"Ds | Ds | Ds | Ds",128,62,0.079328,0,0.03265,0.0128,0.190178,0.124778
2,float,uniform,CPU,"Ds | Ds | Ds | Ds",128,63,0.039296,0,0.025,0.007552,0.110398,0.071848
2,float,uniform,CPU,"Ds | Ds | Ds | Ds",128,64,0.038944,0,0.02465,0.007808,0.110448,0.071402
2,float,uniform,CPU,"Ds | Ds | Ds | Ds",128,65,0.037952,0,0.02487,0.006976,0.108609,0.069798
2,float,uniform,CPU,"Ds | Ds | Ds | Ds",128,66,0.037504,0,0.024,0.006944,0.114288,0.068448
2,float,uniform,CPU,"Ds | Ds | Ds | Ds",128,67,0.039168,0,0.02409,0.007296,0.108629,0.070554
2,float,uniform,CPU,"Ds | Ds | Ds | Ds",128,68,0.040192,0,0.024009,0.008096,0.113069,0.072297
2,float,uniform,CPU,"Ds | Ds | Ds | Ds",128,69,0.042464,0,0.02378,0.00576,0.110029,0.072004
2,float,uniform,CPU,"Ds | Ds | Ds | Ds",128,70,0.038784,0,0.02434,0.007648,0.107948,0.070772
2,float,uniform,CPU,"Ds | Ds | Ds | Ds",128,71,0.03872,0,0.0241,0.007648,0.110949,0.070468
2,float,uniform,CPU,"Ds | Ds | Ds | Ds",128,72,0.03888,0,0.024,0.006624,0.107949,0.069504
2,float,uniform,CPU,"Ds | Ds | Ds | Ds",128,73,0.038496,0,0.121399,0.005632,0.204528,0.165527
2,float,uniform,CPU,"Ds | Ds | Ds | Ds",128,74,0.037792,0,0.023939,0.00752,0.108339,0.069251
2,float,uniform,CPU,"Ds | Ds | Ds | Ds",192,0,0.081024,0,0.03485,0.010112,0.174778,0.125986
2,float,uniform,CPU,"Ds | Ds | Ds | Ds",192,1,0.05136,0,0.02568,0.007392,0.132038,0.084432
2,float,uniform,CPU,"Ds | Ds | Ds | Ds",192,2,0.047136,0,0.02579,0.00624,0.122828,0.079166
2,float,uniform,CPU,"Ds | Ds | Ds | Ds",192,3,0.046784,0,0.025639,0.007552,0.121738,0.079975
2,float,uniform,CPU,"Ds | Ds | Ds | Ds",192,4,0.052384,0,0.025629,0.00752,0.123449,0.085533
2,float,uniform,CPU,"Ds | Ds | Ds | Ds",192,5,0.044064,0,0.02184,0.008384,0.108669,0.074288
2,float,uniform,CPU,"Ds | Ds | Ds | Ds",192,6,0.044992,0,0.02513,0.006784,0.120598,0.076906
2,float,uniform,CPU,"Ds | Ds | Ds | Ds",192,7,0.048992,0,0.02559,0.00768,0.125228,0.082262
2,float,uniform,CPU,"Ds | Ds | Ds | Ds",192,8,0.048576,0,0.02579,0.00704,0.124569,0.081406
2,float,uniform,CPU,"Ds | Ds | Ds | Ds",192,9,0.04816,0,0.025399,0.006688,0.122489,0.080247
2,float,uniform,CPU,"Ds | Ds | Ds | Ds",192,10,0.047744,0,0.02544,0.008544,0.125128,0.081728
2,float,uniform,CPU,"Ds | Ds | Ds | Ds",192,11,0.04656,0,0.02576,0.005824,0.119529,0.078144
2,float,uniform,CPU,"Ds | Ds | Ds | Ds",192,12,0.045952,0,0.02516,0.007104,0.118809,0.078216
2,float,uniform,CPU,"Ds | Ds | Ds | Ds",192,13,0.05424,0,0.02532,0.007616,0.127928,0.087176
2,float,uniform,CPU,"Ds | Ds | Ds | Ds",192,14,0.049344,0,0.02564,0.007872,0.127548,0.082856
2,float,uniform,CPU,"Ds | Ds | Ds | Ds",192,15,0.045824,0,0.025419,0.00688,0.120329,0.078123
2,float,uniform,CPU,"Ds | Ds | Ds | Ds",192,16,0.046528,0,0.02593,0.00864,0.125689,0.081098
2,float,uniform,CPU,"Ds | Ds | Ds | Ds",192,17,0.04736,0,0.02691,0.00896,0.124479,0.08323
2,float,uniform,CPU,"Ds | Ds | Ds | Ds",192,18,0.048576,0,0.02658,0.006912,0.123759,0.082068
2,float,uniform,CPU,"Ds | Ds | Ds | Ds",192,19,0.0464,0,0.02577,0.007744,0.123489,0.079914
2,float,uniform,CPU,"Ds | Ds | Ds | Ds",192,20,0.048448,0,0.02542,0.008224,0.123509,0.082092
2,float,uniform,CPU,"Ds | Ds | Ds | Ds",192,21,0.050208,0,0.025519,0.00752,0.126459,0.083247
2,float,uniform,CPU,"Ds | Ds | Ds | Ds",192,22,0.050848,0,0.025189,0.005888,0.125769,0.081925
2,float,uniform,CPU,"Ds | Ds | Ds | Ds",192,23,0.046784,0,0.02523,0.00672,0.120759,0.078734
2,float,uniform,CPU,"Ds | Ds | Ds | Ds",192,24,0.056736,0,0.025469,0.008256,0.132278,0.090461
2,float,uniform,CPU,"Ds | Ds | Ds | Ds",192,25,0.047264,0,0.02562,0.005568,0.119999,0.078452
