dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,float,uniform,CPU,"D | D | D | D | N | D",128,26,0.783872,0.00154,0.1166,0.016544,0.96779,0.918556
3,float,uniform,CPU,"D | D | D | D | N | D",128,27,0.791808,0.001542,0.116699,0.01936,0.975959,0.929409
3,float,uniform,CPU,"D | D | D | D | N | D",128,28,0.902784,0.00152,0.117368,0.017056,1.08613,1.03873
3,float,uniform,CPU,"D | D | D | D | N | D",128,29,0.800416,0.00179,0.117089,0.017632,0.984839,0.936927
3,float,uniform,CPU,"D | D | D | D | N | D",128,30,0.808352,0.00197,0.126199,0.02224,1.03235,0.958761
3,float,uniform,CPU,"D | D | D | D | N | D",128,31,0.78672,0.00154,0.117929,0.017952,0.97205,0.924141
3,float,uniform,CPU,"D | D | D | D | N | D",128,32,0.791584,0.001751,0.119201,0.01984,0.98135,0.932376
3,float,uniform,CPU,"D | D | D | D | N | D",128,33,0.789344,0.00152,0.117079,0.016928,0.97647,0.924871
3,float,uniform,CPU,"D | D | D | D | N | D",128,34,0.779392,0.0017,0.116867,0.018976,0.96529,0.916935
3,float,uniform,CPU,"D | D | D | D | N | D",128,35,0.798784,0.00159,0.116489,0.018432,0.98386,0.935295
3,float,uniform,CPU,"D | D | D | D | N | D",128,36,0.781952,0.001531,0.121618,0.017536,0.97177,0.922637
3,float,uniform,CPU,"D | D | D | D | N | D",128,37,0.785856,0.00162,0.117178,0.016992,0.96929,0.921646
3,float,uniform,CPU,"D | D | D | D | N | D",128,38,0.78736,0.00168,0.118249,0.017856,1.08618,0.925145
3,float,uniform,CPU,"D | D | D | D | N | D",128,39,0.786368,0.001549,0.117188,0.018816,0.9732,0.923921
3,float,uniform,CPU,"D | D | D | D | N | D",128,40,0.779232,0.00166,0.117909,0.018944,0.97376,0.917745
3,float,uniform,CPU,"D | D | D | D | N | D",128,41,0.787424,0.0016,0.117549,0.017728,0.972049,0.924301
3,float,uniform,CPU,"D | D | D | D | N | D",128,42,0.795296,0.001629,0.116488,0.017856,0.98089,0.931269
3,float,uniform,CPU,"D | D | D | D | N | D",128,43,0.771968,0.00153,0.116618,0.016352,0.95516,0.906468
3,float,uniform,CPU,"D | D | D | D | N | D",128,44,0.786848,0.00158,0.117078,0.017728,0.97167,0.923234
3,float,uniform,CPU,"D | D | D | D | N | D",128,45,0.787168,0.00162,0.11682,0.017216,0.97133,0.922824
3,float,uniform,CPU,"D | D | D | D | N | D",128,46,0.773728,0.00158,0.110799,0.020576,0.94796,0.906683
3,float,uniform,CPU,"D | D | D | D | N | D",128,47,0.801376,0.00154,0.116829,0.019648,0.98603,0.939393
3,float,uniform,CPU,"D | D | D | D | N | D",128,48,0.7864,0.00156,0.11714,0.0168,0.971159,0.9219
3,float,uniform,CPU,"D | D | D | D | N | D",128,49,0.781888,0.00179,0.117738,0.017984,0.96793,0.9194
3,float,uniform,CPU,"D | D | D | D | N | D",128,50,0.795776,0.001669,0.117258,0.0176,0.98138,0.932303
3,float,uniform,CPU,"D | D | D | D | N | D",128,51,0.926688,0.00153,0.117048,0.018944,1.10937,1.06421
3,float,uniform,CPU,"D | D | D | D | N | D",128,52,0.813216,0.00196,0.126129,0.023072,1.03758,0.964377
3,float,uniform,CPU,"D | D | D | D | N | D",128,53,0.781152,0.00156,0.116909,0.019328,0.966619,0.918949
3,float,uniform,CPU,"D | D | D | D | N | D",128,54,0.783776,0.00165,0.116238,0.017984,0.96894,0.919648
