dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,float,uniform,GPU,"N | D | N | N | N | N",128,1,0.027008,0.001699,0.125197,0.020032,0.227147,0.173936
3,float,uniform,GPU,"N | D | N | N | N | N",128,2,0.027808,0.0016,0.125018,0.019744,0.227678,0.17417
3,float,uniform,GPU,"N | D | N | N | N | N",128,3,0.028256,0.00159,0.124988,0.02016,0.228598,0.174994
3,float,uniform,GPU,"N | D | N | N | N | N",128,4,0.027072,0.001721,0.124878,0.019584,0.227248,0.173255
3,float,uniform,GPU,"N | D | N | N | N | N",128,5,0.027232,0.00147,0.124609,0.019328,0.226987,0.172639
3,float,uniform,GPU,"N | D | N | N | N | N",128,6,0.026752,0.001549,0.125327,0.019008,0.227007,0.172636
3,float,uniform,GPU,"N | D | N | N | N | N",128,7,0.026784,0.00165,0.138719,0.018016,0.240127,0.185169
3,float,uniform,GPU,"N | D | N | N | N | N",128,8,0.027552,0.00163,0.124429,0.018816,0.226148,0.172427
3,float,uniform,GPU,"N | D | N | N | N | N",128,9,0.026528,0.0015,0.125039,0.019232,0.225767,0.172299
3,float,uniform,GPU,"N | D | N | N | N | N",128,10,0.02784,0.00164,0.125368,0.019776,0.228487,0.174624
3,float,uniform,GPU,"N | D | N | N | N | N",128,11,0.026752,0.001861,0.124748,0.019776,0.227377,0.173137
3,float,uniform,GPU,"N | D | N | N | N | N",128,12,0.026816,0.001529,0.123238,0.019808,0.225848,0.171391
3,float,uniform,GPU,"N | D | N | N | N | N",128,13,0.048416,0.00217,0.136749,0.02704,0.269257,0.214375
3,float,uniform,GPU,"N | D | N | N | N | N",128,14,0.029536,0.0016,0.124608,0.019904,0.230437,0.175648
3,float,uniform,GPU,"N | D | N | N | N | N",128,15,0.027424,0.00161,0.116778,0.02192,0.215018,0.167732
3,float,uniform,GPU,"N | D | N | N | N | N",128,16,0.02656,0.00168,0.125519,0.019904,0.226737,0.173663
3,float,uniform,GPU,"N | D | N | N | N | N",128,17,0.034176,0.00155,0.124769,0.017952,0.232978,0.178447
3,float,uniform,GPU,"N | D | N | N | N | N",128,18,0.026304,0.001589,0.124219,0.019712,0.226167,0.171824
3,float,uniform,GPU,"N | D | N | N | N | N",128,19,0.028032,0.0015,0.123748,0.019872,0.226737,0.173152
3,float,uniform,GPU,"N | D | N | N | N | N",128,20,0.027264,0.00154,0.11763,0.019072,0.214007,0.165506
3,float,uniform,GPU,"N | D | N | N | N | N",128,21,0.027392,0.00149,0.124778,0.019328,0.226818,0.172988
3,float,uniform,GPU,"N | D | N | N | N | N",128,22,0.026624,0.00152,0.124429,0.020512,0.230627,0.173085
3,float,uniform,GPU,"N | D | N | N | N | N",128,23,0.026656,0.00156,0.128219,0.021344,0.230497,0.177779
3,float,uniform,GPU,"N | D | N | N | N | N",128,24,0.033568,0.001711,0.125688,0.020064,0.234277,0.181031
3,float,uniform,GPU,"N | D | N | N | N | N",128,25,0.027904,0.001619,0.12541,0.019872,0.227867,0.174805
3,float,uniform,GPU,"N | D | N | N | N | N",128,26,0.02688,0.00155,0.206537,0.018336,0.307537,0.253303
3,float,uniform,GPU,"N | D | N | N | N | N",128,27,0.034368,0.001511,0.127749,0.018784,0.235858,0.182412
3,float,uniform,GPU,"N | D | N | N | N | N",128,28,0.026848,0.001659,0.12458,0.018656,0.226757,0.171743
3,float,uniform,GPU,"N | D | N | N | N | N",128,29,0.03376,0.001479,0.116918,0.02032,0.219208,0.172477
3,float,uniform,GPU,"N | D | N | N | N | N",128,30,0.02752,0.00161,0.125429,0.020864,0.230237,0.175423
3,float,uniform,GPU,"N | D | N | N | N | N",128,31,0.0272,0.001741,0.124909,0.022048,0.229058,0.175898
3,float,uniform,GPU,"N | D | N | N | N | N",128,32,0.034304,0.00172,0.124128,0.019808,0.233677,0.17996
3,float,uniform,GPU,"N | D | N | N | N | N",128,33,0.027552,0.00143,0.124897,0.018784,0.226227,0.172663
3,float,uniform,GPU,"N | D | N | N | N | N",128,34,0.026432,0.00158,0.124409,0.020224,0.226598,0.172645
