dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",192,39,0.10928,0,1.74375,0.185824,2.09425,2.03886
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",192,40,0.103936,0,1.73509,0.185472,2.07968,2.0245
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",192,41,0.108928,0,1.73832,0.184512,2.08769,2.03176
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",192,42,0.103232,0,1.73446,0.184064,2.07601,2.02176
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",192,43,0.100896,0,1.73583,0.182656,2.07578,2.01938
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",192,44,0.105376,0,1.73823,0.184352,2.0827,2.02796
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",192,45,0.10064,0,1.74767,0.18608,2.09082,2.03439
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",192,46,0.103584,0,1.73821,0.186464,2.08271,2.02826
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",192,47,0.10544,0,1.73542,0.183904,2.08084,2.02477
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",192,48,0.105408,0,1.73586,0.188096,2.08407,2.02937
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",192,49,0.117568,0,1.74156,0.186592,2.1018,2.04572
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",192,50,0.106976,0,1.73459,0.184768,2.07849,2.02634
