dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",64,56,0.237664,0,0.103799,0.014048,0.399905,0.355511
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",64,57,0.232992,0,0.103228,0.014208,0.395025,0.350428
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",64,58,0.238528,0,0.103618,0.014208,0.402016,0.356354
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",64,59,0.241856,0,0.103219,0.014144,0.403816,0.359219
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",64,60,0.250048,0,0.102099,0.013824,0.411756,0.365971
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",64,61,0.238592,0,0.103258,0.01504,0.400706,0.35689
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",64,62,0.239392,0,0.103189,0.013536,0.400286,0.356117
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",64,63,0.241888,0,0.103659,0.013728,0.405436,0.359275
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",64,64,0.240832,0,0.10353,0.013664,0.403915,0.358026
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",64,65,0.242528,0,0.100549,0.016608,0.395395,0.359685
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",64,66,0.231264,0,0.099568,0.016736,0.385706,0.347568
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",64,67,0.240224,0,0.102828,0.013536,0.399465,0.356588
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",64,68,0.239936,0,0.102588,0.01424,0.401226,0.356764
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",64,69,0.238432,0,0.103739,0.013568,0.400166,0.355739
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",64,70,0.25264,0,0.103469,0.013216,0.415505,0.369325
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",64,71,0.24144,0,0.102878,0.013376,0.401916,0.357694
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",64,72,0.237792,0,0.10253,0.015008,0.395625,0.35533
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",64,73,0.238304,0,0.103259,0.013632,0.402386,0.355195
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",64,74,0.243712,0,0.103579,0.015168,0.407525,0.362459
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",128,0,1.81248,0,0.513465,0.06208,2.45674,2.38802
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",128,1,1.53894,0,0.510364,0.059136,2.15618,2.10844
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",128,2,1.55344,0,0.513674,0.062944,2.20306,2.13006
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",128,3,1.52842,0,0.510024,0.05856,2.1485,2.097
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",128,4,1.56147,0,0.513755,0.06432,2.21336,2.13955
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",128,5,1.56522,0,0.514154,0.062208,2.21595,2.14158
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",128,6,1.60189,0,0.508925,0.059584,2.21864,2.1704
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",128,7,1.53171,0,0.511315,0.063392,2.16744,2.10642
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",128,8,1.53114,0,0.510005,0.0592,2.1482,2.10034
