dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
1,double,uniform,GPU,"D | N",192,23,0.010592,0,0.0486,0.007008,0.099428,0.0662
1,double,uniform,GPU,"D | N",192,24,0.010752,0,0.044249,0.006112,0.096679,0.061113
1,double,uniform,GPU,"D | N",192,25,0.01248,0,0.042989,0.007104,0.096999,0.062573
1,double,uniform,GPU,"D | N",192,26,0.011776,0,0.043339,0.008288,0.096779,0.063403
1,double,uniform,GPU,"D | N",192,27,0.010752,0,0.04297,0.005856,0.093308,0.059578
1,double,uniform,GPU,"D | N",192,28,0.012544,0,0.04295,0.007072,0.099289,0.062566
1,double,uniform,GPU,"D | N",192,29,0.010272,0,0.04318,0.00816,0.096419,0.061612
1,double,uniform,GPU,"D | N",192,30,0.01136,0,0.043119,0.008576,0.098139,0.063055
1,double,uniform,GPU,"D | N",192,31,0.010432,0,0.04317,0.008704,0.098269,0.062306
1,double,uniform,GPU,"D | N",192,32,0.012864,0,0.0438,0.007488,0.098869,0.064152
1,double,uniform,GPU,"D | N",192,33,0.011168,0,0.04331,0.007584,0.098148,0.062062
1,double,uniform,GPU,"D | N",192,34,0.012608,0,0.04316,0.007424,0.099699,0.063192
1,double,uniform,GPU,"D | N",192,35,0.010816,0,0.03957,0.009792,0.088149,0.060178
1,double,uniform,GPU,"D | N",192,36,0.010624,0,0.039619,0.00944,0.088499,0.059683
1,double,uniform,GPU,"D | N",192,37,0.011232,0,0.043649,0.007552,0.097229,0.062433
1,double,uniform,GPU,"D | N",192,38,0.009728,0,0.043229,0.005952,0.094469,0.058909
1,double,uniform,GPU,"D | N",192,39,0.010688,0,0.043359,0.00656,0.186518,0.060607
1,double,uniform,GPU,"D | N",192,40,0.013088,0,0.04323,0.010752,0.102349,0.06707
1,double,uniform,GPU,"D | N",192,41,0.010528,0,0.04315,0.006208,0.094599,0.059886
1,double,uniform,GPU,"D | N",192,42,0.011456,0,0.04336,0.007264,0.097639,0.06208
1,double,uniform,GPU,"D | N",192,43,0.011904,0,0.043089,0.005824,0.096479,0.060817
1,double,uniform,GPU,"D | N",192,44,0.013056,0,0.04437,0.00752,0.100369,0.064946
1,double,uniform,GPU,"D | N",192,45,0.009856,0,0.042999,0.005728,0.094039,0.058583
1,double,uniform,GPU,"D | N",192,46,0.012672,0,0.043189,0.00768,0.105098,0.063541
1,double,uniform,GPU,"D | N",192,47,0.010656,0,0.04317,0.008032,0.096929,0.061858
1,double,uniform,GPU,"D | N",192,48,0.012032,0,0.0438,0.007008,0.098959,0.06284
1,double,uniform,GPU,"D | N",192,49,0.012224,0,0.04009,0.009568,0.090179,0.061882
1,double,uniform,GPU,"D | N",192,50,0.010272,0,0.043639,0.007456,0.096049,0.061367
