dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,double,uniform,GPU,"P | P | P | P | Ds | Ds",128,69,0.030112,0.00159,0.521387,0.09744,0.710196,0.650529
3,double,uniform,GPU,"P | P | P | P | Ds | Ds",128,70,0.029568,0.001639,0.525746,0.098016,0.719795,0.654969
3,double,uniform,GPU,"P | P | P | P | Ds | Ds",128,71,0.028224,0.001649,0.524946,0.093856,0.714375,0.648675
3,double,uniform,GPU,"P | P | P | P | Ds | Ds",128,72,0.027264,0.001828,0.524396,0.097184,0.713555,0.650672
3,double,uniform,GPU,"P | P | P | P | Ds | Ds",128,73,0.029632,0.00165,0.526636,0.096608,0.717955,0.654526
3,double,uniform,GPU,"P | P | P | P | Ds | Ds",128,74,0.029184,0.0015,0.525616,0.096672,0.716625,0.652972
3,double,uniform,GPU,"P | P | P | P | Ds | Ds",192,0,0.105696,0.00218,1.81063,0.333184,2.31874,2.25169
3,double,uniform,GPU,"P | P | P | P | Ds | Ds",192,1,0.119328,0.00233,1.82036,0.333184,2.34241,2.2752
3,double,uniform,GPU,"P | P | P | P | Ds | Ds",192,2,0.109024,0.002142,1.81854,0.333632,2.33061,2.26334
3,double,uniform,GPU,"P | P | P | P | Ds | Ds",192,3,0.112992,0.002081,1.81049,0.333888,2.32273,2.25945
3,double,uniform,GPU,"P | P | P | P | Ds | Ds",192,4,0.110912,0.00191,1.80633,0.33216,2.31639,2.25131
3,double,uniform,GPU,"P | P | P | P | Ds | Ds",192,5,0.110208,0.00248,1.80527,0.331584,2.31475,2.24954
3,double,uniform,GPU,"P | P | P | P | Ds | Ds",192,6,0.11744,0.00227,1.80653,0.33152,2.32494,2.25776
3,double,uniform,GPU,"P | P | P | P | Ds | Ds",192,7,0.111744,0.002079,1.81528,0.333728,2.32803,2.26283
3,double,uniform,GPU,"P | P | P | P | Ds | Ds",192,8,0.114336,0.00207,1.80384,0.335968,2.32637,2.25621
3,double,uniform,GPU,"P | P | P | P | Ds | Ds",192,9,0.11248,0.002068,1.80339,0.33264,2.31992,2.25058
3,double,uniform,GPU,"P | P | P | P | Ds | Ds",192,10,0.124992,0.00214,1.80947,0.334016,2.33725,2.27062
3,double,uniform,GPU,"P | P | P | P | Ds | Ds",192,11,0.109216,0.00227,1.8175,0.3368,2.33239,2.26578
3,double,uniform,GPU,"P | P | P | P | Ds | Ds",192,12,0.114688,0.00204,1.80695,0.331904,2.32085,2.25558
3,double,uniform,GPU,"P | P | P | P | Ds | Ds",192,13,0.110976,0.00204,1.80519,0.33344,2.31704,2.25164
3,double,uniform,GPU,"P | P | P | P | Ds | Ds",192,14,0.120064,0.00207,1.80604,0.330528,2.32385,2.2587
3,double,uniform,GPU,"P | P | P | P | Ds | Ds",192,15,0.110464,0.00207,1.80385,0.33168,2.30939,2.24806
3,double,uniform,GPU,"P | P | P | P | Ds | Ds",192,16,0.117952,0.00219,1.80531,0.333664,2.32683,2.25911
3,double,uniform,GPU,"P | P | P | P | Ds | Ds",192,17,0.112896,0.00219,1.80518,0.333216,2.31919,2.25348
3,double,uniform,GPU,"P | P | P | P | Ds | Ds",192,18,0.111872,0.00198,1.80497,0.33424,2.31949,2.25306
3,double,uniform,GPU,"P | P | P | P | Ds | Ds",192,19,0.120288,0.00245,1.80673,0.334144,2.33158,2.26361
3,double,uniform,GPU,"P | P | P | P | Ds | Ds",192,20,0.113696,0.002179,1.80466,0.33296,2.3217,2.25349
3,double,uniform,GPU,"P | P | P | P | Ds | Ds",192,21,0.113056,0.00222,1.81758,0.335648,2.3342,2.2685
3,double,uniform,GPU,"P | P | P | P | Ds | Ds",192,22,0.113632,0.0019,1.80968,0.331104,2.3206,2.25631
3,double,uniform,GPU,"P | P | P | P | Ds | Ds",192,23,0.111584,0.00199,1.80584,0.331712,2.31855,2.25112
3,double,uniform,GPU,"P | P | P | P | Ds | Ds",192,24,0.110496,0.0022,1.81544,0.332576,2.32754,2.26071
3,double,uniform,GPU,"P | P | P | P | Ds | Ds",192,25,0.109888,0.001951,1.81005,0.333664,2.32388,2.25555
3,double,uniform,GPU,"P | P | P | P | Ds | Ds",192,26,0.113152,0.00211,1.80076,0.334464,2.31476,2.25048
3,double,uniform,GPU,"P | P | P | P | Ds | Ds",192,27,0.113664,0.002099,1.81352,0.333696,2.32987,2.26298
3,double,uniform,GPU,"P | P | P | P | Ds | Ds",192,28,0.112288,0.00201,1.80561,0.330368,2.31672,2.25027
3,double,uniform,GPU,"P | P | P | P | Ds | Ds",192,29,0.11104,0.001791,1.80966,0.334624,2.32369,2.25711
3,double,uniform,GPU,"P | P | P | P | Ds | Ds",192,30,0.106784,0.00182,1.80169,0.3272,2.30461,2.23749
3,double,uniform,GPU,"P | P | P | P | Ds | Ds",192,31,0.107456,0.00218,1.80904,0.329376,2.31546,2.24805
