dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,float,uniform,GPU,"P | P | Ns | Ns | P | P",128,16,0.026112,0.00142,0.076369,0.029856,0.194247,0.133757
3,float,uniform,GPU,"P | P | Ns | Ns | P | P",128,17,0.019648,0.00146,0.076329,0.02864,0.187338,0.126077
3,float,uniform,GPU,"P | P | Ns | Ns | P | P",128,18,0.018528,0.0014,0.07595,0.0288,0.189358,0.124678
3,float,uniform,GPU,"P | P | Ns | Ns | P | P",128,19,0.01744,0.00146,0.075999,0.028288,0.183129,0.123187
3,float,uniform,GPU,"P | P | Ns | Ns | P | P",128,20,0.026976,0.00168,0.083389,0.027872,0.201058,0.139917
3,float,uniform,GPU,"P | P | Ns | Ns | P | P",128,21,0.017408,0.00143,0.0757,0.030432,0.185187,0.12497
3,float,uniform,GPU,"P | P | Ns | Ns | P | P",128,22,0.017632,0.001509,0.076618,0.02672,0.184448,0.122479
3,float,uniform,GPU,"P | P | Ns | Ns | P | P",128,23,0.019616,0.001489,0.076601,0.093024,0.251337,0.19073
3,float,uniform,GPU,"P | P | Ns | Ns | P | P",128,24,0.018944,0.0017,0.076658,0.029536,0.186778,0.126838
3,float,uniform,GPU,"P | P | Ns | Ns | P | P",128,25,0.01968,0.00149,0.076559,0.0336,0.192468,0.131329
3,float,uniform,GPU,"P | P | Ns | Ns | P | P",128,26,0.019488,0.00143,0.06947,0.032032,0.174767,0.12242
3,float,uniform,GPU,"P | P | Ns | Ns | P | P",128,27,0.016928,0.00149,0.075789,0.027296,0.181988,0.121503
3,float,uniform,GPU,"P | P | Ns | Ns | P | P",128,28,0.02688,0.00149,0.075668,0.029088,0.194018,0.133126
3,float,uniform,GPU,"P | P | Ns | Ns | P | P",128,29,0.019424,0.001679,0.076929,0.030592,0.190367,0.128624
3,float,uniform,GPU,"P | P | Ns | Ns | P | P",128,30,0.017408,0.001469,0.075669,0.029344,0.184648,0.12389
3,float,uniform,GPU,"P | P | Ns | Ns | P | P",128,31,0.017696,0.00146,0.07625,0.029856,0.185288,0.125262
3,float,uniform,GPU,"P | P | Ns | Ns | P | P",128,32,0.019264,0.001649,0.076189,0.0296,0.187598,0.126702
3,float,uniform,GPU,"P | P | Ns | Ns | P | P",128,33,0.018368,0.00144,0.076259,0.027648,0.185118,0.123715
3,float,uniform,GPU,"P | P | Ns | Ns | P | P",128,34,0.018496,0.00149,0.076739,0.028576,0.186318,0.125301
3,float,uniform,GPU,"P | P | Ns | Ns | P | P",128,35,0.020096,0.00141,0.076029,0.029984,0.188548,0.127519
3,float,uniform,GPU,"P | P | Ns | Ns | P | P",128,36,0.024704,0.00143,0.077049,0.028448,0.193927,0.131631
3,float,uniform,GPU,"P | P | Ns | Ns | P | P",128,37,0.024704,0.00159,0.088599,0.028352,0.204007,0.143245
3,float,uniform,GPU,"P | P | Ns | Ns | P | P",128,38,0.019808,0.001672,0.077278,0.028352,0.189098,0.12711
3,float,uniform,GPU,"P | P | Ns | Ns | P | P",128,39,0.017568,0.00164,0.075949,0.030688,0.186728,0.125845
3,float,uniform,GPU,"P | P | Ns | Ns | P | P",128,40,0.017504,0.00149,0.07622,0.030848,0.187038,0.126062
