dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
1,float,uniform,GPU,"N | D",192,35,0.011968,0,0.018329,0.00544,0.070149,0.035737
1,float,uniform,GPU,"N | D",192,36,0.010592,0,0.01837,0.005216,0.067249,0.034178
1,float,uniform,GPU,"N | D",192,37,0.010848,0,0.01792,0.005024,0.06562,0.033792
1,float,uniform,GPU,"N | D",192,38,0.010656,0,0.01811,0.005344,0.067349,0.03411
1,float,uniform,GPU,"N | D",192,39,0.00976,0,0.01809,0.005888,0.067709,0.033738
1,float,uniform,GPU,"N | D",192,40,0.011776,0,0.01656,0.006432,0.063889,0.034768
1,float,uniform,GPU,"N | D",192,41,0.01104,0,0.01861,0.00544,0.071099,0.03509
1,float,uniform,GPU,"N | D",192,42,0.011424,0,0.01822,0.004512,0.068969,0.034156
1,float,uniform,GPU,"N | D",192,43,0.010656,0,0.01849,0.005472,0.06747,0.034618
1,float,uniform,GPU,"N | D",192,44,0.01008,0,0.01856,0.005664,0.06808,0.034304
1,float,uniform,GPU,"N | D",192,45,0.01024,0,0.01817,0.005248,0.066139,0.033658
1,float,uniform,GPU,"N | D",192,46,0.011552,0,0.01831,0.005344,0.068559,0.035206
1,float,uniform,GPU,"N | D",192,47,0.011136,0,0.018019,0.004832,0.069089,0.033987
1,float,uniform,GPU,"N | D",192,48,0.01088,0,0.01843,0.005632,0.068269,0.034942
1,float,uniform,GPU,"N | D",192,49,0.012608,0,0.01845,0.005408,0.172298,0.036466
1,float,uniform,GPU,"N | D",192,50,0.010816,0,0.01808,0.005184,0.06701,0.03408
1,float,uniform,GPU,"N | D",192,51,0.011616,0,0.01841,0.006656,0.070309,0.036682
1,float,uniform,GPU,"N | D",192,52,0.010336,0,0.0147,0.006624,0.059339,0.03166
1,float,uniform,GPU,"N | D",192,53,0.012768,0,0.014681,0.00816,0.063699,0.035609
1,float,uniform,GPU,"N | D",192,54,0.010496,0,0.01849,0.005504,0.067859,0.03449
1,float,uniform,GPU,"N | D",192,55,0.012064,0,0.018951,0.004992,0.069119,0.036007
1,float,uniform,GPU,"N | D",192,56,0.012896,0,0.01837,0.005024,0.06951,0.03629
1,float,uniform,GPU,"N | D",192,57,0.011296,0,0.01913,0.005152,0.06913,0.035578
1,float,uniform,GPU,"N | D",192,58,0.01088,0,0.018399,0.005248,0.068109,0.034527
1,float,uniform,GPU,"N | D",192,59,0.010432,0,0.014631,0.006336,0.060479,0.031399
1,float,uniform,GPU,"N | D",192,60,0.010016,0,0.0186,0.004544,0.067139,0.03316
1,float,uniform,GPU,"N | D",192,61,0.0112,0,0.01801,0.005568,0.068659,0.034778
1,float,uniform,GPU,"N | D",192,62,0.010112,0,0.018539,0.005216,0.066419,0.033867
1,float,uniform,GPU,"N | D",192,63,0.01184,0,0.01801,0.00512,0.068299,0.03497
1,float,uniform,GPU,"N | D",192,64,0.011776,0,0.01827,0.00528,0.067339,0.035326
1,float,uniform,GPU,"N | D",192,65,0.010688,0,0.023309,0.005536,0.072019,0.039533
1,float,uniform,GPU,"N | D",192,66,0.011392,0,0.01816,0.007808,0.071129,0.03736
1,float,uniform,GPU,"N | D",192,67,0.014112,0,0.018189,0.006112,0.074349,0.038413
1,float,uniform,GPU,"N | D",192,68,0.010272,0,0.0186,0.004544,0.067079,0.033416
1,float,uniform,GPU,"N | D",192,69,0.009728,0,0.01811,0.005408,0.06631,0.033246
1,float,uniform,GPU,"N | D",192,70,0.011712,0,0.01845,0.005472,0.06876,0.035634
1,float,uniform,GPU,"N | D",192,71,0.012416,0,0.018349,0.005632,0.071439,0.036397
1,float,uniform,GPU,"N | D",192,72,0.011584,0,0.01637,0.005824,0.062589,0.033778
1,float,uniform,GPU,"N | D",192,73,0.011008,0,0.018209,0.005536,0.067949,0.034753
1,float,uniform,GPU,"N | D",192,74,0.011712,0,0.01821,0.007424,0.070159,0.037346
1,float,uniform,GPU,"N | D",256,0,0.024128,0,0.021979,0.012736,0.100729,0.058843
1,float,uniform,GPU,"N | D",256,1,0.01216,0,0.018249,0.007392,0.072059,0.037801
1,float,uniform,GPU,"N | D",256,2,0.011744,0,0.01815,0.00432,0.069029,0.034214
1,float,uniform,GPU,"N | D",256,3,0.010048,0,0.01826,0.004576,0.067939,0.032884
1,float,uniform,GPU,"N | D",256,4,0.011328,0,0.01811,0.004384,0.068979,0.033822
1,float,uniform,GPU,"N | D",256,5,0.012384,0,0.01909,0.004352,0.070409,0.035826
1,float,uniform,GPU,"N | D",256,6,0.01088,0,0.01789,0.004576,0.067129,0.033346
1,float,uniform,GPU,"N | D",256,7,0.011168,0,0.01755,0.004576,0.066709,0.033294
1,float,uniform,GPU,"N | D",256,8,0.01104,0,0.01804,0.00432,0.06733,0.0334
1,float,uniform,GPU,"N | D",256,9,0.011488,0,0.01848,0.006208,0.071249,0.036176
1,float,uniform,GPU,"N | D",256,10,0.013184,0,0.0178,0.004608,0.071209,0.035592
1,float,uniform,GPU,"N | D",256,11,0.011392,0,0.018269,0.005376,0.068019,0.035037
1,float,uniform,GPU,"N | D",256,12,0.009888,0,0.018119,0.00512,0.068199,0.033127
1,float,uniform,GPU,"N | D",256,13,0.010848,0,0.01782,0.005408,0.06869,0.034076
1,float,uniform,GPU,"N | D",256,14,0.011808,0,0.01767,0.004288,0.06748,0.033766
1,float,uniform,GPU,"N | D",256,15,0.011168,0,0.01786,0.004288,0.069179,0.033316
1,float,uniform,GPU,"N | D",256,16,0.011232,0,0.01779,0.0064,0.070079,0.035422
1,float,uniform,GPU,"N | D",256,17,0.013056,0,0.018488,0.00528,0.071529,0.036824
1,float,uniform,GPU,"N | D",256,18,0.009472,0,0.01777,0.006496,0.069129,0.033738
1,float,uniform,GPU,"N | D",256,19,0.010432,0,0.0181,0.004512,0.066559,0.033044
1,float,uniform,GPU,"N | D",256,20,0.010592,0,0.01807,0.004384,0.067819,0.033046
1,float,uniform,GPU,"N | D",256,21,0.011584,0,0.01779,0.004864,0.069549,0.034238
1,float,uniform,GPU,"N | D",256,22,0.01104,0,0.01796,0.005696,0.06831,0.034696
1,float,uniform,GPU,"N | D",256,23,0.011904,0,0.01783,0.004544,0.069069,0.034278
1,float,uniform,GPU,"N | D",256,24,0.010208,0,0.01433,0.008256,0.061049,0.032794
1,float,uniform,GPU,"N | D",256,25,0.012448,0,0.01815,0.005664,0.071959,0.036262
1,float,uniform,GPU,"N | D",256,26,0.011616,0,0.018129,0.005696,0.069919,0.035441
1,float,uniform,GPU,"N | D",256,27,0.018816,0,0.01771,0.005056,0.07526,0.041582
1,float,uniform,GPU,"N | D",256,28,0.012,0,0.01767,0.004608,0.074139,0.034278
1,float,uniform,GPU,"N | D",256,29,0.010656,0,0.024049,0.006752,0.075889,0.041457
1,float,uniform,GPU,"N | D",256,30,0.011072,0,0.01826,0.005888,0.070039,0.03522
1,float,uniform,GPU,"N | D",256,31,0.009504,0,0.01835,0.005504,0.068949,0.033358
1,float,uniform,GPU,"N | D",256,32,0.010272,0,0.018129,0.004448,0.067089,0.032849
1,float,uniform,GPU,"N | D",256,33,0.009696,0,0.018791,0.007744,0.070649,0.036231
1,float,uniform,GPU,"N | D",256,34,0.012576,0,0.01799,0.004448,0.068859,0.035014
1,float,uniform,GPU,"N | D",256,35,0.011392,0,0.01787,0.003616,0.06841,0.032878
1,float,uniform,GPU,"N | D",256,36,0.010592,0,0.01807,0.004288,0.067019,0.03295
1,float,uniform,GPU,"N | D",256,37,0.01216,0,0.01554,0.007328,0.063099,0.035028
1,float,uniform,GPU,"N | D",256,38,0.011424,0,0.01777,0.004608,0.067149,0.033802
1,float,uniform,GPU,"N | D",256,39,0.010112,0,0.01847,0.00432,0.06665,0.032902
1,float,uniform,GPU,"N | D",256,40,0.012,0,0.01793,0.0064,0.071209,0.03633
1,float,uniform,GPU,"N | D",256,41,0.012576,0,0.018179,0.005984,0.072609,0.036739
1,float,uniform,GPU,"N | D",256,42,0.01088,0,0.01784,0.003712,0.066669,0.032432
1,float,uniform,GPU,"N | D",256,43,0.012064,0,0.017999,0.006368,0.076429,0.036431
1,float,uniform,GPU,"N | D",256,44,0.011584,0,0.01844,0.006752,0.071989,0.036776
1,float,uniform,GPU,"N | D",256,45,0.010432,0,0.018449,0.005888,0.069289,0.034769
1,float,uniform,GPU,"N | D",256,46,0.010976,0,0.01797,0.004928,0.067709,0.033874
1,float,uniform,GPU,"N | D",256,47,0.00976,0,0.01802,0.006016,0.06943,0.033796
1,float,uniform,GPU,"N | D",256,48,0.010752,0,0.01828,0.00432,0.068109,0.033352
1,float,uniform,GPU,"N | D",256,49,0.012576,0,0.014729,0.006624,0.062429,0.033929
1,float,uniform,GPU,"N | D",256,50,0.01056,0,0.01411,0.006976,0.059229,0.031646
1,float,uniform,GPU,"N | D",256,51,0.01072,0,0.017721,0.006048,0.069709,0.034489
1,float,uniform,GPU,"N | D",256,52,0.011392,0,0.01849,0.00496,0.069639,0.034842
1,float,uniform,GPU,"N | D",256,53,0.011264,0,0.01835,0.003648,0.067459,0.033262
1,float,uniform,GPU,"N | D",256,54,0.011648,0,0.01788,0.004672,0.06829,0.0342
1,float,uniform,GPU,"N | D",256,55,0.010336,0,0.01899,0.004352,0.067969,0.033678
1,float,uniform,GPU,"N | D",256,56,0.010496,0,0.01785,0.005184,0.0683,0.03353
1,float,uniform,GPU,"N | D",256,57,0.01056,0,0.01793,0.005056,0.06704,0.033546
1,float,uniform,GPU,"N | D",256,58,0.010336,0,0.01861,0.004672,0.069199,0.033618
1,float,uniform,GPU,"N | D",256,59,0.010816,0,0.01775,0.005472,0.066699,0.034038
