dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,float,uniform,CPU,"N | D | N | N | N | N",128,7,0.829984,0.001969,0.147577,0.028416,1.07638,1.00795
3,float,uniform,CPU,"N | D | N | N | N | N",128,8,0.836992,0.00148,0.12769,0.019808,1.03108,0.98597
3,float,uniform,CPU,"N | D | N | N | N | N",128,9,0.810976,0.001461,0.127459,0.01888,1.00265,0.958776
3,float,uniform,CPU,"N | D | N | N | N | N",128,10,0.801056,0.001431,0.130388,0.027808,1.00498,0.960683
3,float,uniform,CPU,"N | D | N | N | N | N",128,11,0.796288,0.00144,0.127897,0.019104,0.991749,0.944729
3,float,uniform,CPU,"N | D | N | N | N | N",128,12,0.792992,0.0014,0.127629,0.020736,0.985039,0.942757
3,float,uniform,CPU,"N | D | N | N | N | N",128,13,0.806592,0.00145,0.127908,0.019232,0.999038,0.955182
3,float,uniform,CPU,"N | D | N | N | N | N",128,14,0.80448,0.00141,0.128209,0.019936,0.997309,0.954035
3,float,uniform,CPU,"N | D | N | N | N | N",128,15,0.798048,0.00137,0.120759,0.0216,0.98054,0.941777
3,float,uniform,CPU,"N | D | N | N | N | N",128,16,0.801184,0.00141,0.126608,0.018848,0.992338,0.94805
3,float,uniform,CPU,"N | D | N | N | N | N",128,17,0.808704,0.001559,0.12845,0.019968,1.00303,0.958681
3,float,uniform,CPU,"N | D | N | N | N | N",128,18,0.808032,0.00152,0.126918,0.018048,0.998239,0.954518
3,float,uniform,CPU,"N | D | N | N | N | N",128,19,0.794944,0.00148,0.12165,0.0224,0.980659,0.940474
3,float,uniform,CPU,"N | D | N | N | N | N",128,20,0.800896,0.0014,0.128569,0.01856,1.00061,0.949425
3,float,uniform,CPU,"N | D | N | N | N | N",128,21,0.808832,0.001389,0.127078,0.01824,1.00134,0.955539
3,float,uniform,CPU,"N | D | N | N | N | N",128,22,0.805568,0.00161,0.127818,0.018912,0.998639,0.953908
3,float,uniform,CPU,"N | D | N | N | N | N",128,23,0.796288,0.0017,0.123839,0.021696,0.981869,0.943523
3,float,uniform,CPU,"N | D | N | N | N | N",128,24,0.803744,0.00141,0.128288,0.019808,0.998099,0.95325
3,float,uniform,CPU,"N | D | N | N | N | N",128,25,0.810656,0.00146,0.127669,0.020192,1.00339,0.959977
3,float,uniform,CPU,"N | D | N | N | N | N",128,26,0.902688,0.001419,0.127979,0.01888,1.09572,1.05097
3,float,uniform,CPU,"N | D | N | N | N | N",128,27,0.828192,0.00188,0.139649,0.028608,1.06189,0.998329
3,float,uniform,CPU,"N | D | N | N | N | N",128,28,0.806432,0.001429,0.129799,0.020704,1.00357,0.958364
3,float,uniform,CPU,"N | D | N | N | N | N",128,29,0.796256,0.00146,0.127718,0.019744,1.02163,0.945178
3,float,uniform,CPU,"N | D | N | N | N | N",128,30,0.79984,0.001409,0.13001,0.020352,0.997979,0.951611
3,float,uniform,CPU,"N | D | N | N | N | N",128,31,0.80672,0.00142,0.127789,0.0184,1.00063,0.954329
3,float,uniform,CPU,"N | D | N | N | N | N",128,32,0.800064,0.001461,0.135447,0.019616,1.00058,0.956588
3,float,uniform,CPU,"N | D | N | N | N | N",128,33,0.79872,0.00163,0.132579,0.019392,0.995328,0.952321
3,float,uniform,CPU,"N | D | N | N | N | N",128,34,0.784224,0.00167,0.120248,0.022176,0.96684,0.928318
3,float,uniform,CPU,"N | D | N | N | N | N",128,35,0.803744,0.001401,0.128199,0.019776,0.995389,0.95312
3,float,uniform,CPU,"N | D | N | N | N | N",128,36,0.858464,0.001369,0.129108,0.020096,1.0557,1.00904
3,float,uniform,CPU,"N | D | N | N | N | N",128,37,0.84016,0.0014,0.12721,0.01904,1.03316,0.98781
3,float,uniform,CPU,"N | D | N | N | N | N",128,38,0.80016,0.001589,0.127318,0.018528,0.992369,0.947595
3,float,uniform,CPU,"N | D | N | N | N | N",128,39,0.807072,0.00143,0.131129,0.01808,1.00181,0.957711
3,float,uniform,CPU,"N | D | N | N | N | N",128,40,0.803008,0.00137,0.129058,0.018592,0.997939,0.952028
3,float,uniform,CPU,"N | D | N | N | N | N",128,41,0.809504,0.001439,0.126928,0.019296,1.00217,0.957167
3,float,uniform,CPU,"N | D | N | N | N | N",128,42,0.809248,0.0014,0.128188,0.018336,1.00197,0.957172
3,float,uniform,CPU,"N | D | N | N | N | N",128,43,0.813664,0.001351,0.130049,0.018816,1.00816,0.96388
3,float,uniform,CPU,"N | D | N | N | N | N",128,44,0.80224,0.00144,0.129839,0.019296,1.00173,0.952815
3,float,uniform,CPU,"N | D | N | N | N | N",128,45,0.803776,0.00142,0.128489,0.019808,0.996928,0.953493
3,float,uniform,CPU,"N | D | N | N | N | N",128,46,0.81056,0.00143,0.127649,0.018848,1.00214,0.958487
3,float,uniform,CPU,"N | D | N | N | N | N",128,47,0.813696,0.001489,0.129239,0.02032,1.00813,0.964744
3,float,uniform,CPU,"N | D | N | N | N | N",128,48,0.808224,0.00138,0.128248,0.018944,1.00214,0.956796
3,float,uniform,CPU,"N | D | N | N | N | N",128,49,0.804608,0.001409,0.125259,0.02016,0.995479,0.951436
3,float,uniform,CPU,"N | D | N | N | N | N",128,50,0.808256,0.00159,0.128548,0.020256,1.00306,0.95865
3,float,uniform,CPU,"N | D | N | N | N | N",128,51,0.805504,0.0015,0.127179,0.02032,0.996799,0.954503
3,float,uniform,CPU,"N | D | N | N | N | N",128,52,0.808544,0.0014,0.127548,0.021216,1.00324,0.958708
3,float,uniform,CPU,"N | D | N | N | N | N",128,53,0.807232,0.001399,0.128269,0.01824,1.00149,0.95514
3,float,uniform,CPU,"N | D | N | N | N | N",128,54,0.78736,0.00141,0.126888,0.022496,0.974639,0.938154
3,float,uniform,CPU,"N | D | N | N | N | N",128,55,0.800352,0.001751,0.128279,0.020416,0.994529,0.950798
3,float,uniform,CPU,"N | D | N | N | N | N",128,56,0.806688,0.001371,0.13048,0.02064,1.00114,0.959179
3,float,uniform,CPU,"N | D | N | N | N | N",128,57,0.798592,0.001401,0.127899,0.019968,0.992179,0.94786
3,float,uniform,CPU,"N | D | N | N | N | N",128,58,0.802624,0.00136,0.127529,0.028224,1.00357,0.959737
3,float,uniform,CPU,"N | D | N | N | N | N",128,59,0.807872,0.001429,0.128128,0.020512,1.00139,0.957941
3,float,uniform,CPU,"N | D | N | N | N | N",128,60,0.805856,0.001421,0.13075,0.019968,1.00393,0.957995
3,float,uniform,CPU,"N | D | N | N | N | N",128,61,0.8104,0.00143,0.129458,0.018848,1.00729,0.960136
3,float,uniform,CPU,"N | D | N | N | N | N",128,62,0.805024,0.001409,0.126908,0.019008,0.995249,0.952349
3,float,uniform,CPU,"N | D | N | N | N | N",128,63,0.803456,0.00137,0.213298,0.01888,1.07987,1.037
3,float,uniform,CPU,"N | D | N | N | N | N",128,64,0.805728,0.001769,0.128978,0.01952,1.00171,0.955995
3,float,uniform,CPU,"N | D | N | N | N | N",128,65,0.815104,0.00186,0.139459,0.024096,1.03862,0.980519
3,float,uniform,CPU,"N | D | N | N | N | N",128,66,0.810048,0.001451,0.127879,0.019904,1.00168,0.959282
3,float,uniform,CPU,"N | D | N | N | N | N",128,67,0.79952,0.00139,0.128178,0.018624,0.992699,0.947712
3,float,uniform,CPU,"N | D | N | N | N | N",128,68,0.806208,0.00142,0.122559,0.021568,0.988899,0.951755
3,float,uniform,CPU,"N | D | N | N | N | N",128,69,0.805664,0.00147,0.129709,0.01984,1.00047,0.956683
3,float,uniform,CPU,"N | D | N | N | N | N",128,70,0.802208,0.00137,0.126948,0.02016,0.993839,0.950686
3,float,uniform,CPU,"N | D | N | N | N | N",128,71,0.924576,0.0014,0.129319,0.021024,1.11914,1.07632
3,float,uniform,CPU,"N | D | N | N | N | N",128,72,0.794528,0.00141,0.120898,0.021568,0.976219,0.938404
3,float,uniform,CPU,"N | D | N | N | N | N",128,73,0.801088,0.00135,0.127678,0.018976,0.992559,0.949092
3,float,uniform,CPU,"N | D | N | N | N | N",128,74,0.797056,0.001531,0.126958,0.017728,0.993179,0.943273
3,float,uniform,CPU,"N | D | N | N | N | N",192,0,2.65507,0.00221,0.726492,0.052128,3.50384,3.4359
3,float,uniform,CPU,"N | D | N | N | N | N",192,1,2.58042,0.00213,0.725351,0.052384,3.43115,3.36028
3,float,uniform,CPU,"N | D | N | N | N | N",192,2,2.6591,0.00162,0.710051,0.049312,3.47057,3.42009
3,float,uniform,CPU,"N | D | N | N | N | N",192,3,2.85216,0.00203,0.716384,0.049408,3.67115,3.61998
3,float,uniform,CPU,"N | D | N | N | N | N",192,4,2.59718,0.00151,0.708972,0.046496,3.40277,3.35416
3,float,uniform,CPU,"N | D | N | N | N | N",192,5,2.58944,0.00143,0.714182,0.047872,3.40292,3.35292
3,float,uniform,CPU,"N | D | N | N | N | N",192,6,2.58109,0.00148,0.712062,0.046176,3.39089,3.34081
3,float,uniform,CPU,"N | D | N | N | N | N",192,7,2.56413,0.001721,0.711263,0.046624,3.37196,3.32374
3,float,uniform,CPU,"N | D | N | N | N | N",192,8,2.56611,0.001652,0.713811,0.046304,3.37686,3.32788
3,float,uniform,CPU,"N | D | N | N | N | N",192,9,2.59478,0.001539,0.708133,0.04848,3.40315,3.35294
3,float,uniform,CPU,"N | D | N | N | N | N",192,10,2.57632,0.0014,0.710181,0.047232,3.38611,3.33513
3,float,uniform,CPU,"N | D | N | N | N | N",192,11,2.56157,0.00144,0.706801,0.047488,3.36516,3.3173
3,float,uniform,CPU,"N | D | N | N | N | N",192,12,2.5383,0.00202,0.711312,0.046848,3.3471,3.29848
3,float,uniform,CPU,"N | D | N | N | N | N",192,13,2.58458,0.00171,0.712272,0.047616,3.39766,3.34617
3,float,uniform,CPU,"N | D | N | N | N | N",192,14,2.62246,0.00163,0.711802,0.04608,3.43296,3.38198
