dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
1,float,uniform,CPU,"N | N",128,32,0.027808,0,0.018589,0.00704,0.085729,0.053437
1,float,uniform,CPU,"N | N",128,33,0.027744,0,0.02122,0.005472,0.092089,0.054436
1,float,uniform,CPU,"N | N",128,34,0.029952,0,0.02149,0.005696,0.110359,0.057138
1,float,uniform,CPU,"N | N",128,35,0.031232,0,0.02112,0.00576,0.096379,0.058112
1,float,uniform,CPU,"N | N",128,36,0.030912,0,0.02143,0.005248,0.093529,0.05759
1,float,uniform,CPU,"N | N",128,37,0.03056,0,0.02111,0.005248,0.094349,0.056918
1,float,uniform,CPU,"N | N",128,38,0.031168,0,0.02267,0.005344,0.099009,0.059182
1,float,uniform,CPU,"N | N",128,39,0.030144,0,0.02201,0.005152,0.096419,0.057306
1,float,uniform,CPU,"N | N",128,40,0.030592,0,0.02205,0.00592,0.096099,0.058562
1,float,uniform,CPU,"N | N",128,41,0.030272,0,0.02126,0.005312,0.095759,0.056844
1,float,uniform,CPU,"N | N",128,42,0.02704,0,0.023219,0.007232,0.096169,0.057491
1,float,uniform,CPU,"N | N",128,43,0.031488,0,0.02124,0.005504,0.096399,0.058232
1,float,uniform,CPU,"N | N",128,44,0.03472,0,0.02135,0.00736,0.104189,0.06343
1,float,uniform,CPU,"N | N",128,45,0.035232,0,0.021749,0.006336,0.101169,0.063317
1,float,uniform,CPU,"N | N",128,46,0.030208,0,0.021089,0.005184,0.094079,0.056481
1,float,uniform,CPU,"N | N",128,47,0.030048,0,0.02116,0.008064,0.097909,0.059272
1,float,uniform,CPU,"N | N",128,48,0.029184,0,0.02131,0.005344,0.094499,0.055838
1,float,uniform,CPU,"N | N",128,49,0.028608,0,0.021509,0.00656,0.095449,0.056677
1,float,uniform,CPU,"N | N",128,50,0.030784,0,0.02126,0.00688,0.096959,0.058924
1,float,uniform,CPU,"N | N",128,51,0.029248,0,0.02168,0.005504,0.094599,0.056432
1,float,uniform,CPU,"N | N",128,52,0.029696,0,0.01813,0.007488,0.088179,0.055314
1,float,uniform,CPU,"N | N",128,53,0.032256,0,0.021191,0.00608,0.100229,0.059527
1,float,uniform,CPU,"N | N",128,54,0.029728,0,0.02171,0.005728,0.095839,0.057166
1,float,uniform,CPU,"N | N",128,55,0.02928,0,0.021048,0.006944,0.095649,0.057272
1,float,uniform,CPU,"N | N",128,56,0.028224,0,0.02147,0.00528,0.093259,0.054974
1,float,uniform,CPU,"N | N",128,57,0.031232,0,0.02146,0.00656,0.099319,0.059252
1,float,uniform,CPU,"N | N",128,58,0.116352,0,0.02201,0.005696,0.181798,0.144058
1,float,uniform,CPU,"N | N",128,59,0.028864,0,0.0213,0.005344,0.092519,0.055508
1,float,uniform,CPU,"N | N",128,60,0.02832,0,0.02128,0.004608,0.093879,0.054208
1,float,uniform,CPU,"N | N",128,61,0.02992,0,0.0217,0.005536,0.095779,0.057156
1,float,uniform,CPU,"N | N",128,62,0.031072,0,0.02143,0.005728,0.097659,0.05823
1,float,uniform,CPU,"N | N",128,63,0.03136,0,0.0213,0.004352,0.09511,0.057012
1,float,uniform,CPU,"N | N",128,64,0.02688,0,0.017759,0.006496,0.083999,0.051135
1,float,uniform,CPU,"N | N",128,65,0.032224,0,0.022259,0.005792,0.103599,0.060275
1,float,uniform,CPU,"N | N",128,66,0.029408,0,0.022409,0.005216,0.095639,0.057033
1,float,uniform,CPU,"N | N",128,67,0.028992,0,0.021288,0.005888,0.095279,0.056168
1,float,uniform,CPU,"N | N",128,68,0.028896,0,0.02114,0.005088,0.09189,0.055124
1,float,uniform,CPU,"N | N",128,69,0.029856,0,0.021079,0.005248,0.093779,0.056183
1,float,uniform,CPU,"N | N",128,70,0.0336,0,0.021059,0.00448,0.100099,0.059139
1,float,uniform,CPU,"N | N",128,71,0.032704,0,0.02149,0.006528,0.101468,0.060722
1,float,uniform,CPU,"N | N",128,72,0.03152,0,0.021469,0.005952,0.095679,0.058941
1,float,uniform,CPU,"N | N",128,73,0.02912,0,0.02091,0.00448,0.093949,0.05451
1,float,uniform,CPU,"N | N",128,74,0.02928,0,0.021198,0.006656,0.097699,0.057134
1,float,uniform,CPU,"N | N",192,0,0.055968,0,0.02408,0.009568,0.134319,0.089616
1,float,uniform,CPU,"N | N",192,1,0.031936,0,0.02106,0.006144,0.100409,0.05914
1,float,uniform,CPU,"N | N",192,2,0.0336,0,0.02066,0.004832,0.098239,0.059092
1,float,uniform,CPU,"N | N",192,3,0.031808,0,0.020589,0.006816,0.098659,0.059213
1,float,uniform,CPU,"N | N",192,4,0.03056,0,0.02042,0.00736,0.096399,0.05834
1,float,uniform,CPU,"N | N",192,5,0.028192,0,0.02083,0.006624,0.093039,0.055646
1,float,uniform,CPU,"N | N",192,6,0.030816,0,0.02026,0.004672,0.093939,0.055748
1,float,uniform,CPU,"N | N",192,7,0.029728,0,0.0211,0.006464,0.097588,0.057292
1,float,uniform,CPU,"N | N",192,8,0.030496,0,0.02053,0.007136,0.094789,0.058162
1,float,uniform,CPU,"N | N",192,9,0.02848,0,0.02063,0.004512,0.093109,0.053622
1,float,uniform,CPU,"N | N",192,10,0.036672,0,0.02112,0.005632,0.10385,0.063424
1,float,uniform,CPU,"N | N",192,11,0.216576,0,0.02008,0.005536,0.281177,0.242192
1,float,uniform,CPU,"N | N",192,12,0.029728,0,0.02098,0.005408,0.094909,0.056116
1,float,uniform,CPU,"N | N",192,13,0.031296,0,0.021079,0.00528,0.096539,0.057655
1,float,uniform,CPU,"N | N",192,14,0.032096,0,0.02037,0.004416,0.095089,0.056882
1,float,uniform,CPU,"N | N",192,15,0.030272,0,0.02031,0.005984,0.097919,0.056566
1,float,uniform,CPU,"N | N",192,16,0.029632,0,0.02169,0.005344,0.095128,0.056666
1,float,uniform,CPU,"N | N",192,17,0.02976,0,0.017978,0.006336,0.087729,0.054074
1,float,uniform,CPU,"N | N",192,18,0.028,0,0.02037,0.005216,0.091439,0.053586
1,float,uniform,CPU,"N | N",192,19,0.033184,0,0.02085,0.00512,0.097648,0.059154
1,float,uniform,CPU,"N | N",192,20,0.032736,0,0.020489,0.006304,0.100149,0.059529
1,float,uniform,CPU,"N | N",192,21,0.03088,0,0.02048,0.00592,0.095479,0.05728
1,float,uniform,CPU,"N | N",192,22,0.02928,0,0.02098,0.00512,0.094688,0.05538
1,float,uniform,CPU,"N | N",192,23,0.028192,0,0.020399,0.00512,0.090689,0.053711
1,float,uniform,CPU,"N | N",192,24,0.031776,0,0.02054,0.00544,0.096179,0.057756
1,float,uniform,CPU,"N | N",192,25,0.0288,0,0.021379,0.00432,0.093799,0.054499
1,float,uniform,CPU,"N | N",192,26,0.028416,0,0.02063,0.004704,0.096279,0.05375
1,float,uniform,CPU,"N | N",192,27,0.03584,0,0.020478,0.005408,0.098809,0.061726
1,float,uniform,CPU,"N | N",192,28,0.03136,0,0.02065,0.006016,0.097449,0.058026
1,float,uniform,CPU,"N | N",192,29,0.032672,0,0.020498,0.005536,0.097359,0.058706
1,float,uniform,CPU,"N | N",192,30,0.029536,0,0.016759,0.006208,0.083549,0.052503
1,float,uniform,CPU,"N | N",192,31,0.028832,0,0.02067,0.005312,0.092879,0.054814
1,float,uniform,CPU,"N | N",192,32,0.028864,0,0.020389,0.005664,0.093879,0.054917
1,float,uniform,CPU,"N | N",192,33,0.029856,0,0.02031,0.004384,0.093558,0.05455
1,float,uniform,CPU,"N | N",192,34,0.030528,0,0.02106,0.005184,0.095868,0.056772
1,float,uniform,CPU,"N | N",192,35,0.03024,0,0.0225,0.00512,0.101829,0.05786
1,float,uniform,CPU,"N | N",192,36,0.028512,0,0.02051,0.004384,0.093329,0.053406
1,float,uniform,CPU,"N | N",192,37,0.031232,0,0.02045,0.004512,0.095138,0.056194
1,float,uniform,CPU,"N | N",192,38,0.031296,0,0.02084,0.005376,0.097618,0.057512
1,float,uniform,CPU,"N | N",192,39,0.028768,0,0.02044,0.005408,0.092319,0.054616
1,float,uniform,CPU,"N | N",192,40,0.030336,0,0.02131,0.005408,0.095599,0.057054
1,float,uniform,CPU,"N | N",192,41,0.029696,0,0.02056,0.00512,0.094289,0.055376
1,float,uniform,CPU,"N | N",192,42,0.03008,0,0.02079,0.005728,0.104329,0.056598
1,float,uniform,CPU,"N | N",192,43,0.029952,0,0.02198,0.006624,0.097559,0.058556
