dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,double,uniform,CPU,"P | P | P | P | Ns | Ds",128,13,1.60426,0.0018,0.486684,0.096,2.24872,2.18874
3,double,uniform,CPU,"P | P | P | P | Ns | Ds",128,14,1.52061,0.00174,0.487435,0.09584,2.16463,2.10562
3,double,uniform,CPU,"P | P | P | P | Ns | Ds",128,15,1.50538,0.00168,0.486064,0.095232,2.1475,2.08835
3,double,uniform,CPU,"P | P | P | P | Ns | Ds",128,16,1.53366,0.00173,0.550605,0.096768,2.24112,2.18277
3,double,uniform,CPU,"P | P | P | P | Ns | Ds",128,17,1.60381,0.00166,0.486264,0.096416,2.24689,2.18815
3,double,uniform,CPU,"P | P | P | P | Ns | Ds",128,18,1.55053,0.00169,0.486575,0.093664,2.19228,2.13246
3,double,uniform,CPU,"P | P | P | P | Ns | Ds",128,19,1.54656,0.001661,0.485915,0.093152,2.18667,2.12729
3,double,uniform,CPU,"P | P | P | P | Ns | Ds",128,20,1.60221,0.00203,0.486495,0.092864,2.24228,2.1836
3,double,uniform,CPU,"P | P | P | P | Ns | Ds",128,21,1.52013,0.00167,0.486614,0.094176,2.16373,2.10259
3,double,uniform,CPU,"P | P | P | P | Ns | Ds",128,22,1.52842,0.00172,0.486215,0.095936,2.17342,2.11229
3,double,uniform,CPU,"P | P | P | P | Ns | Ds",128,23,1.5327,0.00178,0.485564,0.095232,2.17445,2.11528
3,double,uniform,CPU,"P | P | P | P | Ns | Ds",128,24,1.59501,0.00192,0.485944,0.09488,2.23342,2.17775
3,double,uniform,CPU,"P | P | P | P | Ns | Ds",128,25,1.656,0.001641,0.484564,0.094592,2.29528,2.2368
3,double,uniform,CPU,"P | P | P | P | Ns | Ds",128,26,1.59805,0.001631,0.486094,0.09632,2.2406,2.18209
3,double,uniform,CPU,"P | P | P | P | Ns | Ds",128,27,1.50442,0.00177,0.483605,0.098848,2.14049,2.08864
