dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
2,float,uniform,GPU,"P | P | P | P",128,51,0.012288,0,0.022531,0.013568,0.089999,0.048387
2,float,uniform,GPU,"P | P | P | P",128,52,0.012864,0,0.02195,0.013472,0.089339,0.048286
2,float,uniform,GPU,"P | P | P | P",128,53,0.013856,0,0.022289,0.015648,0.093179,0.051793
2,float,uniform,GPU,"P | P | P | P",128,54,0.012608,0,0.022519,0.0128,0.088949,0.047927
2,float,uniform,GPU,"P | P | P | P",128,55,0.01312,0,0.02197,0.01648,0.092719,0.05157
2,float,uniform,GPU,"P | P | P | P",128,56,0.012544,0,0.023199,0.01408,0.091619,0.049823
2,float,uniform,GPU,"P | P | P | P",128,57,0.016672,0,0.02211,0.015008,0.097899,0.05379
2,float,uniform,GPU,"P | P | P | P",128,58,0.012192,0,0.01983,0.013792,0.08631,0.045814
2,float,uniform,GPU,"P | P | P | P",128,59,0.01296,0,0.01938,0.01552,0.082289,0.04786
2,float,uniform,GPU,"P | P | P | P",128,60,0.014048,0,0.022559,0.013856,0.091569,0.050463
2,float,uniform,GPU,"P | P | P | P",128,61,0.012736,0,0.02226,0.015552,0.092989,0.050548
2,float,uniform,GPU,"P | P | P | P",128,62,0.01472,0,0.021788,0.013184,0.090119,0.049692
2,float,uniform,GPU,"P | P | P | P",128,63,0.014368,0,0.02247,0.015904,0.094979,0.052742
2,float,uniform,GPU,"P | P | P | P",128,64,0.013536,0,0.02287,0.014912,0.093279,0.051318
2,float,uniform,GPU,"P | P | P | P",128,65,0.013024,0,0.02165,0.014368,0.090719,0.049042
2,float,uniform,GPU,"P | P | P | P",128,66,0.012192,0,0.0224,0.013312,0.089359,0.047904
2,float,uniform,GPU,"P | P | P | P",128,67,0.0208,0,0.02261,0.015072,0.102589,0.058482
2,float,uniform,GPU,"P | P | P | P",128,68,0.01392,0,0.02185,0.015264,0.092569,0.051034
2,float,uniform,GPU,"P | P | P | P",128,69,0.012768,0,0.02185,0.013024,0.088339,0.047642
2,float,uniform,GPU,"P | P | P | P",128,70,0.013504,0,0.0226,0.014048,0.092979,0.050152
2,float,uniform,GPU,"P | P | P | P",128,71,0.012768,0,0.02288,0.013344,0.090149,0.048992
2,float,uniform,GPU,"P | P | P | P",128,72,0.012896,0,0.02226,0.013536,0.088499,0.048692
2,float,uniform,GPU,"P | P | P | P",128,73,0.01392,0,0.022009,0.012384,0.089399,0.048313
