dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
1,double,uniform,GPU,"Ns | Ds",128,34,0.012544,0,0.037089,0.007968,0.090999,0.057601
1,double,uniform,GPU,"Ns | Ds",128,35,0.014048,0,0.03647,0.008128,0.091679,0.058646
1,double,uniform,GPU,"Ns | Ds",128,36,0.01184,0,0.037048,0.008128,0.090269,0.057016
1,double,uniform,GPU,"Ns | Ds",128,37,0.012256,0,0.036609,0.007136,0.089779,0.056001
1,double,uniform,GPU,"Ns | Ds",128,38,0.01312,0,0.03752,0.008032,0.093239,0.058672
1,double,uniform,GPU,"Ns | Ds",128,39,0.012224,0,0.036789,0.006592,0.088589,0.055605
1,double,uniform,GPU,"Ns | Ds",128,40,0.013952,0,0.03715,0.008992,0.094439,0.060094
1,double,uniform,GPU,"Ns | Ds",128,41,0.013696,0,0.036889,0.008512,0.093089,0.059097
1,double,uniform,GPU,"Ns | Ds",128,42,0.011968,0,0.03661,0.006656,0.088789,0.055234
1,double,uniform,GPU,"Ns | Ds",128,43,0.013152,0,0.03667,0.007584,0.090939,0.057406
1,double,uniform,GPU,"Ns | Ds",128,44,0.012224,0,0.037009,0.010048,0.093129,0.059281
1,double,uniform,GPU,"Ns | Ds",128,45,0.01744,0,0.03694,0.009408,0.097148,0.063788
1,double,uniform,GPU,"Ns | Ds",128,46,0.013664,0,0.03722,0.007808,0.091669,0.058692
1,double,uniform,GPU,"Ns | Ds",128,47,0.01408,0,0.03356,0.007296,0.086089,0.054936
1,double,uniform,GPU,"Ns | Ds",128,48,0.012352,0,0.03726,0.011744,0.095359,0.061356
1,double,uniform,GPU,"Ns | Ds",128,49,0.011936,0,0.036439,0.00816,0.090139,0.056535
1,double,uniform,GPU,"Ns | Ds",128,50,0.012864,0,0.03661,0.008096,0.090439,0.05757
1,double,uniform,GPU,"Ns | Ds",128,51,0.012864,0,0.036638,0.006784,0.089609,0.056286
1,double,uniform,GPU,"Ns | Ds",128,52,0.012032,0,0.03701,0.008128,0.183778,0.05717
1,double,uniform,GPU,"Ns | Ds",128,53,0.013408,0,0.03685,0.007648,0.091268,0.057906
1,double,uniform,GPU,"Ns | Ds",128,54,0.012224,0,0.03662,0.008,0.089848,0.056844
1,double,uniform,GPU,"Ns | Ds",128,55,0.01264,0,0.03651,0.009696,0.093388,0.058846
1,double,uniform,GPU,"Ns | Ds",128,56,0.012704,0,0.036789,0.008608,0.092709,0.058101
1,double,uniform,GPU,"Ns | Ds",128,57,0.012128,0,0.03669,0.01024,0.094039,0.059058
1,double,uniform,GPU,"Ns | Ds",128,58,0.012576,0,0.03787,0.006816,0.089839,0.057262
1,double,uniform,GPU,"Ns | Ds",128,59,0.01232,0,0.03687,0.010112,0.094339,0.059302
1,double,uniform,GPU,"Ns | Ds",128,60,0.013728,0,0.036709,0.008416,0.092429,0.058853
1,double,uniform,GPU,"Ns | Ds",128,61,0.011936,0,0.036729,0.009248,0.092269,0.057913
1,double,uniform,GPU,"Ns | Ds",128,62,0.013504,0,0.036439,0.00656,0.089269,0.056503
1,double,uniform,GPU,"Ns | Ds",128,63,0.0128,0,0.036629,0.007936,0.090689,0.057365
1,double,uniform,GPU,"Ns | Ds",128,64,0.012416,0,0.04375,0.006144,0.096159,0.06231
1,double,uniform,GPU,"Ns | Ds",128,65,0.013408,0,0.03684,0.007488,0.091009,0.057736
1,double,uniform,GPU,"Ns | Ds",128,66,0.014464,0,0.037419,0.006496,0.092849,0.058379
1,double,uniform,GPU,"Ns | Ds",128,67,0.012064,0,0.03348,0.008544,0.084139,0.054088
1,double,uniform,GPU,"Ns | Ds",128,68,0.012896,0,0.03701,0.008576,0.092529,0.058482
1,double,uniform,GPU,"Ns | Ds",128,69,0.01328,0,0.03649,0.007904,0.09243,0.057674
1,double,uniform,GPU,"Ns | Ds",128,70,0.012608,0,0.03656,0.008544,0.090999,0.057712
1,double,uniform,GPU,"Ns | Ds",128,71,0.01232,0,0.03716,0.009216,0.092839,0.058696
1,double,uniform,GPU,"Ns | Ds",128,72,0.013536,0,0.03713,0.008736,0.092568,0.059402
1,double,uniform,GPU,"Ns | Ds",128,73,0.012832,0,0.03693,0.010272,0.093699,0.060034
1,double,uniform,GPU,"Ns | Ds",128,74,0.012096,0,0.037019,0.008384,0.091449,0.057499
1,double,uniform,GPU,"Ns | Ds",192,0,0.02288,0,0.053159,0.01568,0.134779,0.091719
1,double,uniform,GPU,"Ns | Ds",192,1,0.01248,0,0.048089,0.009728,0.108019,0.070297
