dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,double,uniform,GPU,"P | P | Ns | Ns | P | P",128,72,0.027328,0.00167,0.518384,0.09536,0.706882,0.642742
3,double,uniform,GPU,"P | P | Ns | Ns | P | P",128,73,0.029536,0.0016,0.519455,0.097728,0.711632,0.648319
3,double,uniform,GPU,"P | P | Ns | Ns | P | P",128,74,0.041952,0.002109,0.528654,0.10352,0.742092,0.676235
3,double,uniform,GPU,"P | P | Ns | Ns | P | P",192,0,0.107008,0.00236,1.7942,0.336064,2.31054,2.23963
3,double,uniform,GPU,"P | P | Ns | Ns | P | P",192,1,0.114784,0.002161,1.79173,0.332224,2.30769,2.2409
3,double,uniform,GPU,"P | P | Ns | Ns | P | P",192,2,0.112192,0.001831,1.78623,0.332608,2.29997,2.23286
3,double,uniform,GPU,"P | P | Ns | Ns | P | P",192,3,0.116384,0.002111,1.78893,0.330208,2.3051,2.23763
3,double,uniform,GPU,"P | P | Ns | Ns | P | P",192,4,0.11376,0.00205,1.7862,0.3352,2.30217,2.23721
3,double,uniform,GPU,"P | P | Ns | Ns | P | P",192,5,0.113248,0.002031,1.79228,0.333056,2.33603,2.24062
3,double,uniform,GPU,"P | P | Ns | Ns | P | P",192,6,0.115008,0.00197,1.78974,0.333408,2.30613,2.24013
3,double,uniform,GPU,"P | P | Ns | Ns | P | P",192,7,0.112864,0.002,1.79676,0.33264,2.31167,2.24426
3,double,uniform,GPU,"P | P | Ns | Ns | P | P",192,8,0.11168,0.002269,1.79223,0.33488,2.30857,2.24106
3,double,uniform,GPU,"P | P | Ns | Ns | P | P",192,9,0.111872,0.00185,1.7877,0.333856,2.3047,2.23528
3,double,uniform,GPU,"P | P | Ns | Ns | P | P",192,10,0.11456,0.00212,1.79496,0.336064,2.31229,2.2477
3,double,uniform,GPU,"P | P | Ns | Ns | P | P",192,11,0.10928,0.001949,1.83539,0.333152,2.34679,2.27977
3,double,uniform,GPU,"P | P | Ns | Ns | P | P",192,12,0.115744,0.00218,1.79123,0.336736,2.3115,2.24589
3,double,uniform,GPU,"P | P | Ns | Ns | P | P",192,13,0.116128,0.002131,1.78868,0.333696,2.30889,2.24064
3,double,uniform,GPU,"P | P | Ns | Ns | P | P",192,14,0.116032,0.00243,1.79877,0.334048,2.31749,2.25128
3,double,uniform,GPU,"P | P | Ns | Ns | P | P",192,15,0.109696,0.00207,1.78962,0.332544,2.30043,2.23393
3,double,uniform,GPU,"P | P | Ns | Ns | P | P",192,16,0.11312,0.00207,1.78672,0.333536,2.29756,2.23545
3,double,uniform,GPU,"P | P | Ns | Ns | P | P",192,17,0.126688,0.00222,1.79344,0.336864,2.32576,2.25921
3,double,uniform,GPU,"P | P | Ns | Ns | P | P",192,18,0.115136,0.00226,1.79465,0.334432,2.31441,2.24648
3,double,uniform,GPU,"P | P | Ns | Ns | P | P",192,19,0.112704,0.002081,1.79245,0.332608,2.30653,2.23984
