dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,float,uniform,CPU,"D | D | D | D | D | D",128,23,0.801728,0,0.179428,0.021088,1.04693,1.00224
3,float,uniform,CPU,"D | D | D | D | D | D",128,24,0.881408,0,0.138298,0.021376,1.0847,1.04108
3,float,uniform,CPU,"D | D | D | D | D | D",128,25,0.803072,0,0.136868,0.020192,1.00314,0.960132
3,float,uniform,CPU,"D | D | D | D | D | D",128,26,0.801664,0,0.137218,0.01968,0.999088,0.958562
3,float,uniform,CPU,"D | D | D | D | D | D",128,27,0.802912,0,0.137358,0.020416,1.00449,0.960686
3,float,uniform,CPU,"D | D | D | D | D | D",128,28,0.796192,0,0.137468,0.019584,0.997229,0.953244
3,float,uniform,CPU,"D | D | D | D | D | D",128,29,0.793984,0,0.133908,0.02128,0.989219,0.949172
3,float,uniform,CPU,"D | D | D | D | D | D",128,30,0.78816,0,0.135728,0.02016,0.98552,0.944048
3,float,uniform,CPU,"D | D | D | D | D | D",128,31,0.802848,0,0.136388,0.02208,1.00329,0.961316
3,float,uniform,CPU,"D | D | D | D | D | D",128,32,0.80272,0,0.136179,0.02,1.00359,0.958899
3,float,uniform,CPU,"D | D | D | D | D | D",128,33,0.828544,0,0.152238,0.028,1.07634,1.00878
3,float,uniform,CPU,"D | D | D | D | D | D",128,34,0.800928,0,0.136718,0.021024,1.001,0.95867
3,float,uniform,CPU,"D | D | D | D | D | D",128,35,0.78752,0,0.136328,0.02112,0.987168,0.944968
3,float,uniform,CPU,"D | D | D | D | D | D",128,36,0.792288,0,0.135549,0.019936,0.991449,0.947773
3,float,uniform,CPU,"D | D | D | D | D | D",128,37,0.869184,0,0.135909,0.020928,1.06918,1.02602
3,float,uniform,CPU,"D | D | D | D | D | D",128,38,0.802208,0,0.135988,0.020864,1.00161,0.95906
3,float,uniform,CPU,"D | D | D | D | D | D",128,39,0.796608,0,0.138068,0.020608,0.999049,0.955284
3,float,uniform,CPU,"D | D | D | D | D | D",128,40,0.804448,0,0.137198,0.02064,1.00735,0.962286
3,float,uniform,CPU,"D | D | D | D | D | D",128,41,0.80656,0,0.137278,0.020288,1.00938,0.964126
3,float,uniform,CPU,"D | D | D | D | D | D",128,42,0.874656,0,0.136578,0.020288,1.07364,1.03152
3,float,uniform,CPU,"D | D | D | D | D | D",128,43,0.790624,0,0.136348,0.020864,0.989819,0.947836
3,float,uniform,CPU,"D | D | D | D | D | D",128,44,0.79792,0,0.138908,0.019552,1.00128,0.95638
3,float,uniform,CPU,"D | D | D | D | D | D",128,45,0.792704,0,0.136239,0.019328,0.991509,0.948271
3,float,uniform,CPU,"D | D | D | D | D | D",128,46,0.788608,0,0.137378,0.019488,0.988539,0.945474
3,float,uniform,CPU,"D | D | D | D | D | D",128,47,0.800544,0,0.136228,0.018368,0.997878,0.95514
3,float,uniform,CPU,"D | D | D | D | D | D",128,48,0.883264,0,0.136308,0.021344,1.08217,1.04092
3,float,uniform,CPU,"D | D | D | D | D | D",128,49,0.85744,0,0.133348,0.0224,1.05031,1.01319
3,float,uniform,CPU,"D | D | D | D | D | D",128,50,0.787488,0,0.135769,0.019584,0.987689,0.942841
3,float,uniform,CPU,"D | D | D | D | D | D",128,51,0.78704,0,0.136319,0.019776,0.984169,0.943135
3,float,uniform,CPU,"D | D | D | D | D | D",128,52,0.804832,0,0.136339,0.022016,1.00569,0.963187
3,float,uniform,CPU,"D | D | D | D | D | D",128,53,0.796448,0,0.136248,0.022144,0.998159,0.95484
3,float,uniform,CPU,"D | D | D | D | D | D",128,54,0.810592,0,0.135508,0.018848,1.00778,0.964948
3,float,uniform,CPU,"D | D | D | D | D | D",128,55,0.806592,0,0.134628,0.019712,1.00364,0.960932
3,float,uniform,CPU,"D | D | D | D | D | D",128,56,0.80096,0,0.137028,0.019968,1.00363,0.957956
3,float,uniform,CPU,"D | D | D | D | D | D",128,57,0.795264,0,0.137868,0.020288,0.999879,0.95342
3,float,uniform,CPU,"D | D | D | D | D | D",128,58,0.803136,0,0.137138,0.020032,1.00382,0.960306
3,float,uniform,CPU,"D | D | D | D | D | D",128,59,0.806752,0,0.136568,0.02064,1.00727,0.96396
3,float,uniform,CPU,"D | D | D | D | D | D",128,60,0.81456,0,0.137368,0.01936,1.01532,0.971288
3,float,uniform,CPU,"D | D | D | D | D | D",128,61,0.802016,0,0.1379,0.019584,1.004,0.9595
3,float,uniform,CPU,"D | D | D | D | D | D",128,62,0.807648,0,0.1353,0.018976,1.005,0.961924
3,float,uniform,CPU,"D | D | D | D | D | D",128,63,0.796256,0,0.135978,0.018624,0.995339,0.950858
3,float,uniform,CPU,"D | D | D | D | D | D",128,64,0.821856,0,0.136698,0.019392,1.02214,0.977946
3,float,uniform,CPU,"D | D | D | D | D | D",128,65,0.802752,0,0.136418,0.02064,1.00331,0.95981
3,float,uniform,CPU,"D | D | D | D | D | D",128,66,0.856832,0,0.13597,0.021248,1.05717,1.01405
3,float,uniform,CPU,"D | D | D | D | D | D",128,67,0.793536,0,0.136478,0.0192,0.991749,0.949214
3,float,uniform,CPU,"D | D | D | D | D | D",128,68,0.796288,0,0.135408,0.019328,0.992618,0.951024
3,float,uniform,CPU,"D | D | D | D | D | D",128,69,0.785056,0,0.133078,0.024288,0.979809,0.942422
3,float,uniform,CPU,"D | D | D | D | D | D",128,70,0.802048,0,0.1359,0.021216,1.00141,0.959164
3,float,uniform,CPU,"D | D | D | D | D | D",128,71,0.904864,0,0.135548,0.019104,1.10417,1.05952
3,float,uniform,CPU,"D | D | D | D | D | D",128,72,0.802048,0,0.134658,0.020992,0.999978,0.957698
3,float,uniform,CPU,"D | D | D | D | D | D",128,73,0.797504,0,0.137078,0.0208,1.00007,0.955382
3,float,uniform,CPU,"D | D | D | D | D | D",128,74,0.805728,0,0.138138,0.02032,1.00656,0.964186
3,float,uniform,CPU,"D | D | D | D | D | D",192,0,2.64554,0,0.439504,0.051936,3.20022,3.13698
3,float,uniform,CPU,"D | D | D | D | D | D",192,1,2.57715,0,0.425904,0.048448,3.09787,3.0515
3,float,uniform,CPU,"D | D | D | D | D | D",192,2,2.5768,0,0.426216,0.0472,3.09687,3.05022
3,float,uniform,CPU,"D | D | D | D | D | D",192,3,2.58589,0,0.437676,0.051872,3.1446,3.07544
3,float,uniform,CPU,"D | D | D | D | D | D",192,4,2.63702,0,0.427845,0.050016,3.16166,3.11488
3,float,uniform,CPU,"D | D | D | D | D | D",192,5,2.55277,0,0.424415,0.047008,3.06845,3.02419
3,float,uniform,CPU,"D | D | D | D | D | D",192,6,2.64045,0,0.423356,0.046688,3.15497,3.11049
3,float,uniform,CPU,"D | D | D | D | D | D",192,7,2.67187,0,0.423505,0.049856,3.19289,3.14523
3,float,uniform,CPU,"D | D | D | D | D | D",192,8,2.54109,0,0.422856,0.04704,3.0514,3.01098
3,float,uniform,CPU,"D | D | D | D | D | D",192,9,2.63763,0,0.426636,0.046688,3.15584,3.11096
3,float,uniform,CPU,"D | D | D | D | D | D",192,10,2.56086,0,0.425284,0.04752,3.08149,3.03367
3,float,uniform,CPU,"D | D | D | D | D | D",192,11,2.54813,0,0.429385,0.04656,3.06772,3.02407
3,float,uniform,CPU,"D | D | D | D | D | D",192,12,2.60419,0,0.421896,0.047392,3.11878,3.07348
3,float,uniform,CPU,"D | D | D | D | D | D",192,13,2.5527,0,0.428356,0.047488,3.07784,3.02855
3,float,uniform,CPU,"D | D | D | D | D | D",192,14,2.62944,0,0.437416,0.052896,3.18853,3.11975
3,float,uniform,CPU,"D | D | D | D | D | D",192,15,2.65968,0,0.424705,0.04672,3.17594,3.1311
3,float,uniform,CPU,"D | D | D | D | D | D",192,16,2.54938,0,0.425105,0.046688,3.06892,3.02117
3,float,uniform,CPU,"D | D | D | D | D | D",192,17,2.62867,0,0.426106,0.049024,3.15153,3.1038
3,float,uniform,CPU,"D | D | D | D | D | D",192,18,2.57536,0,0.427235,0.0456,3.09789,3.04819
3,float,uniform,CPU,"D | D | D | D | D | D",192,19,2.58957,0,0.427284,0.046976,3.11204,3.06383
3,float,uniform,CPU,"D | D | D | D | D | D",192,20,2.58822,0,0.425166,0.046848,3.10705,3.06024
3,float,uniform,CPU,"D | D | D | D | D | D",192,21,2.55514,0,0.423444,0.048736,3.06811,3.02732
3,float,uniform,CPU,"D | D | D | D | D | D",192,22,2.54915,0,0.424166,0.04848,3.06748,3.0218
3,float,uniform,CPU,"D | D | D | D | D | D",192,23,2.62477,0,0.425076,0.047456,3.15451,3.0973
3,float,uniform,CPU,"D | D | D | D | D | D",192,24,2.57491,0,0.425725,0.046464,3.09653,3.0471
3,float,uniform,CPU,"D | D | D | D | D | D",192,25,2.59184,0,0.425646,0.04608,3.10873,3.06357
3,float,uniform,CPU,"D | D | D | D | D | D",192,26,2.58051,0,0.439676,0.051296,3.14078,3.07148
3,float,uniform,CPU,"D | D | D | D | D | D",192,27,2.5313,0,0.423666,0.047584,3.04872,3.00255
3,float,uniform,CPU,"D | D | D | D | D | D",192,28,2.58656,0,0.423786,0.048768,3.10617,3.05911
3,float,uniform,CPU,"D | D | D | D | D | D",192,29,2.56109,0,0.429145,0.047616,3.08757,3.03785
3,float,uniform,CPU,"D | D | D | D | D | D",192,30,2.56688,0,0.430954,0.045536,3.08898,3.04337
3,float,uniform,CPU,"D | D | D | D | D | D",192,31,2.57878,0,0.425376,0.046784,3.09695,3.05094
3,float,uniform,CPU,"D | D | D | D | D | D",192,32,2.55635,0,0.425754,0.045472,3.07471,3.02758
3,float,uniform,CPU,"D | D | D | D | D | D",192,33,2.54432,0,0.427176,0.049024,3.0675,3.02052
3,float,uniform,CPU,"D | D | D | D | D | D",192,34,2.56064,0,0.437005,0.05456,3.11632,3.0522
3,float,uniform,CPU,"D | D | D | D | D | D",192,35,2.57962,0,0.427484,0.047392,3.10408,3.05449
3,float,uniform,CPU,"D | D | D | D | D | D",192,36,2.57984,0,0.426055,0.046464,3.09915,3.05236
3,float,uniform,CPU,"D | D | D | D | D | D",192,37,2.58746,0,0.422816,0.049024,3.10005,3.0593
3,float,uniform,CPU,"D | D | D | D | D | D",192,38,2.55706,0,0.422366,0.054144,3.08073,3.03357
3,float,uniform,CPU,"D | D | D | D | D | D",192,39,2.55955,0,0.424395,0.046592,3.07829,3.03054
3,float,uniform,CPU,"D | D | D | D | D | D",192,40,2.5793,0,0.426996,0.048352,3.10592,3.05464
3,float,uniform,CPU,"D | D | D | D | D | D",192,41,2.58173,0,0.427035,0.046592,3.10141,3.05536
3,float,uniform,CPU,"D | D | D | D | D | D",192,42,2.60125,0,0.426546,0.048,3.12305,3.07579
3,float,uniform,CPU,"D | D | D | D | D | D",192,43,2.56246,0,0.426165,0.047488,3.08265,3.03612
3,float,uniform,CPU,"D | D | D | D | D | D",192,44,2.57094,0,0.422446,0.04736,3.08717,3.04075
3,float,uniform,CPU,"D | D | D | D | D | D",192,45,2.56285,0,0.423805,0.046368,3.08306,3.03302
3,float,uniform,CPU,"D | D | D | D | D | D",192,46,2.57101,0,0.427445,0.047136,3.09327,3.04559
3,float,uniform,CPU,"D | D | D | D | D | D",192,47,2.58304,0,0.425256,0.046688,3.09856,3.05498
3,float,uniform,CPU,"D | D | D | D | D | D",192,48,2.60586,0,0.424916,0.045248,3.12176,3.07602
3,float,uniform,CPU,"D | D | D | D | D | D",192,49,2.54198,0,0.424036,0.04624,3.05629,3.01226
3,float,uniform,CPU,"D | D | D | D | D | D",192,50,2.61824,0,0.423216,0.045376,3.13374,3.08683
3,float,uniform,CPU,"D | D | D | D | D | D",192,51,2.57997,0,0.436684,0.052,3.13706,3.06865
3,float,uniform,CPU,"D | D | D | D | D | D",192,52,2.58422,0,0.428894,0.049664,3.11152,3.06278
3,float,uniform,CPU,"D | D | D | D | D | D",192,53,2.5912,0,0.424605,0.046336,3.10893,3.06214
3,float,uniform,CPU,"D | D | D | D | D | D",192,54,2.54269,0,0.425056,0.04576,3.05892,3.0135
3,float,uniform,CPU,"D | D | D | D | D | D",192,55,2.53821,0,0.419026,0.049696,3.04812,3.00693
3,float,uniform,CPU,"D | D | D | D | D | D",192,56,2.62682,0,0.425596,0.046112,3.14809,3.09852
3,float,uniform,CPU,"D | D | D | D | D | D",192,57,2.5863,0,0.425995,0.049952,3.11228,3.06225
3,float,uniform,CPU,"D | D | D | D | D | D",192,58,2.58829,0,0.425115,0.045504,3.10535,3.05891
3,float,uniform,CPU,"D | D | D | D | D | D",192,59,2.62589,0,0.426504,0.047424,3.14786,3.09982
3,float,uniform,CPU,"D | D | D | D | D | D",192,60,2.55338,0,0.423376,0.048,3.07036,3.02475
3,float,uniform,CPU,"D | D | D | D | D | D",192,61,2.54163,0,0.427276,0.046048,3.06145,3.01496
3,float,uniform,CPU,"D | D | D | D | D | D",192,62,2.75046,0,0.437896,0.051936,3.30898,3.2403
3,float,uniform,CPU,"D | D | D | D | D | D",192,63,2.58797,0,0.426854,0.047936,3.11165,3.06276
3,float,uniform,CPU,"D | D | D | D | D | D",192,64,2.56986,0,0.425645,0.048096,3.09241,3.0436
3,float,uniform,CPU,"D | D | D | D | D | D",192,65,2.60205,0,0.435045,0.052288,3.15593,3.08938
3,float,uniform,CPU,"D | D | D | D | D | D",192,66,2.75424,0,0.426345,0.049696,3.27917,3.23028
3,float,uniform,CPU,"D | D | D | D | D | D",192,67,2.57264,0,0.425586,0.049472,3.09659,3.0477
3,float,uniform,CPU,"D | D | D | D | D | D",192,68,2.56976,0,0.426536,0.046944,3.09502,3.04324
3,float,uniform,CPU,"D | D | D | D | D | D",192,69,2.57629,0,0.425964,0.048128,3.09709,3.05038
3,float,uniform,CPU,"D | D | D | D | D | D",192,70,2.5761,0,0.423545,0.044416,3.09743,3.04406
3,float,uniform,CPU,"D | D | D | D | D | D",192,71,2.58928,0,0.424885,0.046688,3.10724,3.06085
3,float,uniform,CPU,"D | D | D | D | D | D",192,72,2.54534,0,0.422214,0.046144,3.06073,3.0137
3,float,uniform,CPU,"D | D | D | D | D | D",192,73,2.55142,0,0.425375,0.04544,3.07289,3.02224
3,float,uniform,CPU,"D | D | D | D | D | D",192,74,2.61834,0,0.426066,0.046912,3.14515,3.09131
3,float,uniform,CPU,"D | D | D | D | D | D",256,0,6.9225,0,0.889459,0.10176,7.98582,7.91371
3,float,uniform,CPU,"D | D | D | D | D | D",256,1,6.38294,0,0.887269,0.101056,7.4307,7.37127
3,float,uniform,CPU,"D | D | D | D | D | D",256,2,6.50077,0,0.88672,0.10048,7.54512,7.48797
3,float,uniform,CPU,"D | D | D | D | D | D",256,3,6.57648,0,0.88732,0.099872,7.62273,7.56367
3,float,uniform,CPU,"D | D | D | D | D | D",256,4,6.9431,0,0.88861,0.10224,7.99187,7.93395
3,float,uniform,CPU,"D | D | D | D | D | D",256,5,6.31789,0,0.88646,0.099072,7.3588,7.30342
3,float,uniform,CPU,"D | D | D | D | D | D",256,6,6.64106,0,0.88778,0.09984,7.69264,7.62868
3,float,uniform,CPU,"D | D | D | D | D | D",256,7,6.35795,0,0.88746,0.101536,7.41445,7.34695
3,float,uniform,CPU,"D | D | D | D | D | D",256,8,6.18928,0,0.886041,0.098272,7.23063,7.17359
3,float,uniform,CPU,"D | D | D | D | D | D",256,9,6.44522,0,0.8865,0.101504,7.49117,7.43322
3,float,uniform,CPU,"D | D | D | D | D | D",256,10,6.22013,0,0.88936,0.099424,7.26384,7.20891
3,float,uniform,CPU,"D | D | D | D | D | D",256,11,6.55827,0,0.880739,0.10064,7.59345,7.53965
3,float,uniform,CPU,"D | D | D | D | D | D",256,12,6.87043,0,0.89373,0.100192,7.92278,7.86435
3,float,uniform,CPU,"D | D | D | D | D | D",256,13,6.27581,0,0.88507,0.101152,7.3154,7.26203
3,float,uniform,CPU,"D | D | D | D | D | D",256,14,7.05315,0,0.89163,0.10096,8.10546,8.04574
