dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,double,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",128,32,0.027936,0.00154,0.549454,0.100064,0.742342,0.678994
3,double,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",128,33,0.02736,0.00152,0.549335,0.102176,0.745242,0.680391
3,double,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",128,34,0.029568,0.00156,0.548604,0.100416,0.747111,0.680148
3,double,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",128,35,0.028672,0.00159,0.548504,0.100928,0.741992,0.679694
3,double,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",128,36,0.030016,0.00168,0.549574,0.10176,0.837461,0.68303
3,double,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",128,37,0.027232,0.00152,0.548114,0.100448,0.741301,0.677314
3,double,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",128,38,0.0288,0.00178,0.548804,0.101568,0.745302,0.680952
3,double,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",128,39,0.02832,0.001721,0.549935,0.099648,0.743702,0.679624
3,double,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",128,40,0.02816,0.00155,0.557834,0.101728,0.752942,0.689272
3,double,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",128,41,0.02992,0.001492,0.549102,0.102304,0.746202,0.682818
3,double,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",128,42,0.029024,0.00152,0.549554,0.10112,0.745421,0.681218
3,double,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",128,43,0.027808,0.001529,0.549054,0.101088,0.741752,0.679479
3,double,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",128,44,0.041344,0.00187,0.558335,0.110432,0.780252,0.711981
3,double,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",128,45,0.029568,0.001459,0.549865,0.101472,0.744662,0.682364
3,double,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",128,46,0.026752,0.001599,0.550114,0.100864,0.743592,0.679329
3,double,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",128,47,0.027488,0.001561,0.552503,0.100256,0.745611,0.681808
3,double,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",128,48,0.027936,0.00175,0.549014,0.101856,0.743002,0.680556
3,double,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",128,49,0.028768,0.001699,0.549693,0.101312,0.745472,0.681472
3,double,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",128,50,0.030944,0.001529,0.542734,0.102624,0.738562,0.677831
3,double,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",128,51,0.027872,0.001541,0.548733,0.102432,0.743242,0.680578
3,double,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",128,52,0.043712,0.0021,0.558015,0.111264,0.778212,0.715091
3,double,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",128,53,0.030048,0.001541,0.548912,0.102144,0.745792,0.682645
3,double,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",128,54,0.028672,0.001501,0.548784,0.099168,0.741482,0.678125
3,double,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",128,55,0.0288,0.001639,0.544825,0.103136,0.735242,0.6784
3,double,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",128,56,0.027456,0.001551,0.549093,0.101024,0.742061,0.679124
3,double,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",128,57,0.027776,0.001641,0.549763,0.100064,0.744582,0.679244
3,double,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",128,58,0.026656,0.00176,0.548894,0.101824,0.742052,0.679134
3,double,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",128,59,0.0288,0.00168,0.548414,0.102304,0.744732,0.681198
3,double,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",128,60,0.028704,0.001511,0.548504,0.100384,0.771122,0.679103
3,double,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",128,61,0.029824,0.00156,0.549173,0.101664,0.744962,0.682221
3,double,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",128,62,0.044224,0.001899,0.603183,0.110336,0.824821,0.759642
3,double,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",128,63,0.031008,0.001589,0.549743,0.102176,0.747602,0.684516
3,double,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",128,64,0.026848,0.00157,0.549264,0.100512,0.741292,0.678194
3,double,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",128,65,0.028544,0.00155,0.548725,0.104768,0.746172,0.683587
3,double,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",128,66,0.026944,0.00165,0.549215,0.100288,0.741952,0.678097
3,double,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",128,67,0.029056,0.0016,0.549854,0.100928,0.745302,0.681438
3,double,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",128,68,0.02912,0.001531,0.549673,0.101376,0.745272,0.6817
3,double,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",128,69,0.029632,0.00175,0.549204,0.100736,0.745061,0.681322
3,double,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",128,70,0.0296,0.001708,0.544383,0.102176,0.735362,0.677867
3,double,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",128,71,0.029888,0.00155,0.550224,0.102784,0.748752,0.684446
3,double,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",128,72,0.028032,0.001539,0.548925,0.10128,0.743142,0.679776
3,double,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",128,73,0.030464,0.00155,0.550374,0.099872,0.745302,0.68226
3,double,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",128,74,0.03008,0.00154,0.549515,0.101248,0.746152,0.682383
3,double,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",192,0,0.109248,0.00223,1.90266,0.34576,2.42985,2.3599
3,double,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",192,1,0.12352,0.00222,1.88844,0.34432,2.42095,2.3585
3,double,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",192,2,0.112576,0.00172,1.89051,0.342496,2.40963,2.3473
3,double,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",192,3,0.114688,0.00159,1.89271,0.345344,2.4195,2.35433
3,double,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",192,4,0.160704,0.00206,1.89164,0.346144,2.46658,2.40055
3,double,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",192,5,0.115104,0.00197,1.89242,0.341856,2.41895,2.35135
3,double,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",192,6,0.11616,0.00159,1.88751,0.340928,2.41202,2.34619
3,double,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",192,7,0.110272,0.00163,1.89664,0.342144,2.41659,2.35069
3,double,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",192,8,0.114112,0.001958,1.89751,0.34208,2.42272,2.35566
3,double,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",192,9,0.112352,0.00187,1.89502,0.341632,2.4163,2.35087
3,double,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",192,10,0.112768,0.00179,1.89938,0.343776,2.42314,2.35771
3,double,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",192,11,0.114272,0.00171,1.89398,0.34128,2.41829,2.35124
3,double,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",192,12,0.114208,0.001981,1.89598,0.345152,2.42415,2.35732
3,double,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",192,13,0.123008,0.00208,1.89848,0.344192,2.43539,2.36776
3,double,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",192,14,0.11888,0.00192,1.90147,0.345216,2.43385,2.36749
3,double,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",192,15,0.129696,0.00203,1.88913,0.342656,2.42993,2.36351
3,double,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",192,16,0.115904,0.00188,1.88636,0.3432,2.41016,2.34734
3,double,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",192,17,0.113792,0.00176,1.8925,0.341504,2.41462,2.34956
3,double,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",192,18,0.117952,0.00166,1.88931,0.3408,2.41623,2.34972
3,double,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",192,19,0.111808,0.002029,1.89861,0.344192,2.42565,2.35664
3,double,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",192,20,0.114816,0.00175,1.89557,0.343968,2.42927,2.3561
3,double,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",192,21,0.112928,0.00171,1.89133,0.3408,2.41341,2.34677
3,double,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",192,22,0.113024,0.001701,1.88768,0.341504,2.41061,2.34391
3,double,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",192,23,0.113088,0.00191,1.89072,0.341088,2.41331,2.34681
3,double,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",192,24,0.112864,0.00202,1.89633,0.345856,2.42481,2.35707
3,double,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",192,25,0.113088,0.00173,1.89273,0.34624,2.41964,2.35379
3,double,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",192,26,0.1152,0.0018,1.88879,0.341632,2.41744,2.34742
3,double,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",192,27,0.113344,0.00204,1.89027,0.343104,2.41801,2.34876
3,double,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",192,28,0.110656,0.0017,1.89537,0.342592,2.41346,2.35032
3,double,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",192,29,0.112192,0.00196,1.92425,0.343584,2.44763,2.38198
3,double,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",192,30,0.112704,0.002149,1.88751,0.342272,2.41123,2.34464
3,double,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",192,31,0.1176,0.002091,1.88987,0.342912,2.42157,2.35247
3,double,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",192,32,0.112128,0.00178,1.89226,0.340736,2.41251,2.3469
3,double,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",192,33,0.112864,0.001909,1.88191,0.342144,2.40072,2.33883
3,double,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",192,34,0.114432,0.00187,1.88547,0.340192,2.40673,2.34196
3,double,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",192,35,0.113152,0.00166,1.88852,0.344608,2.41222,2.34794
3,double,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",192,36,0.114976,0.00153,1.88852,0.342016,2.41307,2.34704
3,double,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",192,37,0.115616,0.002139,1.89276,0.346752,2.42527,2.35727
3,double,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",192,38,0.112832,0.001979,1.88838,0.342784,2.41175,2.34598
