dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
1,double,uniform,CPU,"Ds | Ds",192,0,0.058272,0,0.04393,0.012416,0.159289,0.114618
1,double,uniform,CPU,"Ds | Ds",192,1,0.032256,0,0.0438,0.008608,0.125899,0.084664
1,double,uniform,CPU,"Ds | Ds",192,2,0.029408,0,0.043849,0.008512,0.120979,0.081769
1,double,uniform,CPU,"Ds | Ds",192,3,0.029472,0,0.04313,0.008064,0.120599,0.080666
1,double,uniform,CPU,"Ds | Ds",192,4,0.029984,0,0.043819,0.007808,0.122799,0.081611
1,double,uniform,CPU,"Ds | Ds",192,5,0.028672,0,0.043699,0.00736,0.120419,0.079731
1,double,uniform,CPU,"Ds | Ds",192,6,0.029696,0,0.04334,0.00832,0.121428,0.081356
1,double,uniform,CPU,"Ds | Ds",192,7,0.029312,0,0.04359,0.00736,0.119939,0.080262
1,double,uniform,CPU,"Ds | Ds",192,8,0.03232,0,0.043419,0.00816,0.126679,0.083899
1,double,uniform,CPU,"Ds | Ds",192,9,0.031008,0,0.043129,0.007872,0.122889,0.082009
1,double,uniform,CPU,"Ds | Ds",192,10,0.029408,0,0.044529,0.00832,0.122819,0.082257
1,double,uniform,CPU,"Ds | Ds",192,11,0.029536,0,0.0432,0.007904,0.120239,0.08064
1,double,uniform,CPU,"Ds | Ds",192,12,0.029152,0,0.04405,0.00736,0.120909,0.080562
1,double,uniform,CPU,"Ds | Ds",192,13,0.031296,0,0.04315,0.007904,0.122299,0.08235
1,double,uniform,CPU,"Ds | Ds",192,14,0.033152,0,0.043399,0.0064,0.123359,0.082951
1,double,uniform,CPU,"Ds | Ds",192,15,0.027776,0,0.043119,0.008,0.119499,0.078895
1,double,uniform,CPU,"Ds | Ds",192,16,0.030048,0,0.043219,0.112032,0.224498,0.185299
1,double,uniform,CPU,"Ds | Ds",192,17,0.030688,0,0.04344,0.006464,0.120159,0.080592
1,double,uniform,CPU,"Ds | Ds",192,18,0.035968,0,0.04335,0.007712,0.125959,0.08703
1,double,uniform,CPU,"Ds | Ds",192,19,0.029472,0,0.0409,0.00816,0.110579,0.078532
1,double,uniform,CPU,"Ds | Ds",192,20,0.02944,0,0.0434,0.007104,0.122498,0.079944
1,double,uniform,CPU,"Ds | Ds",192,21,0.030528,0,0.04415,0.008032,0.122899,0.08271
1,double,uniform,CPU,"Ds | Ds",192,22,0.030336,0,0.0434,0.00608,0.121249,0.079816
1,double,uniform,CPU,"Ds | Ds",192,23,0.028736,0,0.04399,0.008192,0.121458,0.080918
1,double,uniform,CPU,"Ds | Ds",192,24,0.029504,0,0.043249,0.007232,0.123609,0.079985
1,double,uniform,CPU,"Ds | Ds",192,25,0.029664,0,0.043569,0.007168,0.119229,0.080401
1,double,uniform,CPU,"Ds | Ds",192,26,0.033216,0,0.043839,0.008256,0.125429,0.085311
1,double,uniform,CPU,"Ds | Ds",192,27,0.031936,0,0.04316,0.007648,0.125889,0.082744
1,double,uniform,CPU,"Ds | Ds",192,28,0.031872,0,0.0438,0.007104,0.123939,0.082776
1,double,uniform,CPU,"Ds | Ds",192,29,0.030048,0,0.04318,0.008512,0.121289,0.08174
1,double,uniform,CPU,"Ds | Ds",192,30,0.030976,0,0.04305,0.00816,0.122089,0.082186
1,double,uniform,CPU,"Ds | Ds",192,31,0.029472,0,0.04376,0.005888,0.118729,0.07912
1,double,uniform,CPU,"Ds | Ds",192,32,0.031328,0,0.04349,0.008416,0.120519,0.083234
1,double,uniform,CPU,"Ds | Ds",192,33,0.0296,0,0.04307,0.006496,0.124329,0.079166
1,double,uniform,CPU,"Ds | Ds",192,34,0.029888,0,0.04347,0.007584,0.122039,0.080942
1,double,uniform,CPU,"Ds | Ds",192,35,0.030848,0,0.04317,0.007552,0.122749,0.08157
1,double,uniform,CPU,"Ds | Ds",192,36,0.028384,0,0.04416,0.008704,0.121098,0.081248
1,double,uniform,CPU,"Ds | Ds",192,37,0.029568,0,0.0432,0.00736,0.120509,0.080128
1,double,uniform,CPU,"Ds | Ds",192,38,0.031552,0,0.043289,0.007872,0.121349,0.082713
1,double,uniform,CPU,"Ds | Ds",192,39,0.030272,0,0.04433,0.00912,0.125908,0.083722
1,double,uniform,CPU,"Ds | Ds",192,40,0.030976,0,0.0432,0.007712,0.122499,0.081888
1,double,uniform,CPU,"Ds | Ds",192,41,0.031616,0,0.043159,0.007936,0.123569,0.082711
1,double,uniform,CPU,"Ds | Ds",192,42,0.030784,0,0.04354,0.009792,0.121919,0.084116
1,double,uniform,CPU,"Ds | Ds",192,43,0.03184,0,0.043139,0.008512,0.124939,0.083491
