dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,float,uniform,CPU,"P | P | P | P | N | D",128,48,0.769504,0.001801,0.075709,0.029024,0.93261,0.876038
3,float,uniform,CPU,"P | P | P | P | N | D",128,49,0.79008,0.00165,0.076209,0.02864,0.94956,0.896579
3,float,uniform,CPU,"P | P | P | P | N | D",128,50,0.76896,0.00164,0.076569,0.028544,0.930249,0.875713
3,float,uniform,CPU,"P | P | P | P | N | D",128,51,0.783904,0.001649,0.076608,0.02864,0.944739,0.890801
3,float,uniform,CPU,"P | P | P | P | N | D",128,52,0.777216,0.001691,0.076378,0.027872,0.9384,0.883157
3,float,uniform,CPU,"P | P | P | P | N | D",128,53,0.771552,0.001909,0.075989,0.03184,0.93859,0.88129
3,float,uniform,CPU,"P | P | P | P | N | D",128,54,0.777184,0.00161,0.077198,0.028576,0.938149,0.884568
3,float,uniform,CPU,"P | P | P | P | N | D",128,55,0.778912,0.001621,0.076389,0.029152,0.94139,0.886074
3,float,uniform,CPU,"P | P | P | P | N | D",128,56,0.77712,0.00161,0.07652,0.029408,0.94008,0.884658
3,float,uniform,CPU,"P | P | P | P | N | D",128,57,0.772768,0.00163,0.07586,0.02944,0.9354,0.879698
3,float,uniform,CPU,"P | P | P | P | N | D",128,58,0.92,0.001601,0.075728,0.030048,1.08041,1.02738
3,float,uniform,CPU,"P | P | P | P | N | D",128,59,0.793664,0.001959,0.084798,0.037184,0.998889,0.917605
3,float,uniform,CPU,"P | P | P | P | N | D",128,60,0.803616,0.00209,0.0842,0.036192,1.00494,0.926098
3,float,uniform,CPU,"P | P | P | P | N | D",128,61,0.768352,0.00161,0.0763,0.02848,0.93124,0.874742
3,float,uniform,CPU,"P | P | P | P | N | D",128,62,0.7736,0.00162,0.071929,0.03184,0.924779,0.878989
3,float,uniform,CPU,"P | P | P | P | N | D",128,63,0.851808,0.00165,0.07658,0.02912,1.0152,0.959158
3,float,uniform,CPU,"P | P | P | P | N | D",128,64,0.910048,0.001601,0.07624,0.031104,1.07458,1.01899
3,float,uniform,CPU,"P | P | P | P | N | D",128,65,0.824448,0.001559,0.076768,0.029536,0.986659,0.932311
3,float,uniform,CPU,"P | P | P | P | N | D",128,66,0.764864,0.001639,0.068769,0.031264,0.91409,0.866536
3,float,uniform,CPU,"P | P | P | P | N | D",128,67,0.862368,0.001629,0.077279,0.028992,1.02521,0.970268
3,float,uniform,CPU,"P | P | P | P | N | D",128,68,0.78048,0.001609,0.07622,0.029728,0.94391,0.888037
3,float,uniform,CPU,"P | P | P | P | N | D",128,69,0.786368,0.00169,0.07611,0.030016,0.947159,0.894184
3,float,uniform,CPU,"P | P | P | P | N | D",128,70,0.799264,0.002049,0.085239,0.036288,1.00483,0.92284
3,float,uniform,CPU,"P | P | P | P | N | D",128,71,0.768992,0.00184,0.080599,0.030464,0.936949,0.881895
3,float,uniform,CPU,"P | P | P | P | N | D",128,72,0.7744,0.00161,0.07609,0.029792,0.93652,0.881892
3,float,uniform,CPU,"P | P | P | P | N | D",128,73,0.770368,0.001611,0.075618,0.036768,0.93847,0.884365
3,float,uniform,CPU,"P | P | P | P | N | D",128,74,0.85664,0.00168,0.076379,0.02816,1.0191,0.962859
3,float,uniform,CPU,"P | P | P | P | N | D",192,0,3.03498,0.00187,0.160017,0.076672,3.34877,3.27354
3,float,uniform,CPU,"P | P | P | P | N | D",192,1,2.73843,0.001802,0.162796,0.082336,3.04642,2.98537
3,float,uniform,CPU,"P | P | P | P | N | D",192,2,2.6337,0.00207,0.172767,0.0864,2.97971,2.89493
3,float,uniform,CPU,"P | P | P | P | N | D",192,3,2.55216,0.00211,0.164759,0.086816,2.88849,2.80585
3,float,uniform,CPU,"P | P | P | P | N | D",192,4,2.59264,0.00183,0.162208,0.084992,2.90839,2.84167
3,float,uniform,CPU,"P | P | P | P | N | D",192,5,2.66534,0.0021,0.165087,0.085536,3.00516,2.91807
3,float,uniform,CPU,"P | P | P | P | N | D",192,6,2.57376,0.002279,0.165127,0.086144,2.91355,2.82731
3,float,uniform,CPU,"P | P | P | P | N | D",192,7,2.59094,0.002051,0.162757,0.084192,2.91038,2.83994
3,float,uniform,CPU,"P | P | P | P | N | D",192,8,2.63232,0.00195,0.164117,0.087136,2.96671,2.88552
3,float,uniform,CPU,"P | P | P | P | N | D",192,9,2.70448,0.00193,0.16154,0.084928,3.01399,2.95288
3,float,uniform,CPU,"P | P | P | P | N | D",192,10,2.59366,0.0018,0.159428,0.083392,2.90055,2.83828
3,float,uniform,CPU,"P | P | P | P | N | D",192,11,2.70416,0.00167,0.159077,0.08272,3.01283,2.94763
3,float,uniform,CPU,"P | P | P | P | N | D",192,12,2.59984,0.00217,0.165078,0.08608,2.9386,2.85317
3,float,uniform,CPU,"P | P | P | P | N | D",192,13,2.62179,0.00201,0.1609,0.08304,2.92988,2.86774
3,float,uniform,CPU,"P | P | P | P | N | D",192,14,2.5937,0.002341,0.164269,0.085536,2.92727,2.84584
3,float,uniform,CPU,"P | P | P | P | N | D",192,15,2.54749,0.00215,0.165357,0.08848,2.88467,2.80348
3,float,uniform,CPU,"P | P | P | P | N | D",192,16,2.60966,0.001929,0.159939,0.081856,2.92048,2.85339
3,float,uniform,CPU,"P | P | P | P | N | D",192,17,2.60352,0.001999,0.163037,0.087424,2.93295,2.85598
3,float,uniform,CPU,"P | P | P | P | N | D",192,18,2.67482,0.002,0.161177,0.082944,2.98363,2.92094
3,float,uniform,CPU,"P | P | P | P | N | D",192,19,2.57722,0.00193,0.16031,0.085632,2.88798,2.82509
3,float,uniform,CPU,"P | P | P | P | N | D",192,20,2.68298,0.0017,0.15849,0.082112,2.98694,2.92528
3,float,uniform,CPU,"P | P | P | P | N | D",192,21,2.74867,0.0016,0.155637,0.084928,3.04452,2.99084
3,float,uniform,CPU,"P | P | P | P | N | D",192,22,2.66957,0.00175,0.15856,0.081344,2.97317,2.91122
3,float,uniform,CPU,"P | P | P | P | N | D",192,23,2.62694,0.00179,0.15857,0.0824,2.92987,2.8697
3,float,uniform,CPU,"P | P | P | P | N | D",192,24,2.60301,0.00209,0.164648,0.085664,2.94038,2.85541
3,float,uniform,CPU,"P | P | P | P | N | D",192,25,2.59418,0.00223,0.164817,0.086656,2.93179,2.84788
3,float,uniform,CPU,"P | P | P | P | N | D",192,26,2.59466,0.00203,0.162868,0.0864,2.93066,2.84595
3,float,uniform,CPU,"P | P | P | P | N | D",192,27,2.60806,0.002061,0.165836,0.087648,2.94106,2.86361
3,float,uniform,CPU,"P | P | P | P | N | D",192,28,2.60272,0.00191,0.161028,0.083936,2.91504,2.84959
3,float,uniform,CPU,"P | P | P | P | N | D",192,29,2.68915,0.001709,0.159168,0.08016,2.99126,2.93019
3,float,uniform,CPU,"P | P | P | P | N | D",192,30,2.56208,0.00191,0.158167,0.08448,2.87677,2.80664
3,float,uniform,CPU,"P | P | P | P | N | D",192,31,2.61747,0.00196,0.16505,0.085728,2.95153,2.87021
3,float,uniform,CPU,"P | P | P | P | N | D",192,32,2.6024,0.00177,0.160639,0.087712,2.91471,2.85252
3,float,uniform,CPU,"P | P | P | P | N | D",192,33,2.66538,0.00189,0.15937,0.084608,2.97395,2.91124
3,float,uniform,CPU,"P | P | P | P | N | D",192,34,2.64682,0.001989,0.163569,0.084448,2.96922,2.89682
3,float,uniform,CPU,"P | P | P | P | N | D",192,35,2.5439,0.0021,0.164797,0.086976,2.87948,2.79778
3,float,uniform,CPU,"P | P | P | P | N | D",192,36,2.67558,0.002041,0.162168,0.084032,2.99148,2.92383
3,float,uniform,CPU,"P | P | P | P | N | D",192,37,2.56637,0.00204,0.165639,0.08608,2.90475,2.82013
3,float,uniform,CPU,"P | P | P | P | N | D",192,38,2.63347,0.0021,0.164399,0.086848,2.97285,2.88682
3,float,uniform,CPU,"P | P | P | P | N | D",192,39,2.62214,0.00208,0.1645,0.088704,2.96048,2.87743
3,float,uniform,CPU,"P | P | P | P | N | D",192,40,2.71379,0.00179,0.162269,0.08416,3.02703,2.96201
3,float,uniform,CPU,"P | P | P | P | N | D",192,41,2.74714,0.001691,0.159178,0.083136,3.05056,2.99114
3,float,uniform,CPU,"P | P | P | P | N | D",192,42,2.66598,0.00184,0.158677,0.082368,2.96931,2.90887
3,float,uniform,CPU,"P | P | P | P | N | D",192,43,2.63757,0.00172,0.1613,0.081888,2.94234,2.88248
3,float,uniform,CPU,"P | P | P | P | N | D",192,44,2.59744,0.001911,0.162387,0.086464,2.92466,2.8482
3,float,uniform,CPU,"P | P | P | P | N | D",192,45,2.63274,0.00186,0.160437,0.085056,2.9429,2.88009
3,float,uniform,CPU,"P | P | P | P | N | D",192,46,2.54646,0.002081,0.170437,0.087616,2.88979,2.8066
3,float,uniform,CPU,"P | P | P | P | N | D",192,47,2.61581,0.00203,0.161677,0.085824,2.92858,2.86534
3,float,uniform,CPU,"P | P | P | P | N | D",192,48,2.64358,0.00161,0.160017,0.085888,2.9502,2.8911
3,float,uniform,CPU,"P | P | P | P | N | D",192,49,2.60854,0.001729,0.159528,0.083488,2.91701,2.85329
3,float,uniform,CPU,"P | P | P | P | N | D",192,50,2.60579,0.00175,0.157839,0.082208,2.91014,2.84759
3,float,uniform,CPU,"P | P | P | P | N | D",192,51,2.59498,0.00164,0.160017,0.083136,2.90042,2.83977
