dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,double,uniform,CPU,"Ns | Ns | P | P | P | P",192,32,5.4832,0.001829,1.49115,0.3336,7.37625,7.30978
3,double,uniform,CPU,"Ns | Ns | P | P | P | P",192,33,5.59946,0.00187,1.49308,0.3392,7.50862,7.43361
3,double,uniform,CPU,"Ns | Ns | P | P | P | P",192,34,5.47776,0.002119,1.49102,0.333664,7.38344,7.30457
3,double,uniform,CPU,"Ns | Ns | P | P | P | P",192,35,5.43398,0.001841,1.4951,0.333696,7.33241,7.26463
3,double,uniform,CPU,"Ns | Ns | P | P | P | P",192,36,5.86662,0.00195,1.49362,0.333696,7.77088,7.69589
3,double,uniform,CPU,"Ns | Ns | P | P | P | P",192,37,5.56656,0.001681,1.49152,0.333856,7.46117,7.39361
3,double,uniform,CPU,"Ns | Ns | P | P | P | P",192,38,5.46714,0.00199,1.49622,0.336128,7.36886,7.30148
3,double,uniform,CPU,"Ns | Ns | P | P | P | P",192,39,5.62509,0.00201,1.49636,0.333792,7.52497,7.45725
3,double,uniform,CPU,"Ns | Ns | P | P | P | P",192,40,5.7247,0.00211,1.49771,0.337088,7.63124,7.56162
3,double,uniform,CPU,"Ns | Ns | P | P | P | P",192,41,5.88883,0.00197,1.49753,0.332864,7.79082,7.72119
3,double,uniform,CPU,"Ns | Ns | P | P | P | P",192,42,5.7143,0.002141,1.50094,0.336736,7.64176,7.55412
3,double,uniform,CPU,"Ns | Ns | P | P | P | P",192,43,5.39763,0.00178,1.49161,0.332352,7.29412,7.22338
3,double,uniform,CPU,"Ns | Ns | P | P | P | P",192,44,5.49155,0.00172,1.49205,0.336032,7.39029,7.32136
3,double,uniform,CPU,"Ns | Ns | P | P | P | P",192,45,5.36694,0.002061,1.49053,0.331552,7.26085,7.19109
3,double,uniform,CPU,"Ns | Ns | P | P | P | P",192,46,5.4336,0.001851,1.49488,0.334304,7.33267,7.26464
3,double,uniform,CPU,"Ns | Ns | P | P | P | P",192,47,5.67882,0.001721,1.49249,0.334624,7.57834,7.50765
3,double,uniform,CPU,"Ns | Ns | P | P | P | P",192,48,5.9032,0.00196,1.49349,0.333184,7.80077,7.73184
3,double,uniform,CPU,"Ns | Ns | P | P | P | P",192,49,5.47814,0.001969,1.49945,0.334912,7.37973,7.31448
3,double,uniform,CPU,"Ns | Ns | P | P | P | P",192,50,5.51898,0.00182,1.49273,0.331904,7.41487,7.34543
3,double,uniform,CPU,"Ns | Ns | P | P | P | P",192,51,5.53696,0.001792,1.49147,0.335616,7.43822,7.36584
3,double,uniform,CPU,"Ns | Ns | P | P | P | P",192,52,6.0272,0.00207,1.49871,0.333504,7.95094,7.86149
3,double,uniform,CPU,"Ns | Ns | P | P | P | P",192,53,5.50982,0.00203,1.496,0.336928,7.41314,7.34478
3,double,uniform,CPU,"Ns | Ns | P | P | P | P",192,54,5.58144,0.00187,1.49738,0.335008,7.49006,7.4157
3,double,uniform,CPU,"Ns | Ns | P | P | P | P",192,55,5.50173,0.002,1.49171,0.333056,7.39811,7.3285
3,double,uniform,CPU,"Ns | Ns | P | P | P | P",192,56,5.636,0.002009,1.50226,0.333312,7.54653,7.47359
3,double,uniform,CPU,"Ns | Ns | P | P | P | P",192,57,5.46998,0.00181,1.49673,0.336544,7.37573,7.30507
3,double,uniform,CPU,"Ns | Ns | P | P | P | P",192,58,5.83462,0.001969,1.49359,0.334816,7.75509,7.665
3,double,uniform,CPU,"Ns | Ns | P | P | P | P",192,59,5.61856,0.0019,1.49694,0.335616,7.52211,7.45302
3,double,uniform,CPU,"Ns | Ns | P | P | P | P",192,60,5.40406,0.001821,1.50519,0.335264,7.31778,7.24634
3,double,uniform,CPU,"Ns | Ns | P | P | P | P",192,61,5.39254,0.001819,1.49404,0.333696,7.28598,7.2221
3,double,uniform,CPU,"Ns | Ns | P | P | P | P",192,62,5.47706,0.00189,1.49739,0.33312,7.37919,7.30946
3,double,uniform,CPU,"Ns | Ns | P | P | P | P",192,63,5.45306,0.001769,1.49084,0.334464,7.34729,7.28013
3,double,uniform,CPU,"Ns | Ns | P | P | P | P",192,64,5.49654,0.001629,1.50363,0.335552,7.41314,7.33736
3,double,uniform,CPU,"Ns | Ns | P | P | P | P",192,65,5.49274,0.00216,1.48974,0.335584,7.38885,7.32022
3,double,uniform,CPU,"Ns | Ns | P | P | P | P",192,66,5.97802,0.002099,1.49212,0.333344,7.89593,7.80557
