dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,double,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",128,59,1.51322,0.00169,0.306776,0.06384,2.11025,1.88552
3,double,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",128,60,1.53386,0.00174,0.307457,0.066496,2.13314,1.90955
3,double,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",128,61,1.5384,0.00184,0.307357,0.06576,2.1356,1.91336
3,double,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",128,62,1.54,0.00184,0.306297,0.066784,2.1371,1.91492
3,double,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",128,63,1.53293,0.001871,0.306657,0.066432,2.13567,1.90789
3,double,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",128,64,1.51955,0.001629,0.307566,0.066016,2.11332,1.89476
3,double,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",128,65,1.6065,0.001669,0.307317,0.066432,2.20491,1.98191
3,double,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",128,66,1.51258,0.00184,0.305167,0.066336,2.10487,1.88592
3,double,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",128,67,1.50957,0.00188,0.307667,0.064864,2.10917,1.88398
3,double,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",128,68,1.5113,0.0018,0.306717,0.06656,2.10873,1.88637
3,double,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",128,69,1.5343,0.00168,0.307217,0.06592,2.13331,1.90912
3,double,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",128,70,1.55546,0.0018,0.307918,0.066368,2.15491,1.93154
3,double,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",128,71,1.50323,0.00184,0.307517,0.066368,2.10062,1.87896
3,double,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",128,72,1.57357,0.00178,0.310026,0.066272,2.17248,1.95165
3,double,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",128,73,1.58835,0.001759,0.307337,0.065664,2.18249,1.96311
3,double,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",128,74,1.52733,0.001629,0.306457,0.065824,2.12303,1.90124
3,double,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",192,0,5.81757,0.00195,1.02799,0.099936,7.28266,6.94744
3,double,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",192,1,5.61296,0.00217,1.02655,0.100864,7.06996,6.74254
3,double,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",192,2,5.4928,0.00232,1.02724,0.098976,6.95488,6.62134
3,double,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",192,3,5.47264,0.002029,1.02807,0.1016,6.93297,6.60434
