dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,float,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",128,54,0.898944,0.0015,0.070259,0.03104,1.04809,1.00174
3,float,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",128,55,0.871648,0.001541,0.077029,0.02816,1.03123,0.978378
3,float,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",128,56,0.829664,0.00183,0.085859,0.036896,1.03438,0.954249
3,float,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",128,57,0.800512,0.001789,0.077628,0.029344,0.968549,0.909273
3,float,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",128,58,0.817472,0.00152,0.077749,0.029472,0.981989,0.926213
3,float,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",128,59,0.788768,0.00156,0.06927,0.036992,0.940649,0.89659
3,float,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",128,60,0.804576,0.001611,0.076259,0.029824,0.968489,0.91227
3,float,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",128,61,0.791552,0.001629,0.077279,0.033536,0.95771,0.903996
3,float,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",128,62,0.804096,0.001529,0.076128,0.03152,0.968429,0.913273
3,float,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",128,63,0.78064,0.00158,0.076389,0.029184,0.941329,0.887793
3,float,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",128,64,0.801632,0.001489,0.07642,0.031776,0.968079,0.911317
3,float,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",128,65,0.805216,0.00153,0.07694,0.029312,0.96694,0.912998
3,float,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",128,66,0.800896,0.001471,0.077119,0.029888,0.964429,0.909374
3,float,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",128,67,0.879552,0.00165,0.075799,0.028512,1.04028,0.985513
3,float,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",128,68,0.788896,0.00151,0.198918,0.028064,1.07307,1.01739
3,float,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",128,69,0.801472,0.001461,0.076709,0.032,0.965649,0.911642
3,float,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",128,70,0.795136,0.00143,0.07668,0.029184,0.956939,0.90243
3,float,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",128,71,0.797888,0.001599,0.07696,0.031008,0.960679,0.907455
3,float,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",128,72,0.7928,0.00152,0.07657,0.032224,0.955279,0.903114
