dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,double,uniform,CPU,"P | P | P | P | P | P",128,47,1.53459,0,0.475425,0.1024,2.16088,2.11242
3,double,uniform,CPU,"P | P | P | P | P | P",128,48,1.63024,0,0.471994,0.101248,2.25566,2.20348
3,double,uniform,CPU,"P | P | P | P | P | P",128,49,1.53741,0,0.471874,0.101344,2.16849,2.11063
3,double,uniform,CPU,"P | P | P | P | P | P",128,50,1.58707,0,0.472195,0.098944,2.21111,2.15821
3,double,uniform,CPU,"P | P | P | P | P | P",128,51,1.54698,0,0.473505,0.10272,2.17656,2.1232
3,double,uniform,CPU,"P | P | P | P | P | P",128,52,1.5361,0,0.471015,0.104096,2.16094,2.11121
3,double,uniform,CPU,"P | P | P | P | P | P",128,53,1.57821,0,0.472574,0.100288,2.20159,2.15107
3,double,uniform,CPU,"P | P | P | P | P | P",128,54,1.52006,0,0.471744,0.102624,2.14703,2.09443
3,double,uniform,CPU,"P | P | P | P | P | P",128,55,1.51488,0,0.472365,0.101056,2.14047,2.0883
3,double,uniform,CPU,"P | P | P | P | P | P",128,56,1.51475,0,0.472854,0.103712,2.14371,2.09132
3,double,uniform,CPU,"P | P | P | P | P | P",128,57,1.50592,0,0.471875,0.099008,2.12808,2.0768
3,double,uniform,CPU,"P | P | P | P | P | P",128,58,1.57331,0,0.471345,0.101568,2.19882,2.14622
3,double,uniform,CPU,"P | P | P | P | P | P",128,59,1.52784,0,0.471606,0.10176,2.14985,2.10121
3,double,uniform,CPU,"P | P | P | P | P | P",128,60,1.53562,0,0.477364,0.118944,2.20873,2.13192
3,double,uniform,CPU,"P | P | P | P | P | P",128,61,1.51216,0,0.471805,0.100192,2.13785,2.08416
3,double,uniform,CPU,"P | P | P | P | P | P",128,62,1.548,0,0.473765,0.118688,2.21433,2.14045
3,double,uniform,CPU,"P | P | P | P | P | P",128,63,1.51069,0,0.472764,0.102272,2.13813,2.08572
3,double,uniform,CPU,"P | P | P | P | P | P",128,64,1.55306,0,0.474544,0.110976,2.20461,2.13858
3,double,uniform,CPU,"P | P | P | P | P | P",128,65,1.55446,0,0.472975,0.100736,2.18,2.12818
3,double,uniform,CPU,"P | P | P | P | P | P",128,66,1.55882,0,0.472964,0.103616,2.18798,2.1354
3,double,uniform,CPU,"P | P | P | P | P | P",128,67,1.55981,0,0.472555,0.103328,2.18834,2.13569
3,double,uniform,CPU,"P | P | P | P | P | P",128,68,1.55821,0,0.473224,0.100128,2.18267,2.13156
