dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",192,24,2.59213,0.002,0.172098,0.052704,2.89051,2.81893
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",192,25,2.63923,0.00188,0.151738,0.049888,2.89237,2.84274
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",192,26,2.59754,0.00162,0.151759,0.046752,2.85135,2.79767
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",192,27,2.57578,0.001858,0.151689,0.046336,2.82567,2.77566
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",192,28,2.58342,0.001689,0.150199,0.048704,2.83442,2.78402
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",192,29,2.61024,0.001969,0.151139,0.045952,2.8604,2.8093
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",192,30,2.72493,0.00199,0.167008,0.05248,3.0195,2.94641
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",192,31,2.5736,0.001809,0.152037,0.04752,2.82645,2.77497
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",192,32,2.75907,0.001679,0.150639,0.049568,3.01102,2.96096
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",192,33,2.71562,0.00202,0.165518,0.051584,3.00675,2.93474
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",192,34,2.61344,0.00176,0.160569,0.050176,2.88852,2.82594
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",192,35,2.56419,0.00175,0.152979,0.04976,2.81911,2.76868
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",192,36,2.5728,0.00166,0.150928,0.04768,2.82284,2.77307
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",192,37,2.6359,0.001669,0.150269,0.045824,2.88416,2.83367
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",192,38,2.58678,0.0016,0.151789,0.04592,2.83391,2.78609
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",192,39,2.57338,0.0016,0.200668,0.04656,2.87088,2.8222
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",192,40,2.58941,0.00174,0.151799,0.047168,2.84195,2.79011
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",192,41,2.56912,0.00191,0.151617,0.046208,2.81661,2.76885
