dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,float,uniform,GPU,"P | P | P | P | N | D",128,48,0.02208,0.00162,0.07635,0.029344,0.191508,0.129394
3,float,uniform,GPU,"P | P | P | P | N | D",128,49,0.01888,0.001501,0.076388,0.029696,0.186568,0.126465
3,float,uniform,GPU,"P | P | P | P | N | D",128,50,0.018176,0.00149,0.072919,0.030208,0.179298,0.122793
3,float,uniform,GPU,"P | P | P | P | N | D",128,51,0.018112,0.00155,0.075189,0.028864,0.183718,0.123715
3,float,uniform,GPU,"P | P | P | P | N | D",128,52,0.018496,0.00163,0.077309,0.027936,0.186148,0.125371
3,float,uniform,GPU,"P | P | P | P | N | D",128,53,0.018336,0.00149,0.07623,0.030144,0.186778,0.1262
3,float,uniform,GPU,"P | P | P | P | N | D",128,54,0.024576,0.001551,0.071721,0.030944,0.184498,0.128792
3,float,uniform,GPU,"P | P | P | P | N | D",128,55,0.017216,0.001489,0.075968,0.030048,0.185158,0.124721
3,float,uniform,GPU,"P | P | P | P | N | D",128,56,0.017536,0.00156,0.07663,0.028512,0.184648,0.124238
3,float,uniform,GPU,"P | P | P | P | N | D",128,57,0.019712,0.00154,0.076568,0.029376,0.187088,0.127196
3,float,uniform,GPU,"P | P | P | P | N | D",128,58,0.018784,0.00179,0.077,0.027072,0.185388,0.124646
3,float,uniform,GPU,"P | P | P | P | N | D",128,59,0.019104,0.00157,0.07715,0.031744,0.189158,0.129568
3,float,uniform,GPU,"P | P | P | P | N | D",128,60,0.018272,0.00152,0.07596,0.029152,0.185398,0.124904
3,float,uniform,GPU,"P | P | P | P | N | D",128,61,0.017888,0.00156,0.07686,0.029536,0.185708,0.125844
3,float,uniform,GPU,"P | P | P | P | N | D",128,62,0.018528,0.001509,0.082709,0.030368,0.192758,0.133114
3,float,uniform,GPU,"P | P | P | P | N | D",128,63,0.0216,0.001579,0.069899,0.033472,0.180448,0.12655
3,float,uniform,GPU,"P | P | P | P | N | D",128,64,0.017568,0.001681,0.076968,0.02848,0.184118,0.124697
3,float,uniform,GPU,"P | P | P | P | N | D",128,65,0.029248,0.001631,0.076728,0.028352,0.196078,0.135959
3,float,uniform,GPU,"P | P | P | P | N | D",128,66,0.022336,0.001601,0.080018,0.029408,0.193968,0.133363
3,float,uniform,GPU,"P | P | P | P | N | D",128,67,0.035488,0.00195,0.085369,0.035104,0.220547,0.157911
3,float,uniform,GPU,"P | P | P | P | N | D",128,68,0.017568,0.00173,0.07706,0.027968,0.185698,0.124326
3,float,uniform,GPU,"P | P | P | P | N | D",128,69,0.017664,0.001499,0.075699,0.029568,0.185008,0.12443
3,float,uniform,GPU,"P | P | P | P | N | D",128,70,0.018624,0.00173,0.076648,0.02976,0.188288,0.126762
3,float,uniform,GPU,"P | P | P | P | N | D",128,71,0.020576,0.00163,0.076329,0.03008,0.188938,0.128615
3,float,uniform,GPU,"P | P | P | P | N | D",128,72,0.017856,0.001539,0.077628,0.030592,0.187978,0.127615
3,float,uniform,GPU,"P | P | P | P | N | D",128,73,0.017632,0.00156,0.07638,0.028736,0.186007,0.124308
3,float,uniform,GPU,"P | P | P | P | N | D",128,74,0.018208,0.00154,0.076679,0.029376,0.189758,0.125803
3,float,uniform,GPU,"P | P | P | P | N | D",192,0,0.06304,0.00223,0.164387,0.078976,0.371406,0.308633
3,float,uniform,GPU,"P | P | P | P | N | D",192,1,0.057248,0.002029,0.166006,0.08576,0.375006,0.311043
3,float,uniform,GPU,"P | P | P | P | N | D",192,2,0.053088,0.00176,0.162317,0.080224,0.363126,0.297389
3,float,uniform,GPU,"P | P | P | P | N | D",192,3,0.052512,0.00183,0.161928,0.08144,0.362416,0.29771
3,float,uniform,GPU,"P | P | P | P | N | D",192,4,0.069024,0.00212,0.160479,0.08944,0.375586,0.321063
3,float,uniform,GPU,"P | P | P | P | N | D",192,5,0.0544,0.00173,0.162757,0.086208,0.368146,0.305095
3,float,uniform,GPU,"P | P | P | P | N | D",192,6,0.054304,0.001799,0.163588,0.085216,0.369575,0.304907
3,float,uniform,GPU,"P | P | P | P | N | D",192,7,0.069888,0.00215,0.16734,0.08768,0.392186,0.327058
3,float,uniform,GPU,"P | P | P | P | N | D",192,8,0.053696,0.00196,0.16245,0.086112,0.366996,0.304218
3,float,uniform,GPU,"P | P | P | P | N | D",192,9,0.053536,0.00192,0.162617,0.082464,0.364406,0.300537
3,float,uniform,GPU,"P | P | P | P | N | D",192,10,0.0704,0.0022,0.166599,0.085824,0.397755,0.325023
3,float,uniform,GPU,"P | P | P | P | N | D",192,11,0.070944,0.002131,0.168869,0.085312,0.392266,0.327256
3,float,uniform,GPU,"P | P | P | P | N | D",192,12,0.056,0.00178,0.16468,0.085312,0.371486,0.307772
3,float,uniform,GPU,"P | P | P | P | N | D",192,13,0.061536,0.002019,0.166277,0.084992,0.378406,0.314824
3,float,uniform,GPU,"P | P | P | P | N | D",192,14,0.056672,0.0017,0.161839,0.082592,0.366165,0.302803
3,float,uniform,GPU,"P | P | P | P | N | D",192,15,0.069184,0.002059,0.166917,0.085504,0.388196,0.323664
3,float,uniform,GPU,"P | P | P | P | N | D",192,16,0.065152,0.00214,0.167779,0.085056,0.384606,0.320127
3,float,uniform,GPU,"P | P | P | P | N | D",192,17,0.058688,0.001981,0.163448,0.085856,0.374676,0.309973
3,float,uniform,GPU,"P | P | P | P | N | D",192,18,0.051808,0.0016,0.161378,0.084192,0.361945,0.298978
3,float,uniform,GPU,"P | P | P | P | N | D",192,19,0.052,0.00158,0.161848,0.081568,0.361006,0.296996
3,float,uniform,GPU,"P | P | P | P | N | D",192,20,0.062688,0.00201,0.166938,0.087264,0.382715,0.3189
3,float,uniform,GPU,"P | P | P | P | N | D",192,21,0.054592,0.00194,0.163077,0.083296,0.365626,0.302905
3,float,uniform,GPU,"P | P | P | P | N | D",192,22,0.053216,0.00155,0.16124,0.07984,0.359335,0.295846
3,float,uniform,GPU,"P | P | P | P | N | D",192,23,0.052224,0.00166,0.16125,0.081344,0.360366,0.296478
3,float,uniform,GPU,"P | P | P | P | N | D",192,24,0.053792,0.00177,0.161026,0.084128,0.369906,0.300716
3,float,uniform,GPU,"P | P | P | P | N | D",192,25,0.054592,0.00197,0.154828,0.084384,0.350447,0.295774
3,float,uniform,GPU,"P | P | P | P | N | D",192,26,0.054048,0.00169,0.161569,0.080896,0.362276,0.298203
3,float,uniform,GPU,"P | P | P | P | N | D",192,27,0.071168,0.00224,0.162367,0.089376,0.383455,0.325151
3,float,uniform,GPU,"P | P | P | P | N | D",192,28,0.054176,0.001951,0.164089,0.084,0.373135,0.304216
3,float,uniform,GPU,"P | P | P | P | N | D",192,29,0.054848,0.00169,0.16364,0.082912,0.366416,0.30309
3,float,uniform,GPU,"P | P | P | P | N | D",192,30,0.07104,0.00223,0.167669,0.086784,0.391946,0.327723
3,float,uniform,GPU,"P | P | P | P | N | D",192,31,0.05296,0.001591,0.162377,0.082016,0.362406,0.298944
3,float,uniform,GPU,"P | P | P | P | N | D",192,32,0.070656,0.00219,0.168437,0.089184,0.394356,0.330467
3,float,uniform,GPU,"P | P | P | P | N | D",192,33,0.055904,0.001981,0.165638,0.083904,0.370935,0.307427
3,float,uniform,GPU,"P | P | P | P | N | D",192,34,0.052192,0.00183,0.16297,0.083552,0.365006,0.300544
3,float,uniform,GPU,"P | P | P | P | N | D",192,35,0.054176,0.00166,0.156057,0.081376,0.350726,0.293269
3,float,uniform,GPU,"P | P | P | P | N | D",192,36,0.068608,0.00212,0.168767,0.088512,0.392716,0.328007
3,float,uniform,GPU,"P | P | P | P | N | D",192,37,0.073632,0.00214,0.169718,0.089824,0.399455,0.335314
3,float,uniform,GPU,"P | P | P | P | N | D",192,38,0.076224,0.00207,0.16793,0.086944,0.397585,0.333168
3,float,uniform,GPU,"P | P | P | P | N | D",192,39,0.054656,0.001861,0.162436,0.083456,0.366896,0.302409
3,float,uniform,GPU,"P | P | P | P | N | D",192,40,0.052672,0.00165,0.160637,0.082752,0.361416,0.297711
3,float,uniform,GPU,"P | P | P | P | N | D",192,41,0.071008,0.00234,0.167377,0.085472,0.389415,0.326197
3,float,uniform,GPU,"P | P | P | P | N | D",192,42,0.063328,0.0019,0.159017,0.087616,0.367366,0.311861
3,float,uniform,GPU,"P | P | P | P | N | D",192,43,0.068256,0.0021,0.16579,0.086048,0.431335,0.322194
3,float,uniform,GPU,"P | P | P | P | N | D",192,44,0.058624,0.00209,0.164178,0.082912,0.373236,0.307804
3,float,uniform,GPU,"P | P | P | P | N | D",192,45,0.05568,0.00159,0.163899,0.081856,0.365495,0.303025
3,float,uniform,GPU,"P | P | P | P | N | D",192,46,0.054528,0.00166,0.163176,0.083936,0.365246,0.3033
3,float,uniform,GPU,"P | P | P | P | N | D",192,47,0.053056,0.00169,0.157367,0.083168,0.352716,0.295281
3,float,uniform,GPU,"P | P | P | P | N | D",192,48,0.050528,0.00173,0.162278,0.081664,0.361606,0.2962
3,float,uniform,GPU,"P | P | P | P | N | D",192,49,0.053472,0.00171,0.161487,0.081728,0.362176,0.298397
3,float,uniform,GPU,"P | P | P | P | N | D",192,50,0.052096,0.001761,0.160907,0.083424,0.364455,0.298188
3,float,uniform,GPU,"P | P | P | P | N | D",192,51,0.051424,0.00169,0.160217,0.08208,0.358096,0.295411
3,float,uniform,GPU,"P | P | P | P | N | D",192,52,0.074112,0.00215,0.16102,0.088704,0.380566,0.325986
3,float,uniform,GPU,"P | P | P | P | N | D",192,53,0.065472,0.00226,0.166806,0.083264,0.380785,0.317802
3,float,uniform,GPU,"P | P | P | P | N | D",192,54,0.055168,0.001741,0.163988,0.084416,0.368336,0.305313
3,float,uniform,GPU,"P | P | P | P | N | D",192,55,0.069984,0.00201,0.16589,0.08816,0.389475,0.326044
3,float,uniform,GPU,"P | P | P | P | N | D",192,56,0.070848,0.0022,0.167258,0.08896,0.433975,0.329266
3,float,uniform,GPU,"P | P | P | P | N | D",192,57,0.061504,0.00183,0.16641,0.084096,0.377575,0.31384
3,float,uniform,GPU,"P | P | P | P | N | D",192,58,0.0712,0.002099,0.167079,0.093344,0.398486,0.333722
3,float,uniform,GPU,"P | P | P | P | N | D",192,59,0.053824,0.001519,0.161306,0.08128,0.360446,0.297929
3,float,uniform,GPU,"P | P | P | P | N | D",192,60,0.067712,0.00212,0.166656,0.08512,0.384835,0.321608
3,float,uniform,GPU,"P | P | P | P | N | D",192,61,0.051456,0.0019,0.162669,0.083776,0.363115,0.299801
3,float,uniform,GPU,"P | P | P | P | N | D",192,62,0.055584,0.00183,0.163527,0.083904,0.368866,0.304845
3,float,uniform,GPU,"P | P | P | P | N | D",192,63,0.073632,0.00206,0.166029,0.085952,0.390866,0.327673
3,float,uniform,GPU,"P | P | P | P | N | D",192,64,0.066624,0.002249,0.165479,0.087072,0.384846,0.321424
3,float,uniform,GPU,"P | P | P | P | N | D",192,65,0.060576,0.00196,0.163939,0.084352,0.465095,0.310827
3,float,uniform,GPU,"P | P | P | P | N | D",192,66,0.061952,0.00193,0.165659,0.085952,0.378436,0.315493
3,float,uniform,GPU,"P | P | P | P | N | D",192,67,0.052768,0.001699,0.162816,0.081568,0.361846,0.298851
3,float,uniform,GPU,"P | P | P | P | N | D",192,68,0.052832,0.001689,0.161017,0.083808,0.362436,0.299346
3,float,uniform,GPU,"P | P | P | P | N | D",192,69,0.071584,0.002169,0.168647,0.089024,0.402096,0.331424
3,float,uniform,GPU,"P | P | P | P | N | D",192,70,0.05296,0.001981,0.164436,0.083904,0.366526,0.303281
3,float,uniform,GPU,"P | P | P | P | N | D",192,71,0.07136,0.002089,0.166706,0.085088,0.390346,0.325243
3,float,uniform,GPU,"P | P | P | P | N | D",192,72,0.070368,0.002009,0.167146,0.088384,0.393125,0.327907
3,float,uniform,GPU,"P | P | P | P | N | D",192,73,0.053792,0.001821,0.163908,0.084032,0.367145,0.303553
