dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,double,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",128,62,1.49722,0,0.492994,0.061952,2.10265,2.05216
3,double,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",128,63,1.51136,0,0.490705,0.061056,2.10481,2.06312
3,double,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",128,64,1.54509,0,0.494894,0.05888,2.14877,2.09886
3,double,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",128,65,1.50989,0,0.493763,0.059552,2.10774,2.0632
3,double,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",128,66,1.49917,0,0.493914,0.06048,2.09953,2.05356
3,double,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",128,67,1.50589,0,0.491934,0.05824,2.10028,2.05606
3,double,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",128,68,1.58099,0,0.494845,0.060416,2.18083,2.13625
3,double,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",128,69,1.53136,0,0.493125,0.059776,2.12884,2.08426
3,double,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",128,70,1.53568,0,0.493084,0.061536,2.13434,2.0903
3,double,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",128,71,1.53046,0,0.493014,0.061888,2.13107,2.08537
3,double,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",128,72,1.57251,0,0.492144,0.059744,2.16772,2.1244
3,double,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",128,73,1.53725,0,0.505615,0.068352,2.17978,2.11121
3,double,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",128,74,1.60166,0,0.507454,0.067936,2.24628,2.17705
3,double,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",192,0,5.96992,0,1.68706,0.186976,7.91681,7.84396
3,double,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",192,1,5.47818,0,1.68087,0.185984,7.39729,7.34503
3,double,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",192,2,5.67414,0,1.67855,0.188608,7.58974,7.5413
3,double,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",192,3,5.70266,0,1.68161,0.187232,7.62627,7.5715
